Fiscal Year,Revenue Type,Commodity,Revenue
2003,Bonus,Coal,134866337.98
2003,Bonus,Geothermal,381199.81
2003,Bonus,Oil & Gas,1263517244.50
2003,Bonus,Phosphate,7930.00
2003,Other Revenues,Asphalt,5754.00
2003,Other Revenues,Clay,1142.53
2003,Other Revenues,Coal,4927481.21
2003,Other Revenues,Copper,26110.00
2003,Other Revenues,Geothermal,6902595.88
2003,Other Revenues,Gilsonite,145616.00
2003,Other Revenues,Hardrock,26504.00
2003,Other Revenues,Oil & Gas,67870363.85
2003,Other Revenues,Phosphate,117762.00
2003,Other Revenues,Potassium,369361.71
2003,Other Revenues,Sodium,172549.00
2003,Rents,Clay,-326.00
2003,Rents,Coal,1275618.74
2003,Rents,Copper,667.50
2003,Rents,Geothermal,1009972.12
2003,Rents,Gilsonite,4499.00
2003,Rents,Hardrock,34701.96
2003,Rents,Limestone,50.00
2003,Rents,Oil & Gas,305890846.16
2003,Rents,Phosphate,4028.00
2003,Rents,Potassium,89510.25
2003,Rents,Sand & Gravel,-572.50
2003,Rents,Sodium,63871.40
2003,Rents,Tar Sands,12190.00
2003,Royalties,Coal (ton),407692878.59
2003,Royalties,Gas (mcf),4256971190.86
2003,Royalties,Geothermal,9435375.58
2003,Royalties,Oil (bbl),1505618637.58
2003,Royalties,Other Commodities,32735015.51
2004,Bonus,Coal,105125381.19
2004,Bonus,Geothermal,70303.18
2004,Bonus,Oil & Gas,602801496.25
2004,Bonus,Phosphate,563300.00
2004,Other Revenues,Clay,1025.30
2004,Other Revenues,Coal,6776069.19
2004,Other Revenues,Copper,13055.00
2004,Other Revenues,Geothermal,7777166.83
2004,Other Revenues,Gilsonite,17784.00
2004,Other Revenues,Hardrock,17482.00
2004,Other Revenues,Oil & Gas,-5817941.58
2004,Other Revenues,Phosphate,170914.00
2004,Other Revenues,Potassium,387358.28
2004,Other Revenues,Sodium,339586.67
2004,Other Revenues,Sulfur,22221.06
2004,Rents,Clay,-154.00
2004,Rents,Coal,1223773.09
2004,Rents,Copper,-1943.50
2004,Rents,Geothermal,733928.92
2004,Rents,Gilsonite,5212.50
2004,Rents,Gold,39.00
2004,Rents,Hardrock,27111.27
2004,Rents,Limestone,40.00
2004,Rents,Oil & Gas,261178703.02
2004,Rents,Phosphate,17471.00
2004,Rents,Potassium,75251.00
2004,Rents,Quartz,40.00
2004,Rents,Sand & Gravel,67.50
2004,Rents,Sodium,-33895.27
2004,Rents,Tar Sands,16648.00
2004,Royalties,Coal (ton),417577130.51
2004,Royalties,Gas (mcf),4803718582.25
2004,Royalties,Geothermal,10173334.29
2004,Royalties,Oil (bbl),1484650843.51
2004,Royalties,Other Commodities,36145506.68
2005,Bonus,Coal,499464065.11
2005,Bonus,Oil & Gas,798679399.50
2005,Other Revenues,Clay,782.43
2005,Other Revenues,Coal,3166273.77
2005,Other Revenues,Copper,39165.00
2005,Other Revenues,Geothermal,-10687.93
2005,Other Revenues,Gilsonite,14901.00
2005,Other Revenues,Hardrock,248463.13
2005,Other Revenues,Oil & Gas,59256434.55
2005,Other Revenues,Oil Shale,30000.00
2005,Other Revenues,Phosphate,157055.00
2005,Other Revenues,Potassium,693947.18
2005,Other Revenues,Sodium,241389.16
2005,Other Revenues,Sulfur,10547.43
2005,Rents,Clay,468.00
2005,Rents,Coal,1136799.08
2005,Rents,Copper,-20220.50
2005,Rents,Gemstones,400.00
2005,Rents,Geothermal,817567.24
2005,Rents,Gilsonite,5645.50
2005,Rents,Hardrock,-6890.55
2005,Rents,Oil & Gas,280844433.55
2005,Rents,Phosphate,-26665.50
2005,Rents,Potassium,30104.00
2005,Rents,Sand & Gravel,-1280.00
2005,Rents,Sodium,-34213.91
2005,Rents,Tar Sands,7732.00
2005,Royalties,Coal (ton),457494476.31
2005,Royalties,Gas (mcf),5172027451.88
2005,Royalties,Geothermal,11239509.59
2005,Royalties,Oil (bbl),2517412869.02
2005,Royalties,Other Commodities,47641766.13
2006,Bonus,Coal,422366100.35
2006,Bonus,Oil & Gas,1163225776.25
2006,Bonus,Potassium,9638.54
2006,Other Revenues,Clay,163.94
2006,Other Revenues,Coal,2166496.82
2006,Other Revenues,Copper,26110.00
2006,Other Revenues,Geothermal,-111551.43
2006,Other Revenues,Gilsonite,11151.00
2006,Other Revenues,Hardrock,51536.50
2006,Other Revenues,Oil & Gas,-16145880.23
2006,Other Revenues,Oil Shale,20000.00
2006,Other Revenues,Phosphate,136302.00
2006,Other Revenues,Potassium,190505.78
2006,Other Revenues,Sodium,131333.00
2006,Other Revenues,Sulfur,10838.00
2006,Rents,Asphalt,959.00
2006,Rents,Clay,314.00
2006,Rents,Coal,1107987.19
2006,Rents,Copper,3278.50
2006,Rents,Gemstones,80.00
2006,Rents,Geothermal,569070.00
2006,Rents,Gilsonite,1841.50
2006,Rents,Hardrock,20580.50
2006,Rents,Oil & Gas,282460098.17
2006,Rents,Oil Shale,15264.00
2006,Rents,Phosphate,-1624.00
2006,Rents,Potassium,-44369.00
2006,Rents,Quartz,40.00
2006,Rents,Sodium,-15941.91
2006,Rents,Tar Sands,12190.00
2006,Royalties,Coal (ton),508130979.75
2006,Royalties,Gas (mcf),5702705427.28
2006,Royalties,Geothermal,12273668.03
2006,Royalties,Oil (bbl),3878563210.52
2006,Royalties,Other Commodities,69852110.85
2007,Bonus,Coal,346435013.02
2007,Bonus,Geothermal,5707750.00
2007,Bonus,Oil & Gas,550571499.49
2007,Bonus,Potassium,5559.75
2007,Other Revenues,Clay,462.00
2007,Other Revenues,Coal,-6433870.14
2007,Other Revenues,Copper,26110.00
2007,Other Revenues,Geothermal,27428.50
2007,Other Revenues,Gilsonite,8871.00
2007,Other Revenues,Hardrock,11820.50
2007,Other Revenues,Oil & Gas,89330540.97
2007,Other Revenues,Phosphate,186675.00
2007,Other Revenues,Potassium,278097.07
2007,Other Revenues,Sodium,176133.12
2007,Other Revenues,Sulfur,11624.84
2007,Rents,Clay,314.00
2007,Rents,Coal,1076053.53
2007,Rents,Gemstones,80.00
2007,Rents,Geothermal,946365.42
2007,Rents,Gilsonite,2288.00
2007,Rents,Hardrock,-5148.20
2007,Rents,Oil & Gas,264176368.06
2007,Rents,Phosphate,2202.00
2007,Rents,Potassium,17620.75
2007,Rents,Sodium,10737.00
2007,Rents,Tar Sands,12190.00
2007,Royalties,Coal (ton),561549251.60
2007,Royalties,Gas (mcf),4747027997.97
2007,Royalties,Geothermal,12101004.46
2007,Royalties,Oil (bbl),4313727075.89
2007,Royalties,Other Commodities,67183400.29
2008,Bonus,Coal,435798412.67
2008,Bonus,Geothermal,22016128.00
2008,Bonus,Hardrock,1147.00
2008,Bonus,Oil & Gas,9682957464.55
2008,Bonus,Potassium,787103.75
2008,Bonus,Sodium,240.00
2008,Other Revenues,Clay,942.00
2008,Other Revenues,Coal,1960659.18
2008,Other Revenues,Copper,26110.00
2008,Other Revenues,Geothermal,827194.20
2008,Other Revenues,Gilsonite,6867.00
2008,Other Revenues,Hardrock,36441.09
2008,Other Revenues,Oil & Gas,157865480.22
2008,Other Revenues,Phosphate,146006.00
2008,Other Revenues,Potassium,430252.21
2008,Other Revenues,Sodium,330339.39
2008,Other Revenues,Sulfur,12709.04
2008,Rents,Asphalt,959.00
2008,Rents,Clay,314.00
2008,Rents,Coal,1322600.09
2008,Rents,Garnet,120.00
2008,Rents,Gemstones,320.00
2008,Rents,Geothermal,1625969.84
2008,Rents,Gilsonite,7162.00
2008,Rents,Hardrock,-20555.85
2008,Rents,Hot Springs,33.00
2008,Rents,Oil & Gas,300300485.55
2008,Rents,Phosphate,15201.00
2008,Rents,Potassium,66400.25
2008,Rents,Sodium,-52477.93
2008,Rents,Tar Sands,12190.00
2008,Royalties,Coal (ton),673981245.55
2008,Royalties,Gas (mcf),6116644267.59
2008,Royalties,Geothermal,14088197.40
2008,Royalties,Oil (bbl),6027772030.61
2008,Royalties,Other Commodities,89027882.83
2009,Bonus,Coal,390821322.26
2009,Bonus,Geothermal,34897279.00
2009,Bonus,Oil & Gas,1555182756.70
2009,Bonus,Potassium,23760.00
2009,Bonus,Sodium,1416.00
2009,Other Revenues,Clay,942.00
2009,Other Revenues,Coal,13339683.19
2009,Other Revenues,Copper,26110.00
2009,Other Revenues,Geothermal,40312.24
2009,Other Revenues,Gilsonite,-5730.69
2009,Other Revenues,Hardrock,32814.87
2009,Other Revenues,Oil & Gas,-182890622.84
2009,Other Revenues,Phosphate,151238.00
2009,Other Revenues,Potassium,388158.25
2009,Other Revenues,Sodium,247885.40
2009,Other Revenues,Sulfur,12631.84
2009,Rents,Asphalt,959.00
2009,Rents,Clay,314.00
2009,Rents,Coal,1259812.55
2009,Rents,Geothermal,1963993.04
2009,Rents,Gilsonite,-4483.00
2009,Rents,Hardrock,11857.02
2009,Rents,Oil & Gas,289804415.67
2009,Rents,Oil Shale,15264.00
2009,Rents,Phosphate,1879.00
2009,Rents,Potassium,109449.50
2009,Rents,Sodium,-19948.49
2009,Rents,Tar Sands,7679.67
2009,Royalties,Coal (ton),693890507.80
2009,Royalties,Gas (mcf),2820058150.65
2009,Royalties,Geothermal,11420317.34
2009,Royalties,Oil (bbl),3752497699.28
2009,Royalties,Other Commodities,121481496.08
2010,Bonus,Coal,109259486.55
2010,Bonus,Geothermal,11261992.00
2010,Bonus,Gilsonite,1500.00
2010,Bonus,Oil & Gas,1181441803.16
2010,Bonus,Phosphate,6892.00
2010,Bonus,Sodium,120.00
2010,Other Revenues,Clay,462.00
2010,Other Revenues,Coal,3565687.21
2010,Other Revenues,Copper,26110.00
2010,Other Revenues,Geothermal,96980.21
2010,Other Revenues,Gilsonite,5100.00
