Fiscal Year,Revenue Type,Commodity,Revenue
2010,Other Revenues,Hardrock,43956.57
2010,Other Revenues,Oil & Gas,318771070.31
2010,Other Revenues,Phosphate,153040.00
2010,Other Revenues,Potassium,179169.57
2010,Other Revenues,Sodium,186938.25
2010,Other Revenues,Sulfur,12551.32
2010,Rents,Asphalt,-2397.50
2010,Rents,Clay,154.00
2010,Rents,Coal,1274215.35
2010,Rents,Garnet,80.00
2010,Rents,Geothermal,3749502.28
2010,Rents,Gilsonite,2288.00
2010,Rents,Hardrock,12158.43
2010,Rents,Limestone,40.00
2010,Rents,Oil & Gas,294445091.70
2010,Rents,Oil Shale,-15264.00
2010,Rents,Phosphate,-11093.00
2010,Rents,Potassium,-84953.00
2010,Rents,Sodium,12375.34
2010,Rents,Tar Sands,7732.00
2010,Rents,Wind,68319.68
2010,Royalties,Coal (ton),742693851.50
2010,Royalties,Gas (mcf),2444173243.52
2010,Royalties,Geothermal,11379200.07
2010,Royalties,Oil (bbl),3854400308.90
2010,Royalties,Other Commodities,103269592.93
2011,Bonus,Coal,175235034.40
2011,Bonus,Geothermal,393932.00
2011,Bonus,Oil & Gas,270218666.17
2011,Bonus,Phosphate,755824.00
2011,Bonus,Potassium,20962776.73
2011,Bonus,Sodium,120.00
2011,Other Revenues,Clay,462.00
2011,Other Revenues,Coal,5176944.08
2011,Other Revenues,Copper,26110.00
2011,Other Revenues,Geothermal,48289.81
2011,Other Revenues,Gilsonite,10113.00
2011,Other Revenues,Hardrock,39238.55
2011,Other Revenues,Oil & Gas,37569567.87
2011,Other Revenues,Phosphate,139945.00
2011,Other Revenues,Potassium,301090.30
2011,Other Revenues,Sodium,184140.40
2011,Other Revenues,Sulfur,12670.72
2011,Rents,Clay,314.00
2011,Rents,Coal,1420470.26
2011,Rents,Geothermal,3238763.00
2011,Rents,Gilsonite,-2495.50
2011,Rents,Hardrock,-2099.50
2011,Rents,Oil & Gas,268246528.48
2011,Rents,Phosphate,3386.00
2011,Rents,Potassium,41860.75
2011,Rents,Sodium,-172.15
2011,Rents,Tar Sands,7732.00
2011,Rents,Wind,186487.60
2011,Royalties,Coal (ton),774185841.14
2011,Royalties,Gas (mcf),2766292923.73
2011,Royalties,Geothermal,12210978.54
2011,Royalties,Oil (bbl),6213285570.55
2011,Royalties,Other Commodities,121352118.68
2012,Bonus,Coal,560597984.43
2012,Bonus,Geothermal,94089.00
2012,Bonus,Hardrock,30.00
2012,Bonus,Oil & Gas,946766723.25
2012,Bonus,Phosphate,799997.74
2012,Bonus,Potassium,42560.00
2012,Bonus,Sodium,-480.00
2012,Other Revenues,Clay,462.00
2012,Other Revenues,Coal,3527834.64
2012,Other Revenues,Copper,26110.00
2012,Other Revenues,Geothermal,12413.15
2012,Other Revenues,Gilsonite,-1860.00
2012,Other Revenues,Hardrock,47735.56
2012,Other Revenues,Oil & Gas,22324300.08
2012,Other Revenues,Phosphate,134164.00
2012,Other Revenues,Potassium,368535.62
2012,Other Revenues,Sodium,81251.00
2012,Other Revenues,Sulfur,12429.60
2012,Rents,Clay,-6.00
2012,Rents,Coal,1341477.41
2012,Rents,Geothermal,3022350.00
2012,Rents,Gilsonite,-1829.00
2012,Rents,Hardrock,-1407.00
2012,Rents,Oil & Gas,271781004.99
2012,Rents,Oil Shale,1876.00
2012,Rents,Phosphate,-8954.50
2012,Rents,Potassium,186000.00
2012,Rents,Sodium,-3437.51
2012,Rents,Wind,111762.92
2012,Royalties,Coal (ton),799306819.57
2012,Royalties,Gas (mcf),2001250174.37
2012,Royalties,Geothermal,11915506.94
2012,Royalties,Oil (bbl),6491427002.29
2012,Royalties,Other Commodities,160006984.64
2013,Bonus,Coal,460458001.79
2013,Bonus,Geothermal,113052.00
2013,Bonus,Oil & Gas,2864635991.97
2013,Bonus,Potassium,2796952.00
2013,Bonus,Wind,24107.50
2013,Other Revenues,Clay,942.00
2013,Other Revenues,Coal,6036353.03
2013,Other Revenues,Copper,26110.00
2013,Other Revenues,Geothermal,11151.77
2013,Other Revenues,Gilsonite,3372.00
2013,Other Revenues,Hardrock,36776.40
2013,Other Revenues,Oil & Gas,54856315.82
2013,Other Revenues,Phosphate,170253.00
2013,Other Revenues,Potassium,270227.00
2013,Other Revenues,Sodium,62793.46
2013,Other Revenues,Sulfur,11186.00
2013,Rents,Clay,314.00
2013,Rents,Coal,1133149.17
2013,Rents,Copper,-2611.00
2013,Rents,Geothermal,2612042.00
2013,Rents,Gilsonite,492.50
2013,Rents,Hardrock,28839.50
2013,Rents,Oil & Gas,298715849.69
2013,Rents,Oil Shale,1876.00
2013,Rents,Phosphate,-4146.50
2013,Rents,Potassium,45615.25
2013,Rents,Sodium,44058.50
2013,Rents,Wind,411727.84
2013,Royalties,Coal (ton),697439021.31
2013,Royalties,Gas (mcf),1956228553.25
2013,Royalties,Geothermal,12099530.22
2013,Royalties,Oil (bbl),6893982829.86
2013,Royalties,Other Commodities,164101811.83
