Year	State	County	FIPS	Volume
2013	SD	Fall River County	46047	2
2007	SD	Fall River County	46047	2
2006	SD	Fall River County	46047	2
2008	SD	Fall River County	46047	2
2012	SD	Fall River County	46047	2
2011	SD	Fall River County	46047	2
2005	SD	Fall River County	46047	2
2014	SD	Fall River County	46047	1
2009	SD	Fall River County	46047	2
2010	SD	Fall River County	46047	2
2010	SD	Harding County	46063	2
2011	SD	Harding County	46063	2
2005	SD	Harding County	46063	2
2009	SD	Harding County	46063	2
2006	SD	Harding County	46063	2
2008	SD	Harding County	46063	2
2007	SD	Harding County	46063	2
2014	SD	Harding County	46063	2
2013	SD	Harding County	46063	2
2012	SD	Harding County	46063	2
