Year	State	County	FIPS	Volume
2005	LA	De Soto Parish	22031	2
2006	LA	De Soto Parish	22031	2
2014	LA	Lafourche Parish	22057	1
2013	LA	Lafourche Parish	22057	1
2011	LA	Lincoln Parish	22061	2
2012	LA	Lincoln Parish	22061	2
2014	LA	Lincoln Parish	22061	2
2012	LA	Lafourche Parish	22057	1
2008	LA	Red River Parish	22081	2
2009	LA	Beauregard Parish	22011	2
2014	LA	Natchitoches Parish	22069	1
2013	LA	Bienville Parish	22013	2
2007	LA	Bienville Parish	22013	2
2009	LA	Lincoln Parish	22061	2
2008	LA	Lincoln Parish	22061	2
2008	LA	Lafourche Parish	22057	2
2010	LA	Lincoln Parish	22061	2
2014	LA	Bienville Parish	22013	2
2013	LA	Natchitoches Parish	22069	1
2006	LA	Bienville Parish	22013	2
2011	LA	Bienville Parish	22013	2
2014	LA	Beauregard Parish	22011	2
2013	LA	Beauregard Parish	22011	2
2012	LA	Beauregard Parish	22011	2
2008	LA	Beauregard Parish	22011	2
2007	LA	Beauregard Parish	22011	2
2011	LA	Beauregard Parish	22011	2
2010	LA	Natchitoches Parish	22069	1
2010	LA	Bienville Parish	22013	2
2005	LA	Bienville Parish	22013	2
2012	LA	Bienville Parish	22013	2
2012	LA	La Salle Parish	22059	2
2010	LA	Beauregard Parish	22011	2
2008	LA	St. Mary Parish	22101	2
2006	LA	Lincoln Parish	22061	2
2007	LA	Cameron Parish	22023	2
2011	LA	Lafourche Parish	22057	1
2012	LA	Natchitoches Parish	22069	1
2005	LA	Lincoln Parish	22061	2
2006	LA	Beauregard Parish	22011	2
2005	LA	Beauregard Parish	22011	2
2011	LA	Natchitoches Parish	22069	1
2006	LA	St. Mary Parish	22101	2
2006	LA	Cameron Parish	22023	2
2010	LA	La Salle Parish	22059	2
2011	LA	La Salle Parish	22059	2
2007	LA	De Soto Parish	22031	2
2008	LA	Bienville Parish	22013	2
2009	LA	Bienville Parish	22013	2
2005	LA	Cameron Parish	22023	2
2009	LA	La Salle Parish	22059	2
2009	LA	Natchitoches Parish	22069	2
2007	LA	Natchitoches Parish	22069	2
2008	LA	De Soto Parish	22031	2
2013	LA	De Soto Parish	22031	2
2007	LA	Lincoln Parish	22061	2
2007	LA	St. Mary Parish	22101	2
2008	LA	Natchitoches Parish	22069	2
2014	LA	Vermilion Parish	22113	2
2014	LA	De Soto Parish	22031	2
2006	LA	Natchitoches Parish	22069	2
2007	LA	La Salle Parish	22059	2
2008	LA	La Salle Parish	22059	2
2013	LA	Vermilion Parish	22113	2
2012	LA	Vermilion Parish	22113	2
2010	LA	Vermilion Parish	22113	2
2009	LA	Vermilion Parish	22113	2
2011	LA	Vermilion Parish	22113	2
2007	LA	Vermilion Parish	22113	2
2010	LA	Lafourche Parish	22057	1
2009	LA	Lafourche Parish	22057	1
2012	LA	De Soto Parish	22031	2
2007	LA	Lafourche Parish	22057	2
2005	LA	La Salle Parish	22059	2
2009	LA	De Soto Parish	22031	2
2006	LA	Vermilion Parish	22113	2
2014	LA	Ouachita Parish	22073	1
2005	LA	Vermilion Parish	22113	2
2006	LA	La Salle Parish	22059	2
2005	LA	Natchitoches Parish	22069	2
2008	LA	Vermilion Parish	22113	2
2013	LA	Ouachita Parish	22073	1
2007	LA	St. Martin Parish	22099	2
2008	LA	Ouachita Parish	22073	1
2012	LA	Ouachita Parish	22073	1
2011	LA	Ouachita Parish	22073	1
2009	LA	Ouachita Parish	22073	1
2012	LA	East Baton Rouge Parish	22033	2
2010	LA	De Soto Parish	22031	2
2005	LA	Lafourche Parish	22057	2
2007	LA	Ouachita Parish	22073	1
2006	LA	Caldwell Parish	22021	1
2011	LA	De Soto Parish	22031	2
2008	LA	St. Martin Parish	22099	2
2006	LA	Ouachita Parish	22073	1
2006	LA	St. Martin Parish	22099	2
2005	LA	Ouachita Parish	22073	1
2010	LA	Ouachita Parish	22073	1
2011	LA	St. Martin Parish	22099	2
2010	LA	St. Martin Parish	22099	2
2014	LA	St. Martin Parish	22099	2
2011	LA	East Baton Rouge Parish	22033	2
2013	LA	East Baton Rouge Parish	22033	2
2014	LA	East Baton Rouge Parish	22033	2
2005	LA	St. Martin Parish	22099	2
2010	LA	East Baton Rouge Parish	22033	2
2012	LA	St. Martin Parish	22099	2
2009	LA	East Baton Rouge Parish	22033	2
2008	LA	Morehouse Parish	22067	1
2013	LA	St. Martin Parish	22099	2
2014	LA	Winn Parish	22127	2
2008	LA	East Baton Rouge Parish	22033	2
2006	LA	Lafourche Parish	22057	2
2006	LA	Morehouse Parish	22067	1
2013	LA	Winn Parish	22127	2
2014	LA	Vernon Parish	22115	2
2014	LA	Caldwell Parish	22021	1
2009	LA	Morehouse Parish	22067	1
2012	LA	Morehouse Parish	22067	1
2014	LA	Morehouse Parish	22067	1
2013	LA	Morehouse Parish	22067	1
2010	LA	Morehouse Parish	22067	1
2005	LA	Morehouse Parish	22067	1
2009	LA	St. Martin Parish	22099	2
2007	LA	Morehouse Parish	22067	1
2011	LA	Morehouse Parish	22067	1
2007	LA	Winn Parish	22127	2
2012	LA	Winn Parish	22127	2
2006	LA	Winn Parish	22127	2
2013	LA	Lincoln Parish	22061	1
2008	LA	Winn Parish	22127	2
2010	LA	Union Parish	22111	1
2011	LA	Winn Parish	22127	2
2010	LA	Winn Parish	22127	2
2007	LA	East Baton Rouge Parish	22033	2
2005	LA	Winn Parish	22127	2
2008	LA	Union Parish	22111	1
2014	LA	Terrebonne Parish	22109	2
2013	LA	Vernon Parish	22115	2
2009	LA	Winn Parish	22127	2
2014	LA	Union Parish	22111	1
2012	LA	Union Parish	22111	1
2011	LA	Union Parish	22111	1
2011	LA	Red River Parish	22081	1
2014	LA	Grant Parish	22043	1
2013	LA	Union Parish	22111	1
2007	LA	Union Parish	22111	1
2009	LA	Union Parish	22111	1
2011	LA	Webster Parish	22119	2
2011	LA	Vernon Parish	22115	2
2012	LA	Vernon Parish	22115	2
2010	LA	Vernon Parish	22115	2
2006	LA	Union Parish	22111	1
2010	LA	Webster Parish	22119	2
2014	LA	Webster Parish	22119	2
2013	LA	Caldwell Parish	22021	1
2005	LA	Union Parish	22111	1
2009	LA	Webster Parish	22119	2
2005	LA	Webster Parish	22119	2
2006	LA	East Baton Rouge Parish	22033	2
2008	LA	Webster Parish	22119	2
2013	LA	Rapides Parish	22079	2
2006	LA	Webster Parish	22119	2
2014	LA	Rapides Parish	22079	2
2013	LA	Caddo Parish	22017	2
2014	LA	Caddo Parish	22017	2
2007	LA	Webster Parish	22119	2
2011	LA	Caddo Parish	22017	2
2012	LA	Caddo Parish	22017	2
2008	LA	Rapides Parish	22079	2
2010	LA	Caddo Parish	22017	2
2008	LA	Caddo Parish	22017	2
2009	LA	Caddo Parish	22017	2
2014	LA	Claiborne Parish	22027	2
2009	LA	Rapides Parish	22079	2
2007	LA	Rapides Parish	22079	2
2013	LA	Claiborne Parish	22027	2
2007	LA	Caddo Parish	22017	2
2012	LA	Caldwell Parish	22021	1
2013	LA	Webster Parish	22119	2
2008	LA	Vernon Parish	22115	2
2012	LA	Claiborne Parish	22027	2
