Company	Revenue Type	Commodity	Revenue		
APEX OIL & GAS INC	ONRR - Royalties	Oil	$576.97 		
APEX OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	$33,411.00 		
ARCH COAL INC	ONRR - Other Revenues	Coal	$4,080,028.17 		
ARCH COAL INC	ONRR - Other Revenues	N/A	$6,799.92 		
ARCH COAL INC	ONRR - Royalties	Coal	$93,932,188.85 		
ARCH COAL INC	ONRR/BLM - Rents	Coal	$163,010.14 		
ARCH COAL INC	ONRR/BLM - Rents	Oil & Gas	$22,238.00 		
ARCH COAL INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$25,059,336.73 		
ARENA ENERGY	ONRR - Civil Penalties	N/A	$62,750.00 		
ARENA ENERGY	ONRR - Inspection Fees	Oil & Gas	$501,000.00 		
ARENA ENERGY	ONRR - Other Revenues	N/A	$160.39 		
ARENA ENERGY	ONRR - Other Revenues	Oil & Gas	$843,244.70 		
ARENA ENERGY	ONRR - Royalties	Gas	$14,380,908.48 		
ARENA ENERGY	ONRR - Royalties	Oil	$80,378,555.18 		
ARENA ENERGY	ONRR/BLM - Bonus	Oil & Gas	$1,247,000.00 		
ARENA ENERGY	ONRR/BLM - Rents	Oil & Gas	$671,449.00 		
ARGUS ENERGY WV LLC	ONRR - Other Revenues	Coal	$1,262.50 		
ARGUS ENERGY WV LLC	ONRR - Other Revenues	N/A	$436.00 		
ARGUS ENERGY WV LLC	ONRR/BLM - Bonus	Coal	$155,000.00 		
ARGUS ENERGY WV LLC	ONRR/BLM - Rents	Coal	$22,920.00 		
ARIZONA LITHIUM COMPANY LTD	BLM - Permit Fees	Locatable Minerals	$103,880.00 		
ARM ENERGY MANAGEMENT LLC	ONRR - Other Revenues	Oil & Gas	$233.35 		
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Gas	$2,106,236.13 		
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Oil	$5,256.98 		
ARMSTRONG COAL CO INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$902,436.63 		
ARMSTRONG RESOURCES  LLC	ONRR/BLM - Bonus	Oil & Gas	$216,229.00 		
ARMSTRONG RESOURCES  LLC	ONRR/BLM - Rents	Oil & Gas	$346,055.00 		
ARNELL OIL CO	ONRR - Royalties	Oil	$187,318.94 		
ARRAY PETROLEUM	ONRR - Other Revenues	N/A	$734.72 		
ARRAY PETROLEUM	ONRR - Other Revenues	Oil & Gas	$4,561.29 		
ARRAY PETROLEUM	ONRR - Royalties	Gas	$50,544.20 		
ARRAY PETROLEUM	ONRR - Royalties	Oil	$1,175,832.70 		
ARRAY PETROLEUM	ONRR/BLM - Rents	Oil & Gas	$1,350.00 		
ASARCO LLC	BLM - Permit Fees	Locatable Minerals	$414,315.00 		
ASRC	ONRR/BLM - Rents	Oil & Gas	$414,720.00 		
ATLANTIA PROMETHEUS LLC	ONRR/BLM - Rents	Oil & Gas	$329,328.00 		
ATLAS RESOURCE PARTNERS LP	ONRR - Other Revenues	Oil & Gas	($220,180.96)		
ATLAS RESOURCE PARTNERS LP	ONRR - Royalties	Gas	$397,546.69 		
ATLAS RESOURCE PARTNERS LP	ONRR - Royalties	Oil	$1,211,046.51 		
ATLAS RESOURCE PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	$1,108.00 		
ATOFINA PETROCHEMICALS INC.	ONRR/BLM - Rents	Oil & Gas	$256,318.00 		
ATX ENERGY PARTNERS	BLM - Permit Fees	Oil & Gas	$3,770.00 		
ATX ENERGY PARTNERS	ONRR/BLM - Bonus	Oil & Gas	$710,360.00 		
ATX ENERGY PARTNERS	ONRR/BLM - Rents	Oil & Gas	$3,540.00 		
AUGUSTUS ENERGY PARTNERS LLC	ONRR - Royalties	Gas	$12,242.43 		
AUGUSTUS ENERGY PARTNERS LLC	ONRR - Royalties	Oil	$49,507.13 		
AUGUSTUS ENERGY PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	$38,451.50 		
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	$955.97 		
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Royalties	Gas	$134,215.71 		
AU-REKA GOLD CORP	BLM - Permit Fees	Locatable Minerals	$237,925.00 		
AVAD OPERATING LLC	ONRR - Royalties	Gas	$573,585.44 		
AVANGRID RENEWABLES LLC	ONRR/BLM - Bonus	Wind	$9,066,650.00 		
AVANGRID RENEWABLES LLC	ONRR/BLM - Rents	Wind	$367,215.00 		
AZALEA OIL CO, LLC	ONRR - Other Revenues	Oil & Gas	$5,395.94 		
AZALEA OIL CO, LLC	ONRR/BLM - Bonus	Oil & Gas	$279,764.00 		
AZALEA OIL CO, LLC	ONRR/BLM - Rents	Oil & Gas	$49,057.50 		
B & N COAL INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$133,795.38 		
B & W RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$147,481.28 		
B.C. OPERATING INC	ONRR - Other Revenues	Oil & Gas	$30,866.29 		
B.C. OPERATING INC	ONRR - Royalties	Gas	$277,741.51 		
B.C. OPERATING INC	ONRR - Royalties	Oil	$664,069.76 		
B.C. OPERATING INC	ONRR/BLM - Rents	Oil & Gas	$5,798.34 		
BALD MOUNTAIN EXPLORATION	BLM - Permit Fees	Locatable Minerals	$422,685.00 		
BALIDOR OIL & GAS, LLC	BLM - Permit Fees	Oil & Gas	$322,230.00 		
BALIDOR OIL & GAS, LLC	ONRR/BLM - Bonus	Oil & Gas	$1,136,160.00 		
BALIDOR OIL & GAS, LLC	ONRR/BLM - Rents	Oil & Gas	$11,500.50 		
BALLARD PETROLEUM HOLDINGS LLC	BLM - Permit Fees	Oil & Gas	$292,765.00 		
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	$25,883.99 		
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Gas	$538,516.41 		
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Oil	$3,597,053.66 		
BALLARD PETROLEUM HOLDINGS LLC	ONRR/BLM - Rents	Oil & Gas	$20,851.50 		
BARRICK CORRTEZ INC	BLM - Permit Fees	Locatable Minerals	$199,660.00 		
BARRICK GOLD CORP	BLM - Permit Fees	Locatable Minerals	$560,976.00 		
BARRICK TURQUOISE RIDGE INC	BLM - Permit Fees	Locatable Minerals	$217,930.00 		
BARTON, ROY G JR	ONRR - Other Revenues	Oil & Gas	$93.00 		
BARTON, ROY G JR	ONRR/BLM - Bonus	Oil & Gas	$1,325,000.00 		
BARTON, ROY G JR	ONRR/BLM - Rents	Oil & Gas	$3,286.00 		
BASA RESOURCES, INC.	ONRR - Royalties	Oil	$243,822.94 		
BASELINE MINERALS INC	ONRR/BLM - Bonus	Oil & Gas	$1,207,881.00 		
BASELINE MINERALS INC	ONRR/BLM - Rents	Oil & Gas	$15,037.50 		
BASIN & RANGE RESOURCES LLC	BLM - Permit Fees	Locatable Minerals	$145,030.00 		
BAY STATE WIND LLC	ONRR/BLM - Rents	Wind	$562,569.00 		
BBL, LTD.	ONRR - Other Revenues	Oil & Gas	$27,351.28 		
BBL, LTD.	ONRR - Royalties	Gas	$194,498.76 		
BEARTOOTH OIL & GAS COMPANY	BLM - Permit Fees	Oil & Gas	$3,990.00 		
BEARTOOTH OIL & GAS COMPANY	ONRR - Other Revenues	Oil & Gas	$4,815.41 		
BEARTOOTH OIL & GAS COMPANY	ONRR - Royalties	Gas	$130,467.53 		
BEARTOOTH OIL & GAS COMPANY	ONRR - Royalties	Oil	$9,416.91 		
BEARTOOTH OIL & GAS COMPANY	ONRR/BLM - Rents	Oil & Gas	$3,172.00 		
BEECHWOOD COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$151,670.42 		
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	N/A	$1,095.24 		
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	Oil & Gas	$1,094.40 		
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Gas	$333,129.70 		
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Oil	$382,010.83 		
BENSON-MONTIN-GREER DRILLING CORP	ONRR/BLM - Rents	Oil & Gas	$2,773.00 		
BENTONITE PERFORMANCE MINERALS LLC	BLM - Permit Fees	Locatable Minerals	$201,172.00 		
BERENERGY CORP	ONRR - Other Revenues	Oil & Gas	$30,316.76 		
BERENERGY CORP	ONRR - Royalties	Gas	$217,076.17 		
BERENERGY CORP	ONRR - Royalties	Oil	$700.26 		
