Company	Revenue Type	Commodity	Revenue		
CARRIZO OIL & GAS INC	ONRR - Royalties	Oil	$200,898.99 		
CARRIZO OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	$10,333.00 		
CASILLAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	$102.01 		
CASILLAS PETROLEUM CORP	ONRR - Royalties	Gas	$406,282.75 		
CASILLAS PETROLEUM CORP	ONRR - Royalties	Oil	$312,277.02 		
CASILLAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	$281.00 		
CASTEX OFFSHORE INC	ONRR - Inspection Fees	Oil & Gas	$298,900.00 		
CASTEX OFFSHORE INC	ONRR - Other Revenues	N/A	$751.55 		
CASTEX OFFSHORE INC	ONRR - Other Revenues	Oil & Gas	$340,258.40 		
CASTEX OFFSHORE INC	ONRR - Royalties	Gas	$3,253,147.05 		
CASTEX OFFSHORE INC	ONRR - Royalties	Oil	$3,864,065.86 		
CASTEX OFFSHORE INC	ONRR/BLM - Rents	Oil & Gas	$503,468.00 		
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Other Revenues	Oil & Gas	$53,548.75 		
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Royalties	Gas	$531,690.21 		
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Royalties	Oil	$204,064.00 		
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR/BLM - Rents	Oil & Gas	$10,973.50 		
CATAMOUNT ENERGY PARTNERS LLC	BLM - Permit Fees	Oil & Gas	$12,175.00 		
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Other Revenues	N/A	$1,458.00 		
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	$55,029.12 		
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Royalties	Gas	$588,273.84 		
CATAMOUNT ENERGY PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	$3,500.00 		
CAZA	ONRR - Other Revenues	Oil & Gas	$3,743.99 		
CAZA	ONRR - Royalties	Gas	$119,569.47 		
CAZA	ONRR - Royalties	Oil	$6,406.97 		
CAZA	ONRR/BLM - Rents	Oil & Gas	$2,844.50 		
CEDAR LAKE MINING INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$302,192.56 		
CEMEX	BLM - Permit Fees	Locatable Minerals	$100,285.00 		
CEMEX	BLM - Permit Fees	Mineral Materials	$502,900.64 		
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Other Revenues	Oil & Gas	$458.86 		
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Royalties	Gas	$40,293.14 		
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Royalties	Oil	$327,458.47 		
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR/BLM - Rents	Oil & Gas	$320.00 		
CHABAUD MANAGEMENT COMPANY	ONRR/BLM - Bonus	Oil & Gas	$102,400.00 		
CHABAUD MANAGEMENT COMPANY	ONRR/BLM - Rents	Oil & Gas	$3,840.00 		
CHACO ENERGY CO	BLM - Permit Fees	Oil & Gas	$285.00 		
CHACO ENERGY CO	ONRR - Other Revenues	Oil & Gas	$840.67 		
CHACO ENERGY CO	ONRR - Royalties	Gas	$71,626.02 		
CHACO ENERGY CO	ONRR - Royalties	Oil	$96,188.65 		
CHACO ENERGY CO	ONRR/BLM - Rents	Oil & Gas	$1,510.00 		
CHARTER ENERGY PARTNERS LLC	BLM - Permit Fees	Oil & Gas	$3,330.00 		
CHARTER ENERGY PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	$109,647.50 		
CHEMILY MANAGEMENT COMPANY	BLM - Permit Fees	Oil & Gas	$570.00 		
CHEMILY MANAGEMENT COMPANY	ONRR - Other Revenues	Oil & Gas	$1,351.33 		
CHEMILY MANAGEMENT COMPANY	ONRR - Royalties	Gas	$20,172.16 		
CHEMILY MANAGEMENT COMPANY	ONRR - Royalties	Oil	$140,821.84 		
CHESAPEAKE ENERGY CORP	ONRR - Other Revenues	N/A	$1,408.00 		
CHESAPEAKE ENERGY CORP	ONRR - Other Revenues	Oil & Gas	$209,412.93 		
CHESAPEAKE ENERGY CORP	ONRR - Royalties	Gas	$5,233,920.27 		
CHESAPEAKE ENERGY CORP	ONRR - Royalties	Oil	$8,732,925.17 		
CHESAPEAKE ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$213,520.50 		
CHESAPEAKE EXPLORATION LLC	BLM - Permit Fees	Oil & Gas	$773,820.00 		
CHEVRON CORP	BLM - Permit Fees	Locatable Minerals	$21,080.00 		
CHEVRON CORP	BLM - Permit Fees	Oil & Gas	$613,070.00 		
CHEVRON CORP	ONRR - Civil Penalties	N/A	$84,204.00 		
CHEVRON CORP	ONRR - Inspection Fees	Oil & Gas	$1,342,000.00 		
CHEVRON CORP	ONRR - Other Revenues	N/A	$726.84 		
CHEVRON CORP	ONRR - Other Revenues	Oil & Gas	$96,385.36 		
CHEVRON CORP	ONRR - Royalties	Gas	$36,692,412.00 		
CHEVRON CORP	ONRR - Royalties	Oil	$234,507,518.31 		
CHEVRON CORP	ONRR - Royalties	Other Commodities	($771.75)		
CHEVRON CORP	ONRR/BLM - Bonus	Oil & Gas	$63,505,071.00 		
CHEVRON CORP	ONRR/BLM - Rents	Oil & Gas	$9,114,503.43 		
CHEYENNE RIVER LLC	BLM - Permit Fees	Oil & Gas	$385.00 		
CHEYENNE RIVER LLC	ONRR - Other Revenues	Oil & Gas	$2,766.12 		
CHEYENNE RIVER LLC	ONRR - Royalties	Gas	$54,114.05 		
CHEYENNE RIVER LLC	ONRR - Royalties	Oil	$84,365.09 		
CHEYENNE RIVER LLC	ONRR/BLM - Rents	Oil & Gas	$87,775.00 		
CHI	ONRR - Other Revenues	Oil & Gas	$63,522.68 		
CHI	ONRR - Royalties	Gas	$266,456.28 		
CHIPCORE LLC	BLM - Permit Fees	Oil & Gas	$285.00 		
CHIPCORE LLC	ONRR - Other Revenues	Oil & Gas	$506.00 		
CHIPCORE LLC	ONRR - Royalties	Gas	$161,585.95 		
CHIPCORE LLC	ONRR - Royalties	Oil	$25,400.28 		
CHISHOLM ENERGY OPERATING LLC	BLM - Permit Fees	Oil & Gas	$292,175.00 		
CHISHOLM ENERGY OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$566,240.00 		
CHISHOLM ENERGY OPERATING LLC	ONRR - Royalties	Gas	$232,565.21 		
CHISHOLM ENERGY OPERATING LLC	ONRR - Royalties	Oil	$995,862.85 		
CHUGACH ELECTRIC ASSOCIATION INC	ONRR - Royalties	Gas	$490,978.13 		
CIMAREX ENERGY CO	ONRR - Other Revenues	N/A	$243.00 		
CIMAREX ENERGY CO	ONRR - Other Revenues	Oil & Gas	$480,257.96 		
CIMAREX ENERGY CO	ONRR - Royalties	Gas	$13,073,527.45 		
CIMAREX ENERGY CO	ONRR - Royalties	Oil	$31,206,896.97 		
CIMAREX ENERGY CO	ONRR/BLM - Rents	Oil & Gas	$14,079.00 		
CIMAREX ENERGY INC	BLM - Permit Fees	Oil & Gas	$857,225.00 		
CITATION OIL & GAS CORP	ONRR - Other Revenues	Oil & Gas	$146,407.60 		
CITATION OIL & GAS CORP	ONRR - Royalties	Gas	$197,590.48 		
CITATION OIL & GAS CORP	ONRR - Royalties	Oil	$5,404,696.10 		
CITATION OIL & GAS CORP	ONRR/BLM - Rents	Oil & Gas	$24,004.40 		
CL&F OPERATING LLC	BLM - Permit Fees	Oil & Gas	$39,160.00 		
CL&F OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$182,517.53 		
CL&F OPERATING LLC	ONRR - Royalties	Gas	$100,417.12 		
CL&F OPERATING LLC	ONRR - Royalties	Oil	$451,994.41 		
CL&F OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$960.00 		
CLAYTON WILLIAMS ENERGY INC	ONRR - Other Revenues	Oil & Gas	($51,636.47)		
CLAYTON WILLIAMS ENERGY INC	ONRR - Royalties	Gas	$227,089.95 		
CLAYTON WILLIAMS ENERGY INC	ONRR - Royalties	Oil	$208,485.55 		
CLAYTON WILLIAMS ENERGY INC	ONRR/BLM - Rents	Oil & Gas	$8,920.00 		
CLINTWOOD ELKHORN MINING CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	$263,595.20 		
CLOUD PEAK ENERGY INC	ONRR - Royalties	Coal	$83,742,020.88 		
CLOUD PEAK ENERGY INC	ONRR/BLM - Rents	Coal	$100,997.00 		
CLOUD PEAK ENERGY RESOURCES LLC	BLM - Permit Fees	Mineral Materials	$271,710.38 		
CLOUD PEAK ENERGY RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$16,948,180.77 		
CLOVER NEVADA LLC	BLM - Permit Fees	Locatable Minerals	$1,373,031.00 		
CM ENERGY OPERATIONS LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$104,672.06 		
CNX COAL RESOURCES LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$3,105,576.39 		
COACHMEN ENERGY OPERATING COMPANY LLC	ONRR - Other Revenues	Oil & Gas	$351.48 		
COACHMEN ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Gas	$137,047.77 		
COACHMEN ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Oil	$28,043.57 		
COACHMEN ENERGY OPERATING COMPANY LLC	ONRR/BLM - Rents	Oil & Gas	$7,672.00 		
COAL MAC LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$174,231.48 		
COBALT INTERNATIONAL ENERGY LP	ONRR - Inspection Fees	Oil & Gas	$244,000.00 		
COBALT INTERNATIONAL ENERGY LP	ONRR - Other Revenues	Oil & Gas	$610,612.91 		
COBALT INTERNATIONAL ENERGY LP	ONRR - Royalties	Oil	$5,896,579.07 		
COBALT INTERNATIONAL ENERGY LP	ONRR/BLM - Bonus	Oil & Gas	$2,816,492.00 		
COBALT INTERNATIONAL ENERGY LP	ONRR/BLM - Rents	Oil & Gas	$6,854,400.00 		
COBRA OIL AND GAS CORPORATION	ONRR - Other Revenues	Oil & Gas	$1,073.82 		
COBRA OIL AND GAS CORPORATION	ONRR - Royalties	Gas	$543,428.42 		
COBRA OIL AND GAS CORPORATION	ONRR - Royalties	Oil	$928,888.29 		
COEUR MINING INC	BLM - Permit Fees	Locatable Minerals	$111,979.00 		
COLEMAN OIL & GAS INC	BLM - Permit Fees	Oil & Gas	$725.00 		
COLEMAN OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	$2,844.63 		
COLEMAN OIL & GAS INC	ONRR - Royalties	Gas	$322,208.13 		
COLEMAN OIL & GAS INC	ONRR - Royalties	Oil	$7,996.78 		
COLEMAN OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	$6,743.00 		
COLGATE OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$3,841.64 		
COLGATE OPERATING LLC	ONRR - Royalties	Gas	$464,996.19 		
COLGATE OPERATING LLC	ONRR - Royalties	Oil	$1,941,680.38 		
COLORADO ENERGY MINERALS INC	ONRR/BLM - Bonus	Oil & Gas	$131,760.00 		
COLORADO ENERGY MINERALS INC	ONRR/BLM - Rents	Oil & Gas	$6,117.00 		
COLUMBIA PASS INC	BLM - Permit Fees	Locatable Minerals	$128,480.00 		
COLUMBIA PIPELINE GROUP	ONRR - Other Revenues	Oil & Gas	$358,667.39 		
COLUMBUS GOLD (US) CORP	BLM - Permit Fees	Locatable Minerals	$251,402.00 		
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Coal	$62,727.00 		
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Geothermal   	$2,387.40 		
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Locatable Minerals	$23,640,338.09 		
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Mineral Materials	$3,262,875.97 		
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Oil & Gas	$4,146,293.21 		
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Other Leasable Minerals	$4,595.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Civil Penalties	N/A	$319,178.53 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Inspection Fees	Oil & Gas	$93,131.37 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Asphalt	$12,556.20 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Clay	$462.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Coal	($2,069,833.81)		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Geothermal	$95,503.87 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Gold	$1,953.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Hardrock	$53,520.25 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	N/A	$74,455.26 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Oil & Gas	$842,630.50 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Phosphate	$2,718.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Potassium	$94,828.20 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Sodium	$6,605.89 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Wind	$157.18 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Coal	$15,595.53 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Gas	$5,237,959.25 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Geothermal	$119,414.18 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Oil	$6,160,414.17 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Other Commodities	$69,790.61 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Bonus	Geothermal	$1,280.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Bonus	Oil & Gas	($204,067.00)		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Coal	$28,539.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Geothermal	$422,967.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Gold	$651.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Hardrock	($343.12)		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Hot Springs	($5.00)		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Oil & Gas	$2,996,967.36 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Oil Shale	$640.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Phosphate	$66.00 		
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Sodium	$3,676.50 		
COMPANIES BELOW $100,000 THRESHOLD	OSMRE - AML Fees including Audits and Late Charges 	Coal	$4,696,843.96 		
COMPANIES BELOW $100,000 THRESHOLD	OSMRE - Civil Penalties including Late Charges	Coal	$42,761.91 		
CONCHO RESOURCES INC	BLM - Permit Fees	Oil & Gas	$1,391,650.00 		
CONCHO RESOURCES INC	ONRR - Other Revenues	Oil & Gas	$6,078,585.31 		
CONCHO RESOURCES INC	ONRR - Royalties	Gas	$33,387,459.75 		
CONCHO RESOURCES INC	ONRR - Royalties	Oil	$83,574,384.51 		
CONCHO RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$57,260.50 		
CONOCOPHILLIPS	BLM - Permit Fees	Oil & Gas	$990,285.00 		
CONOCOPHILLIPS	ONRR - Inspection Fees	Oil & Gas	$17,000.00 		
CONOCOPHILLIPS	ONRR - Other Revenues	Oil & Gas	($6,391,227.27)		
CONOCOPHILLIPS	ONRR - Royalties	Gas	$74,759,431.67 		
CONOCOPHILLIPS	ONRR - Royalties	Oil	$65,047,359.17 		
CONOCOPHILLIPS	ONRR - Royalties	Other Commodities	$25,687.21 		
CONOCOPHILLIPS	ONRR/BLM - Bonus	Oil & Gas	$19,050,833.00 		
CONOCOPHILLIPS	ONRR/BLM - Rents	Oil & Gas	$3,838,407.50 		
CONTANGO OIL & GAS CO	ONRR - Other Revenues	Oil & Gas	($171,249.98)		
CONTANGO OIL & GAS CO	ONRR - Royalties	Gas	$8,807,931.15 		
CONTANGO OIL & GAS CO	ONRR - Royalties	Oil	$1,043,365.41 		
CONTANGO OIL & GAS CO	ONRR/BLM - Rents	Oil & Gas	$10,545.00 		
CONTINENTAL RESOURCES INC	BLM - Permit Fees	Oil & Gas	$79,345.00 		
CONTINENTAL RESOURCES INC	ONRR - Other Revenues	Oil & Gas	$509,100.43 		
CONTINENTAL RESOURCES INC	ONRR - Royalties	Gas	$2,324,246.10 		
CONTINENTAL RESOURCES INC	ONRR - Royalties	Oil	$29,842,227.59 		
CONTINENTAL RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$56,735.00 		
CONTURA ENERGY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$10,672,059.66 		
CONTURA WYOMING LAND, LLC	ONRR - Other Revenues	Coal	$1,878.83 		
CONTURA WYOMING LAND, LLC	ONRR - Royalties	Coal	$41,955,388.15 		
CONTURA WYOMING LAND, LLC	ONRR/BLM - Rents	Coal	$38,796.00 		
CORONADO COAL	OSMRE - AML Fees including Audits and Late Charges 	Coal	$538,178.10 		
CORSA COAL CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$155,753.09 		
CORTEZ JOINT VENTURE	BLM - Permit Fees	Locatable Minerals	$1,004,510.00 		
CORVUS GOLD NEVADA INC	BLM - Permit Fees	Locatable Minerals	$155,174.00 		
COUGAR GOLD LLC	BLM - Permit Fees	Locatable Minerals	$190,030.00 		
COUNTRYMARK REFINING AND LOGISTICS LLC	ONRR - Other Revenues	Oil & Gas	$2,912.81 		
COUNTRYMARK REFINING AND LOGISTICS LLC	ONRR - Royalties	Oil	$97,119.95 		
COVEY PARK ENERGY LLC	BLM - Permit Fees	Oil & Gas	$570.00 		
COVEY PARK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$35,108.00 		
COVEY PARK ENERGY LLC	ONRR - Royalties	Gas	$165,975.44 		
COWBOY EXPLORATION	BLM - Permit Fees	Locatable Minerals	$223,186.00 		
COX OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$1,234,667.95 		
COX OPERATING LLC	ONRR - Royalties	Gas	$15,789,344.36 		
COX OPERATING LLC	ONRR - Royalties	Oil	$21,251,371.87 		
COX OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$4,020.00 		
CRAIG, PAUL L.	ONRR/BLM - Rents	Oil & Gas	$106,269.00 		
CRESCENT POINT ENERGY CORP	BLM - Permit Fees	Oil & Gas	$705,860.00 		
CRESCENT POINT ENERGY CORP	ONRR - Other Revenues	N/A	$243.00 		
CRESCENT POINT ENERGY CORP	ONRR - Other Revenues	Oil & Gas	$25,100.61 		
CRESCENT POINT ENERGY CORP	ONRR - Royalties	Gas	$10,893.09 		
CRESCENT POINT ENERGY CORP	ONRR - Royalties	Oil	$891,515.30 		
CRESCENT POINT ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$27,356.50 		
CRESTONE PEAK RESOURCES OPERATING LLS	ONRR - Other Revenues	Oil & Gas	$12,300.00 		
CRESTONE PEAK RESOURCES OPERATING LLS	ONRR - Royalties	Gas	$165,496.52 		
CRESTONE PEAK RESOURCES OPERATING LLS	ONRR - Royalties	Oil	$49,476.77 		
CRIMSON RESOURCE MANAGEMENT	ONRR - Other Revenues	Oil & Gas	$325.99 		
CRIMSON RESOURCE MANAGEMENT	ONRR - Royalties	Oil	$210,434.21 		
CRIMSON RESOURCE MANAGEMENT	ONRR/BLM - Rents	Oil & Gas	$0.00 		
CROSS BOW LLC	BLM - Permit Fees	Oil & Gas	$160.00 		
CROSS BOW LLC	ONRR/BLM - Bonus	Oil & Gas	$1,733,754.00 		
CROSS BOW LLC	ONRR/BLM - Rents	Oil & Gas	$490.50 		
CROSS TIMBERS ENERGY LLC	BLM - Permit Fees	Oil & Gas	$6,935.00 		
CROSS TIMBERS ENERGY LLC	ONRR - Other Revenues	N/A	$972.00 		
CROSS TIMBERS ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$168,532.62 		
CROSS TIMBERS ENERGY LLC	ONRR - Royalties	Gas	$4,130,536.25 		
CROSS TIMBERS ENERGY LLC	ONRR - Royalties	Oil	$481,906.24 		
CROSS TIMBERS ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$1,600.00 		
CROW CREEK RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	$1,677,828.00 		
CROW CREEK RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	$801.00 		
CROWN OIL PARTNERS	ONRR/BLM - Bonus	Oil & Gas	$5,641,000.00 		
CROWN OIL PARTNERS	ONRR/BLM - Rents	Oil & Gas	$720.00 		
CRUX1 LLC	ONRR - Royalties	Oil	$10,298,478.25 		
CS MINING LLC	BLM - Permit Fees	Locatable Minerals	$484,840.00 		
CUMBERLAND OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$3,339.34 		
CUMBERLAND OPERATING LLC	ONRR - Royalties	Gas	$101,918.44 		
CUMBERLAND OPERATING LLC	ONRR - Royalties	Oil	$6,149.38 		
CUMBERLAND OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$3,617.00 		
D. J. SIMMONS INC	ONRR - Other Revenues	N/A	$486.00 		
D. J. SIMMONS INC	ONRR - Other Revenues	Oil & Gas	$6,755.13 		
D. J. SIMMONS INC	ONRR - Royalties	Gas	$417,812.41 		
D. J. SIMMONS INC	ONRR - Royalties	Oil	$10,944.52 		
D. J. SIMMONS INC	ONRR/BLM - Rents	Oil & Gas	$927.00 		
DAJIN RESOURCES US CORP	BLM - Permit Fees	Locatable Minerals	$106,072.00 		
DANA MINING CO OF PENNSYLVANIA	OSMRE - AML Fees including Audits and Late Charges 	Coal	$221,765.65 		
DCOR LLC	ONRR - Other Revenues	Oil & Gas	$36,135.74 		
DCOR LLC	ONRR - Royalties	Gas	$789,973.68 		
DCOR LLC	ONRR - Royalties	Oil	$12,376,199.45 		
DCOR LLC	ONRR/BLM - Rents	Oil & Gas	$615.00 		
DCP MIDSTREAM LP	ONRR - Royalties	Gas	$759,419.42 		
DCP MIDSTREAM LP	ONRR/BLM - Rents	Oil & Gas	$3,960.00 		
DECKER OPERATING COMPANY LLC	ONRR - Other Revenues	Oil & Gas	$33,028.49 		
DECKER OPERATING COMPANY LLC	ONRR - Royalties	Gas	$5,589.09 		
DECKER OPERATING COMPANY LLC	ONRR/BLM - Rents	Oil & Gas	$86,957.00 		
DECONCINI MCDONALD YETWIN & LACY P C	BLM - Permit Fees	Locatable Minerals	$221,710.00 		
DEEP GULF ENERGY LP	ONRR - Inspection Fees	Oil & Gas	$335,500.00 		
DEEP GULF ENERGY LP	ONRR - Other Revenues	Oil & Gas	$2,225,282.14 		
DEEP GULF ENERGY LP	ONRR - Royalties	Gas	$427,550.89 		
DEEP GULF ENERGY LP	ONRR - Royalties	Oil	$28,713,514.68 		
DEEP GULF ENERGY LP	ONRR/BLM - Bonus	Oil & Gas	$1,500,000.00 		
DEEP GULF ENERGY LP	ONRR/BLM - Rents	Oil & Gas	$785,685.00 		
DEEPWATER WIND NEW ENGLAND LLC	ONRR/BLM - Rents	Wind	$494,250.00 		
DENBURY RESOURCES INC	ONRR - Other Revenues	Oil & Gas	$20,804.64 		
DENBURY RESOURCES INC	ONRR - Royalties	Gas	$485,547.46 		
DENBURY RESOURCES INC	ONRR - Royalties	Oil	$12,665,581.45 		
DENBURY RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$39,521.50 		
DEVON ENERGY CORP	BLM - Permit Fees	Oil & Gas	$1,457,185.54 		
DEVON ENERGY CORP	ONRR - Other Revenues	N/A	$729.00 		
DEVON ENERGY CORP	ONRR - Other Revenues	Oil & Gas	$1,786,421.95 		
DEVON ENERGY CORP	ONRR - Royalties	Gas	$20,218,621.29 		
DEVON ENERGY CORP	ONRR - Royalties	Oil	$77,382,219.82 		
DEVON ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$611,736.00 		
DIAMONDBACK DISPOSAL SVCS INC	BLM - Permit Fees	Mineral Materials	$139,560.00 		
DJR OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$76,983.09 		
DJR OPERATING LLC	ONRR - Royalties	Gas	$226,584.14 		
DJR OPERATING LLC	ONRR - Royalties	Oil	$90,627.46 		
DOE RUN COMPANY	ONRR - Other Revenues	Hardrock	$34,447.84 		
DOE RUN COMPANY	ONRR - Royalties	Other Commodities	$9,541,279.40 		
DOE RUN COMPANY	ONRR/BLM - Rents	Hardrock	($28,570.34)		
DOHENY, PATRICK A.	ONRR - Other Revenues	Oil & Gas	$120.00 		
DOHENY, PATRICK A.	ONRR - Royalties	Gas	$240,937.03 		
DOLET HILLS LIGNITE CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$165,150.00 		
DOMINION PRODUCTION CO LLC	ONRR - Other Revenues	N/A	$5,668.00 		
DOMINION PRODUCTION CO LLC	ONRR - Other Revenues	Oil & Gas	$327,141.28 		
DOMINION PRODUCTION CO LLC	ONRR - Royalties	Gas	$19,805,117.50 		
DOMINION PRODUCTION CO LLC	ONRR - Royalties	Oil	$1,158,430.74 		
DOMINION PRODUCTION CO LLC	ONRR/BLM - Rents	Oil & Gas	$122,761.00 		
DONG Energy LLC	ONRR/BLM - Rents	Wind	$481,440.00 		
DORADO OIL COMPANY	ONRR - Other Revenues	N/A	$1,308.00 		
DORADO OIL COMPANY	ONRR - Royalties	Oil	$287,969.34 		
DOS REPUBLICAS COAL PARTNERSHIP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$609,812.04 		
DRUMMOND COMPANY INC	ONRR - Other Revenues	Coal	Withheld		
DRUMMOND COMPANY INC	ONRR - Royalties	Coal	Withheld		
DRUMMOND COMPANY INC	ONRR/BLM - Rents	Coal	Withheld		
DRUMMOND COMPANY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$296,974.59 		
DUGAN PRODUCTION CORP	BLM - Permit Fees	Oil & Gas	$10,370.00 		
DUGAN PRODUCTION CORP	ONRR - Other Revenues	N/A	$679.00 		
DUGAN PRODUCTION CORP	ONRR - Other Revenues	Oil & Gas	$176,337.34 		
DUGAN PRODUCTION CORP	ONRR - Royalties	Gas	$3,060,585.28 		
DUGAN PRODUCTION CORP	ONRR - Royalties	Oil	$262,357.17 		
DUGAN PRODUCTION CORP	ONRR/BLM - Bonus	Oil & Gas	$507.50 		
DUGAN PRODUCTION CORP	ONRR/BLM - Rents	Oil & Gas	$36,235.00 		
DUKE CITY REDI-MIX	BLM - Permit Fees	Mineral Materials	$245,858.77 		
E&B NATURAL RESOURCES MANAGEMENT CORP	ONRR - Other Revenues	Oil & Gas	$5,068.69 		
E&B NATURAL RESOURCES MANAGEMENT CORP	ONRR - Royalties	Gas	$12,981.88 		
E&B NATURAL RESOURCES MANAGEMENT CORP	ONRR - Royalties	Oil	$1,462,475.51 		
E&B NATURAL RESOURCES MANAGEMENT CORP	ONRR/BLM - Rents	Oil & Gas	$2,421.50 		
EAGLE RIVER COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$227,299.34 		
ECLIPSE RESOURCES OHIO LLC	ONRR/BLM - Bonus	Oil & Gas	$4,641,882.00 		
ECLIPSE RESOURCES OHIO LLC	ONRR/BLM - Rents	Oil & Gas	$2,289.00 		
