Company	Revenue Type	Commodity	Revenue
ARCH COAL INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$24,425,320
ARENA ENERGY	ONRR - Civil Penalties	N/A	$80,000
ARENA ENERGY	ONRR - Inspection Fees	Oil & Gas	$2,417,500
ARENA ENERGY	ONRR - Other Revenues	Oil & Gas	$588,870
ARENA ENERGY	ONRR - Royalties	Gas	$8,000,256
ARENA ENERGY	ONRR - Royalties	Oil	$44,013,209
ARENA ENERGY	ONRR/BLM - Bonus	Oil & Gas	$217,000
ARENA ENERGY	ONRR/BLM - Rents	Oil & Gas	$809,875
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Other Revenues	Oil & Gas	$3,606
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Royalties	Oil	$115,384
ARGENT ENERGY (US) HOLDINGS INC	ONRR/BLM - Rents	Oil & Gas	$343
ARIZONA LITHIUM CO LTD	BLM - Permit Fees	Locatable Minerals	$141,146
ARIZONA MINERALS INC	BLM - Permit Fees	Locatable Minerals	$190,133
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Gas	$1,938,373
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Oil	$16,096
ARMSTRONG COAL CO INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$1,092,237
ASARCO LLC	BLM - Permit Fees	Locatable Minerals	$476,217
ATLAS RESOURCE PARTNERS LP	ONRR - Other Revenues	N/A	$13
ATLAS RESOURCE PARTNERS LP	ONRR - Other Revenues	Oil & Gas	$338
ATLAS RESOURCE PARTNERS LP	ONRR - Royalties	Gas	$334,112
ATLAS RESOURCE PARTNERS LP	ONRR - Royalties	Oil	$1,407,775
ATLAS RESOURCE PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	$2,635
AUC LLC	BLM - Permit Fees	Locatable Minerals	$107,880
AUGUSTUS ENERGY PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	$18,766
AUGUSTUS ENERGY PARTNERS LLC	ONRR - Royalties	Gas	$36,036
AUGUSTUS ENERGY PARTNERS LLC	ONRR - Royalties	Oil	$237,804
AUGUSTUS ENERGY PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	$36,236
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Royalties	Gas	$117,606
AU-REKA GOLD CORP	BLM - Permit Fees	Locatable Minerals	$253,275
B & N COAL INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$115,905
B & W RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$107,204
B.C. OPERATING INC	ONRR - Other Revenues	Oil & Gas	$16,066
B.C. OPERATING INC	ONRR - Royalties	Gas	$92,298
B.C. OPERATING INC	ONRR - Royalties	Oil	$241,589
B.C. OPERATING INC	ONRR/BLM - Rents	Oil & Gas	$22,144
BALLARD PETROLEUM HOLDINGS LLC	BLM - Permit Fees	Oil & Gas	$90
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	$16,640
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Gas	$347,854
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Oil	$3,308,314
BALLARD PETROLEUM HOLDINGS LLC	ONRR/BLM - Rents	Oil & Gas	$20,770
BARRICK GOLD CORP	BLM - Permit Fees	Geothermal	$820
BARRICK GOLD CORP	BLM - Permit Fees	Locatable Minerals	$2,289,576
BARTON, ROY G. JR	ONRR - Other Revenues	Oil & Gas	$33
BARTON, ROY G. JR	ONRR/BLM - Bonus	Oil & Gas	$502,000
BARTON, ROY G. JR	ONRR/BLM - Rents	Oil & Gas	$4,962
BASA RESOURCES INC	ONRR - Royalties	Oil	$238,213
BAY STATE WIND LLC	ONRR/BLM - Rents	Wind	$562,569
BEARTOOTH OIL & GAS CO	ONRR - Other Revenues	Oil & Gas	$11,051
BEARTOOTH OIL & GAS CO	ONRR - Royalties	Gas	$148,545
BEARTOOTH OIL & GAS CO	ONRR - Royalties	Oil	$8,459
