Company Name,Revenue Type,Commodity,Revenue,
70 & 148 LLC,Rents,Oil & Gas,310220,
ABRAXAS PETROLEUM CORP,Other Revenues,Oil & Gas,18631.6,
ABRAXAS PETROLEUM CORP,Rents,Oil & Gas,3954.5,
ABRAXAS PETROLEUM CORP,Royalties,Gas,55520.8,
ABRAXAS PETROLEUM CORP,Royalties,Oil,935018.79,
ADVENTURE EXPLORATION PARTNERS II LLC,Bonus,Oil & Gas,2556000,
ADVENTURE EXPLORATION PARTNERS II LLC,Rents,Oil & Gas,4598.5,
AERA ENERGY LLC,Other Revenues,Oil & Gas,2004.69,
AERA ENERGY LLC,Rents,Oil & Gas,11358,
AERA ENERGY LLC,Royalties,Gas,49926.21,
AERA ENERGY LLC,Royalties,Oil,38137065.01,
AGC SODA CORP,Royalties,Other Commodities,1849208.69,
AGRI PROPERTIES LLP,Bonus,Oil & Gas,1232000,
AGRI PROPERTIES LLP,Rents,Oil & Gas,156,
ALAMO-PALACE MP 59 LLC,Other Revenues,Oil & Gas,6263.01,
ALAMO-PALACE MP 59 LLC,Royalties,Oil,6045914.35,
ALPHA WYOMING LAND COMPANY LLC,Bonus,Coal,42129612,
ALPHA WYOMING LAND COMPANY LLC,Rents,Coal,38796,
ALPHA WYOMING LAND COMPANY LLC,Royalties,Coal,29672103.26,
ALTA MESA SERVICES LP,Other Revenues,Oil & Gas,14387.14,
ALTA MESA SERVICES LP,Rents,Oil & Gas,19621.5,
ALTA MESA SERVICES LP,Royalties,Gas,87631.06,
ALTA MESA SERVICES LP,Royalties,Oil,84834.88,
ALTERNATIVE EARTH RESOURCES INC,Rents,Geothermal,16325,
ALTERNATIVE EARTH RESOURCES INC,Royalties,Geothermal,126454.44,
AMERICAN GILSONITE COMPANY,Other Revenues,Gilsonite,-1686,
AMERICAN GILSONITE COMPANY,Rents,Gilsonite,740,
AMERICAN GILSONITE COMPANY,Royalties,Other Commodities,2888852.49,
AMERICO ENERGY RESOURCES LLC,Royalties,Gas,20391.81,
AMERICO ENERGY RESOURCES LLC,Royalties,Oil,425967.89,
ANADARKO MINERALS INC,Other Revenues,N/A,214,
ANADARKO MINERALS INC,Other Revenues,Oil & Gas,474,
ANADARKO MINERALS INC,Royalties,Gas,18133.6,
ANADARKO MINERALS INC,Royalties,Oil,151340.27,
ANADARKO PETROLEUM CORP,Bonus,Oil & Gas,49651370,
ANADARKO PETROLEUM CORP,Civil Penalties,N/A,50000,
ANADARKO PETROLEUM CORP,Inspection Fees,Oil & Gas,2213500,
ANADARKO PETROLEUM CORP,Other Revenues,Oil & Gas,3159531.23,
ANADARKO PETROLEUM CORP,Rents,Oil & Gas,19699705.77,
ANADARKO PETROLEUM CORP,Royalties,Gas,168489293.74,
ANADARKO PETROLEUM CORP,Royalties,Oil,215665608.45,
ANGELLE & DONAHUE OIL & GAS PROPERTIES,Bonus,Oil & Gas,36260,
