Year,Revenue Type,Commodity,Revenue
2008,Bonus,Oil & Gas,9515461814.55
2008,Bonus,Potassium,787103.75
2008,Bonus,Sodium,120
2008,Rents,Asphalt,959
2008,Rents,Clay,314
2008,Rents,Coal,1283352.59
2008,Rents,Garnet,120
2008,Rents,Gemstones,320
2008,Rents,Geothermal,1232817.21
2008,Rents,Gilsonite,6523.5
2008,Rents,Hardrock,-18737.55
2008,Rents,Hot Springs,33
2008,Rents,Oil & Gas,303909281.81
2008,Rents,Phosphate,11507
2008,Rents,Potassium,91871.25
2008,Rents,Sodium,-44793.51
2008,Rents,Tar Sands,7679.67
2009,Royalties,Coal,685990465.96
2009,Royalties,Gas,2112421268.08
2009,Royalties,Geothermal,10362146.02
2009,Royalties,Oil,2894540448.71
2009,Royalties,Other Commodities,104859283.98
2009,Other Revenues,Clay,942
2009,Other Revenues,Coal,12964825.05
2009,Other Revenues,Copper,26110
2009,Other Revenues,Geothermal,-27029.76
2009,Other Revenues,Gilsonite,-2409.69
2009,Other Revenues,Hardrock,36484.1
2009,Other Revenues,Oil & Gas,73102816.5700001
2009,Other Revenues,Phosphate,135039
2009,Other Revenues,Potassium,350938.75
2009,Other Revenues,Sodium,52073.99
2009,Other Revenues,Sulfur,12631.84
2009,Bonus,Coal,381621262.26
2009,Bonus,Geothermal,17985323
2009,Bonus,Oil & Gas,1255452529.7
2009,Bonus,Potassium,23760
2009,Bonus,Sodium,1416
2009,Rents,Asphalt,959
2009,Rents,Clay,314
2009,Rents,Coal,1276624.55
2009,Rents,Geothermal,2490477.98
2009,Rents,Gilsonite,-3957.5
2009,Rents,Hardrock,21469.52
2009,Rents,Limestone,240
2009,Rents,Oil & Gas,286359356.6
2009,Rents,Phosphate,-1441
2009,Rents,Potassium,103617.5
2009,Rents,Sodium,11040.24
2009,Rents,Tar Sands,7732
2009,Rents,Wind,68319.68
2010,Royalties,Coal,762371668.42
2010,Royalties,Gas,2890343222
2010,Royalties,Geothermal,12134426.25
2010,Royalties,Oil,5036206829.01
2010,Royalties,Other Commodities,105938895.97
2010,Other Revenues,Clay,462
2010,Other Revenues,Coal,3891709.23
2010,Other Revenues,Copper,26110
