Year	State	FIPS	Commodity	type	Revenue
2004	MO	29055	Hardrock	Other Revenues	16221.28
2004	MO	29093	Hardrock	Other Revenues	53887.69
2004	MO	29123	Hardrock	Other Revenues	3420
2004	MO	29179	Hardrock	Other Revenues	84130
2004	MO	29203	Hardrock	Other Revenues	2880
2004	MO	29221	Hardrock	Other Revenues	6536
2006	MO	29055	Solids	Royalties	-83.19
2006	MO	29065	Solids	Royalties	2720.96
2006	MO	29093	Solids	Royalties	-15878.37
2006	MO	29179	Solids	Royalties	2720.97
2006	MO	29221	Solids	Royalties	-128.71
2007	MO	29093	Hardrock	Other Revenues	93
2007	MO	29123	Hardrock	Other Revenues	3420
2007	MO	29203	Hardrock	Other Revenues	960
2008	MO	29055	Hardrock	Other Revenues	-2556.85
2008	MO	29055	Solids	Royalties	0.39
2008	MO	29065	Solids	Royalties	3359.33
2008	MO	29093	Hardrock	Other Revenues	-5410
2008	MO	29093	Solids	Royalties	6117.33
2008	MO	29179	Hardrock	Other Revenues	4440
2008	MO	29179	Solids	Royalties	22471.34
2008	MO	29221	Hardrock	Other Revenues	-2285.15
2008	MO	29221	Solids	Royalties	0.61
2010	MO	29183	Oil & Gas	Other Revenues	7037.2
2013	MO	29055	Solids	Royalties	10.99
2013	MO	29065	Solids	Royalties	8100.99
2013	MO	29093	Solids	Royalties	13831.99
2013	MO	29179	Solids	Royalties	78102.02
2013	MO	29221	Solids	Royalties	17.01
