Year	State	County	FIPS	Volume
2014	NE	Red Willow County	31145	1
2012	NE	Red Willow County	31145	1
2013	NE	Red Willow County	31145	1
2011	NE	Red Willow County	31145	1
2010	NE	Red Willow County	31145	1
2009	NE	Red Willow County	31145	1
2005	NE	Red Willow County	31145	1
2008	NE	Red Willow County	31145	1
2007	NE	Red Willow County	31145	1
2006	NE	Red Willow County	31145	1
2014	NE	Kimball County	31105	2
2013	NE	Kimball County	31105	2
2012	NE	Kimball County	31105	2
2010	NE	Kimball County	31105	2
2009	NE	Kimball County	31105	2
2011	NE	Kimball County	31105	2
2008	NE	Kimball County	31105	2
2007	NE	Kimball County	31105	2
2006	NE	Kimball County	31105	2
2005	NE	Kimball County	31105	2
2014	NE	Dundy County	31057	1
2013	NE	Dundy County	31057	1
2007	NE	Dundy County	31057	1
2012	NE	Dundy County	31057	1
2006	NE	Dundy County	31057	1
2005	NE	Dundy County	31057	1
2011	NE	Dundy County	31057	1
2010	NE	Dundy County	31057	1
2008	NE	Dundy County	31057	1
2009	NE	Dundy County	31057	1
2013	NE	Cheyenne County	31033	2
2014	NE	Cheyenne County	31033	2
2012	NE	Cheyenne County	31033	2
2011	NE	Cheyenne County	31033	2
2009	NE	Cheyenne County	31033	2
2010	NE	Cheyenne County	31033	2
2005	NE	Cheyenne County	31033	2
2014	NE	Hitchcock County	31087	1
2006	NE	Cheyenne County	31033	2
2013	NE	Hitchcock County	31087	1
2011	NE	Hitchcock County	31087	1
2012	NE	Hitchcock County	31087	1
2010	NE	Hitchcock County	31087	1
2009	NE	Hitchcock County	31087	1
2008	NE	Hitchcock County	31087	1
2007	NE	Hitchcock County	31087	1
2008	NE	Cheyenne County	31033	2
2006	NE	Hitchcock County	31087	1
2005	NE	Hitchcock County	31087	1
2007	NE	Cheyenne County	31033	2
