YEAR	STATE	COUNTY	BATTLEFIELD	ACRES	 AMOUNT
2012	NC	Johnston	Bentonville	22.17	 $58,600.00
2012	NC	Cumberland	Averasborough	44	 $102,289.00
2012	NC	Johnston	Bentonville	108.47	 $253,442.50
2012	TN	Williamson	Franklin I	0.21	 $112,800.00
2012	VA	Culpeper	Kelly's Ford	964	 $500,000.00
2012	VA	Hanover	Totopotomoy Creek	2	 $91,430.00
2012	VA	City of Petersburg	Peebles' Farm	19.3	 $33,190.00
2012	VA	Prince William 	Manassas II	3	 $195,221.00
2012	VA	Clark	Cool Springs	915	 $1,800,000.00
2012	VA	Chesterfield	Ware Bottom Church	31	 $367,263.00
2012	VA	Clark	Cool Springs/Kelly's Ford	195	 $800,000.00
2012	VA	Rockingham	Cross Keys	83	 $181,000.00
2012	VA	Fauquier	Buckland Mills	3.66	 $1,050,000.00
2012	VA	Shenandoah	Tom's Brook	161	 $25,000.00
2012	VA	Warren	Vicksburg	1	 $43,865.00
2012	VA	City of Leesburg	Ball's Bluff	3.22	 $230,475.00
2012	VA	Fauquier	Buckland Mills	50	 $1,160,000.00
2012	VA	Prince Edward	Sailor's Creek	130	 $94,003.00
2012	VA	Culpeper	Cedar Mountain	4.467	 $129,309.00
2012	VA	Spotsylvania	Chancellorsville	81.69	 $289,999.00
2012	VA	Appomattox	Appomattox Courthouse	49	 $139,528.00
2013	GA	Catoosa	Chickamauga	102.74	 $556,967.00
2013	GA	Catoosa	Chickamauga	7.21	 $105,358.73
2013	MD	Frederick	South Mountain	4.33	 $166,600.00
2013	MD	Washington	Antietam	15	 $157,075.00
2013	MD	Frederick	South Mountain	264.22	 $561,687.50
2013	MO	Jasper	Carthage	180	 $105,075.00
2013	MS	Lee	Brice's Crossroads	0.9	 $34,027.50
2013	MS	Warren	Vicksburg	5	 $220,500.00
2013	NC	Johnston	Bentonville	53.89	 $124,973.00
2013	NC	Johnston	Bentonville	55.73	 $142,191.00
2013	NC	Johnston	Bentonville	13.382	 $27,250.50
2013	NC	Johnston	Bentonville	7.572	 $45,798.00
2013	TN	Hamilton	Chattanooga III	31.01	 $440,000.00
2013	TN	Hamilton	Chattanooga III	17.04	 $390,000.00
2013	VA	Culpeper	Rappahannock Station I	67.35	 $111,454.00
2013	VA	Culpeper	Kelly's Ford	43.28	 $71,920.00
2013	VA	Culpeper	Rappahannock Station II	52	 $52,000.00
2013	VA	Culpeper	Rappahannock Station I	508	 $464,000.00
2013	VA	Dinwiddie	Peebles' Farm	2.52	 $104,725.00
2013	VA	Culpeper	Kelly's Ford	218.37	 $250,000.00
2013	VA	Prince Edward	High Bridge	115.12	 $104,075.00
2013	VA	Henrico	Glendale	34.4	 $118,319.00
2013	VA	Spotsylvania	Chancellorsville	27.4	 $330,457.00
2013	VA	Shenandoah	New Market	0.257	 $303,662.00
