Fiscal Year,Fund Type,Onshore/Offshore,State,County, Total 
2010,State,Onshore,CA,Sonoma County," 1,189,395.42 "
2010,State,Onshore,CA,," 61,634,162.41 "
2010,State,Onshore,CO,," 133,633,985.00 "
2010,State,Onshore,FL,," 46,844.91 "
2010,State,Onshore,ID,Bingham County, 33.41 
2010,State,Onshore,ID,Bonneville County, 40.09 
2010,State,Onshore,ID,Caribou County, 425.75 
2010,State,Onshore,ID,Cassia County," 11,880.75 "
2010,State,Onshore,ID,Washington County," 11,899.00 "
2010,State,Onshore,ID,," 3,986,545.46 "
2010,State,Onshore,IL,," 262,412.21 "
2010,State,Onshore,IN,," 8,203.48 "
2010,State,Onshore,KS,," 1,461,896.85 "
2010,State,Onshore,KY,," 136,424.08 "
2010,State,Onshore,LA,," 3,123,211.44 "
2010,State,Onshore,MI,," 465,593.44 "
2010,State,Onshore,MN,," 12,924.25 "
2010,State,Onshore,MS,," 635,161.56 "
2010,State,Onshore,MO,," 3,287,656.77 "
2010,State,Onshore,MT,," 43,764,829.71 "
2010,State,Onshore,NE,," 162,940.13 "
2010,State,Onshore,NV,Churchill County," 2,413,536.58 "
2010,State,Onshore,NV,Elko County," 73,471.59 "
2010,State,Onshore,NV,Esmeralda County," 380,625.38 "
2010,State,Onshore,NV,Eureka County," 12,968.64 "
2010,State,Onshore,NV,Humboldt County," 159,964.36 "
2010,State,Onshore,NV,Lander County," 148,106.04 "
2010,State,Onshore,NV,Lyon County," 3,903.20 "
2010,State,Onshore,NV,Mineral County," 110,318.93 "
2010,State,Onshore,NV,Nye County," 140,913.17 "
2010,State,Onshore,NV,Pershing County," 545,197.39 "
2010,State,Onshore,NV,Washoe County," 31,890.77 "
2010,State,Onshore,NV,White Pine County," 74,196.50 "
2010,State,Onshore,NV,," 12,964,199.51 "
2010,State,Onshore,NM,Dona Ana County, 140.00 
2010,State,Onshore,NM,Hidalgo County," 1,410.54 "
2010,State,Onshore,NM,," 380,694,468.90 "
2010,State,Onshore,ND,," 37,796,234.57 "
2010,State,Onshore,OH,," 377,353.87 "
2010,State,Onshore,OK,," 2,780,065.83 "
2010,State,Onshore,OR,Deschutes County," 44,807.72 "
2010,State,Onshore,OR,Lake County," 31,673.75 "
2010,State,Onshore,OR,," 329,766.50 "
2010,State,Onshore,PA,," 87,323.92 "
2010,State,Onshore,SC,, 845.34 
2010,State,Onshore,SD,," 767,510.03 "
2010,State,Onshore,TX,," 14,855,648.72 "
2010,State,Onshore,UT,Beaver County," 106,143.36 "
2010,State,Onshore,UT,Iron County," 19,416.00 "
2010,State,Onshore,UT,Juab County," 87,976.50 "
2010,State,Onshore,UT,Millard County," 61,250.87 "
2010,State,Onshore,UT,," 142,696,934.40 "
2010,State,Onshore,VA,," 58,960.77 "
2010,State,Onshore,WA,," 87,451.59 "
2010,State,Onshore,WV,," 404,088.98 "
2010,State,Onshore,WY,," 886,871,351.80 "
2010,State - GoMESA,Offshore,AL,Baldwin County," 75,122.19 "
2010,State - GoMESA,Offshore,AL,Mobile County," 87,669.34 "
2010,State - GoMESA,Offshore,AL,," 651,166.11 "
2010,State - GoMESA,Offshore,LA,Assumption Parish," 5,722.40 "
2010,State - GoMESA,Offshore,LA,Calcasieu Parish," 7,735.62 "
2010,State - GoMESA,Offshore,LA,Cameron Parish," 9,089.26 "
2010,State - GoMESA,Offshore,LA,Iberia Parish," 7,668.89 "
2010,State - GoMESA,Offshore,LA,Jefferson Parish," 15,363.74 "
2010,State - GoMESA,Offshore,LA,Lafourche Parish," 8,726.36 "
2010,State - GoMESA,Offshore,LA,Livingston Parish," 7,278.47 "
2010,State - GoMESA,Offshore,LA,Orleans Parish," 16,046.12 "
2010,State - GoMESA,Offshore,LA,Plaquemines Parish," 18,157.82 "
2010,State - GoMESA,Offshore,LA,St. Bernard Parish," 10,760.80 "
2010,State - GoMESA,Offshore,LA,St. Charles Parish," 6,936.71 "
2010,State - GoMESA,Offshore,LA,St. James Parish," 5,864.81 "
2010,State - GoMESA,Offshore,LA,St. John the Baptist Parish," 6,437.50 "
2010,State - GoMESA,Offshore,LA,St. Martin Parish," 6,129.41 "
2010,State - GoMESA,Offshore,LA,St. Mary Parish," 6,333.09 "
2010,State - GoMESA,Offshore,LA,St. Tammany Parish," 10,239.54 "
2010,State - GoMESA,Offshore,LA,Tangipahoa Parish," 7,626.95 "
2010,State - GoMESA,Offshore,LA,Terrebonne Parish," 11,765.82 "
2010,State - GoMESA,Offshore,LA,Vermilion Parish," 7,056.03 "
2010,State - GoMESA,Offshore,LA,," 699,757.37 "
2010,State - GoMESA,Offshore,MS,Hancock County," 26,659.93 "
2010,State - GoMESA,Offshore,MS,Harrison County," 57,583.51 "
2010,State - GoMESA,Offshore,MS,Jackson County," 63,212.96 "
2010,State - GoMESA,Offshore,MS,," 589,825.59 "
2010,State - GoMESA,Offshore,TX,Aransas County," 2,394.39 "
2010,State - GoMESA,Offshore,TX,Brazoria County," 3,756.84 "
2010,State - GoMESA,Offshore,TX,Calhoun County," 3,139.20 "
2010,State - GoMESA,Offshore,TX,Cameron County," 3,599.68 "
2010,State - GoMESA,Offshore,TX,Chambers County," 2,120.15 "
2010,State - GoMESA,Offshore,TX,Galveston County," 5,134.31 "
2010,State - GoMESA,Offshore,TX,Harris County," 11,774.30 "
2010,State - GoMESA,Offshore,TX,Jackson County," 1,656.06 "
2010,State - GoMESA,Offshore,TX,Jefferson County," 4,210.45 "
2010,State - GoMESA,Offshore,TX,Kenedy County," 3,369.39 "
2010,State - GoMESA,Offshore,TX,Kleberg County," 2,449.91 "
2010,State - GoMESA,Offshore,TX,Matagorda County," 4,402.36 "
2010,State - GoMESA,Offshore,TX,Nueces County," 3,266.84 "
2010,State - GoMESA,Offshore,TX,Orange County," 2,386.97 "
2010,State - GoMESA,Offshore,TX,Refugio County," 1,565.61 "
2010,State - GoMESA,Offshore,TX,San Patricio County," 1,679.72 "
2010,State - GoMESA,Offshore,TX,Victoria County," 1,806.20 "
2010,State - GoMESA,Offshore,TX,Willacy County," 2,049.09 "
2010,State - GoMESA,Offshore,TX,," 243,045.87 "
2010,State 8(g),Offshore,AL,," 7,951,467.51 "
2010,State 8(g),Offshore,AK,," 5,601,828.86 "
2010,State 8(g),Offshore,CA,," 6,388,718.03 "
2010,State 8(g),Offshore,FL,," 1,489.21 "
2010,State 8(g),Offshore,LA,," 22,605,430.51 "
2010,State 8(g),Offshore,MS,," 269,418.73 "
2010,State 8(g),Offshore,TX,," 3,968,196.56 "
2010,U.S. Treasury,Onshore,,," 607,810,866.00 "
2010,U.S. Treasury,Offshore,,," 3,907,952,116.65 "
2010,U.S. Treasury - GoMESA,Offshore,,," 1,154,615.35 "
2011,American Indian Tribes,Onshore,,," 538,344,246.90 "
2011,Historic Preservation Fund,Offshore,,," 150,000,000.00 "
2011,Land & Water Conservation Fund,Offshore,,," 891,870,938.50 "
2011,Land & Water Conservation Fund - GoMESA,Offshore,,," 104,666.34 "
2011,Reclamation,Onshore,,," 1,532,623,172.00 "
2011,State,Onshore,AL,," 4,792,841.65 "
2011,State,Onshore,AK,," 15,146,718.05 "
2011,State,Onshore,AZ,Greenlee County," 3,641.54 "
2011,State,Onshore,AZ,," 12,112.16 "
2011,State,Onshore,AR,," 4,034,632.05 "
2011,State,Onshore,CA,Imperial County," 39,377.20 "
2011,State,Onshore,CA,Inyo County," 147,979.11 "
2011,State,Onshore,CA,Lake County," 800,270.77 "
2011,State,Onshore,CA,Lassen County," 12,231.70 "
2011,State,Onshore,CA,Mendocino County, 750.00 
2011,State,Onshore,CA,Mono County," 34,256.68 "
2011,State,Onshore,CA,Siskiyou County," 64,418.00 "
2011,State,Onshore,CA,Sonoma County," 1,108,974.78 "
2011,State,Onshore,CA,," 81,654,340.14 "
2011,State,Onshore,CO,Chaffee County," 7,800.00 "
2011,State,Onshore,CO,," 156,811,089.70 "
2011,State,Onshore,FL,," 233,488.07 "
2011,State,Onshore,ID,Bingham County, 133.64 
2011,State,Onshore,ID,Blaine County, 404.50 
2011,State,Onshore,ID,Bonneville County, 160.36 
2011,State,Onshore,ID,Camas County, 305.50 
2011,State,Onshore,ID,Caribou County, 750.50 
2011,State,Onshore,ID,Cassia County," 12,640.75 "
2011,State,Onshore,ID,Washington County," 10,340.50 "
2011,State,Onshore,ID,," 4,629,448.97 "
2011,State,Onshore,IL,," 208,434.61 "
2011,State,Onshore,IN,," 4,419.87 "
2011,State,Onshore,KS,," 1,873,412.69 "
2011,State,Onshore,KY,," 313,472.83 "
2011,State,Onshore,LA,," 17,982,455.21 "
2011,State,Onshore,MI,," 450,500.84 "
2011,State,Onshore,MN,," 10,142.25 "
2011,State,Onshore,MS,," 1,099,777.24 "
2011,State,Onshore,MO,," 3,684,804.10 "
2011,State,Onshore,MT,," 43,124,550.84 "
2011,State,Onshore,NE,," 27,713.44 "
2011,State,Onshore,NV,Churchill County," 879,577.55 "
2011,State,Onshore,NV,Elko County," 41,644.61 "
2011,State,Onshore,NV,Esmeralda County," 73,612.30 "
2011,State,Onshore,NV,Eureka County," 16,863.14 "
2011,State,Onshore,NV,Humboldt County," 76,443.04 "
2011,State,Onshore,NV,Lander County," 71,646.19 "
2011,State,Onshore,NV,Lyon County," 6,626.15 "
2011,State,Onshore,NV,Mineral County," 64,330.92 "
2011,State,Onshore,NV,Nye County," 48,307.70 "
2011,State,Onshore,NV,Pershing County," 117,130.93 "
2011,State,Onshore,NV,Washoe County," 28,026.27 "
2011,State,Onshore,NV,White Pine County," 26,023.50 "
2011,State,Onshore,NV,," 8,344,555.81 "
2011,State,Onshore,NM,Dona Ana County, 160.93 
2011,State,Onshore,NM,Hidalgo County," 7,037.75 "
2011,State,Onshore,NM,," 434,583,873.60 "
2011,State,Onshore,NC,, 158.00 
2011,State,Onshore,ND,," 29,469,248.39 "
2011,State,Onshore,OH,," 323,228.75 "
2011,State,Onshore,OK,," 4,394,036.87 "
2011,State,Onshore,OR,Deschutes County," 41,652.25 "
2011,State,Onshore,OR,Hood River County," 2,028.00 "
2011,State,Onshore,OR,Lake County," 31,674.27 "
2011,State,Onshore,OR,," 379,662.54 "
2011,State,Onshore,PA,," 48,627.75 "
2011,State,Onshore,SC,," 1,015.19 "
2011,State,Onshore,SD,," 921,076.60 "
2011,State,Onshore,TN,, 99.00 
2011,State,Onshore,TX,," 17,304,873.36 "
2011,State,Onshore,UT,Beaver County," 79,443.10 "
2011,State,Onshore,UT,Iron County," 1,267.50 "
2011,State,Onshore,UT,Juab County," 37,913.74 "
2011,State,Onshore,UT,Millard County," 44,269.11 "
2011,State,Onshore,UT,," 149,439,229.30 "
2011,State,Onshore,VA,," 74,219.90 "
2011,State,Onshore,WA,Whatcom County," 2,109.25 "
2011,State,Onshore,WA,," 27,058.64 "
2011,State,Onshore,WV,," 350,541.45 "
2011,State,Onshore,WY,," 971,498,012.30 "
2011,State - GoMESA,Offshore,AL,Baldwin County," 23,744.75 "
2011,State - GoMESA,Offshore,AL,Mobile County," 27,710.68 "
2011,State - GoMESA,Offshore,AL,," 205,821.74 "
2011,State - GoMESA,Offshore,LA,Assumption Parish," 1,821.38 "
2011,State - GoMESA,Offshore,LA,Calcasieu Parish," 2,462.17 "
2011,State - GoMESA,Offshore,LA,Cameron Parish," 2,893.01 "
2011,State - GoMESA,Offshore,LA,Iberia Parish," 2,440.93 "
2011,State - GoMESA,Offshore,LA,Jefferson Parish," 4,890.11 "
2011,State - GoMESA,Offshore,LA,Lafourche Parish," 2,777.51 "
2011,State - GoMESA,Offshore,LA,Livingston Parish," 2,316.66 "
2011,State - GoMESA,Offshore,LA,Orleans Parish," 5,107.31 "
2011,State - GoMESA,Offshore,LA,Plaquemines Parish," 5,779.44 "
2011,State - GoMESA,Offshore,LA,St. Bernard Parish," 3,425.05 "
