Fiscal Year,Fund Type,Onshore/Offshore,State,County, Total 
2008,State,Onshore,ID,Washington County, 870.00 
2008,State,Onshore,ID,," 1,720,262.20 "
2008,State,Onshore,IL,," 286,561.67 "
2008,State,Onshore,IN,, 191.50 
2008,State,Onshore,KS,," 2,605,367.43 "
2008,State,Onshore,KY,," 508,473.37 "
2008,State,Onshore,LA,," 3,703,239.68 "
2008,State,Onshore,MI,," 1,171,444.97 "
2008,State,Onshore,MN,," 13,030.27 "
2008,State,Onshore,MS,," 1,008,265.07 "
2008,State,Onshore,MO,," 4,561,311.95 "
2008,State,Onshore,MT,," 48,943,889.42 "
2008,State,Onshore,NE,," 40,800.27 "
2008,State,Onshore,NV,Churchill County," 1,391,112.41 "
2008,State,Onshore,NV,Elko County," 16,486.00 "
2008,State,Onshore,NV,Esmeralda County," 18,952.14 "
2008,State,Onshore,NV,Eureka County," 5,410.63 "
2008,State,Onshore,NV,Humboldt County," 62,697.09 "
2008,State,Onshore,NV,Lander County," 1,027,340.70 "
2008,State,Onshore,NV,Lyon County," 3,259.79 "
2008,State,Onshore,NV,Mineral County," 379,806.14 "
2008,State,Onshore,NV,Nye County," 589,313.21 "
2008,State,Onshore,NV,Pershing County," 235,558.04 "
2008,State,Onshore,NV,Washoe County," 64,703.56 "
2008,State,Onshore,NV,White Pine County," 1,091.25 "
2008,State,Onshore,NV,," 13,826,417.76 "
2008,State,Onshore,NM,Dona Ana County, 987.30 
2008,State,Onshore,NM,Hidalgo County," 1,321.50 "
2008,State,Onshore,NM,," 614,826,895.70 "
2008,State,Onshore,ND,," 23,392,224.43 "
2008,State,Onshore,OH,," 574,971.75 "
2008,State,Onshore,OK,," 7,240,652.39 "
2008,State,Onshore,OR,Deschutes County," 35,985.75 "
2008,State,Onshore,OR,Lake County, 627.50 
2008,State,Onshore,OR,," 257,487.28 "
2008,State,Onshore,PA,," 69,368.41 "
2008,State,Onshore,SC,, 277.50 
2008,State,Onshore,SD,," 1,200,905.81 "
2008,State,Onshore,TN,, 99.00 
2008,State,Onshore,TX,," 8,327,399.61 "
2008,State,Onshore,UT,Beaver County," 70,130.01 "
2008,State,Onshore,UT,Millard County," 3,976.54 "
2008,State,Onshore,UT,," 173,765,221.20 "
2008,State,Onshore,VA,," 227,154.44 "
2008,State,Onshore,WA,," 202,943.33 "
2008,State,Onshore,WV,," 776,251.48 "
2008,State,Onshore,WY,," 1,270,987,014.00 "
2008,State 8(g),Offshore,AL,," 14,990,923.96 "
2008,State 8(g),Offshore,AK,," 17,814,996.98 "
2008,State 8(g),Offshore,CA,," 11,072,302.04 "
2008,State 8(g),Offshore,FL,, 83.29 
2008,State 8(g),Offshore,LA,," 45,763,396.12 "
2008,State 8(g),Offshore,MS,," 564,068.08 "
2008,State 8(g),Offshore,TX,," 13,346,657.81 "
2008,U.S. Treasury,Onshore & Offshore,,," 17,312,534,844.00 "
2009,American Indian Tribes,Onshore,,," 449,462,056.70 "
2009,Historic Preservation Fund,Offshore,,," 150,000,000.00 "
2009,Land & Water Conservation Fund,Offshore,,," 898,090,084.50 "
2009,Land & Water Conservation Fund - GoMESA,Offshore,,," 909,915.47 "
2009,Reclamation,Onshore,,," 1,454,102,007.00 "
2009,State,Onshore,AL,," 2,209,673.31 "
2009,State,Onshore,AK,," 32,649,656.14 "
2009,State,Onshore,AZ,," 252,681.83 "
2009,State,Onshore,AR,," 3,320,709.56 "
2009,State,Onshore,CA,Imperial County," 43,650.39 "
2009,State,Onshore,CA,Inyo County," 149,424.52 "
2009,State,Onshore,CA,Lake County," 824,269.63 "
2009,State,Onshore,CA,Lassen County," 13,629.58 "
2009,State,Onshore,CA,Mendocino County," 106,249.92 "
2009,State,Onshore,CA,Mono County," 46,484.30 "
2009,State,Onshore,CA,Siskiyou County," 53,015.00 "
2009,State,Onshore,CA,Sonoma County," 963,562.60 "
2009,State,Onshore,CA,," 51,315,146.92 "
2009,State,Onshore,CO,," 187,319,102.00 "
2009,State,Onshore,FL,," 1,896.85 "
2009,State,Onshore,ID,Bingham County, 33.41 
2009,State,Onshore,ID,Bonneville County, 40.09 
2009,State,Onshore,ID,Caribou County, 425.75 
2009,State,Onshore,ID,Cassia County," 22,423.70 "
2009,State,Onshore,ID,Washington County," 1,873.66 "
2009,State,Onshore,ID,," 1,482,326.90 "
2009,State,Onshore,IL,," 175,848.97 "
2009,State,Onshore,IN,," 14,207.73 "
2009,State,Onshore,KS,," 1,596,202.96 "
2009,State,Onshore,KY,," 436,751.40 "
2009,State,Onshore,LA,," 914,420.57 "
2009,State,Onshore,MI,," 836,787.02 "
2009,State,Onshore,MN,," 12,996.41 "
2009,State,Onshore,MS,," 583,180.97 "
2009,State,Onshore,MO,," 2,060,263.15 "
2009,State,Onshore,MT,," 46,558,941.78 "
2009,State,Onshore,NE,," 30,556.70 "
2009,State,Onshore,NV,Churchill County," 4,207,832.38 "
2009,State,Onshore,NV,Elko County," 1,045,436.00 "
2009,State,Onshore,NV,Esmeralda County," 1,358,390.25 "
2009,State,Onshore,NV,Eureka County," 74,648.52 "
2009,State,Onshore,NV,Humboldt County," 10,506.47 "
2009,State,Onshore,NV,Lander County," 434,497.40 "
2009,State,Onshore,NV,Lyon County," 31,995.03 "
2009,State,Onshore,NV,Mineral County," 617,458.98 "
2009,State,Onshore,NV,Nye County," 13,496.60 "
2009,State,Onshore,NV,Pershing County," 82,381.08 "
2009,State,Onshore,NV,Washoe County," 21,272.39 "
2009,State,Onshore,NV,White Pine County," 1,091.25 "
2009,State,Onshore,NV,," 20,845,475.42 "
2009,State,Onshore,NM,Dona Ana County, 140.00 
2009,State,Onshore,NM,Hidalgo County," 1,410.50 "
2009,State,Onshore,NM,," 388,526,527.50 "
2009,State,Onshore,ND,," 61,155,146.06 "
2009,State,Onshore,OH,," 452,981.60 "
2009,State,Onshore,OK,," 3,941,950.47 "
2009,State,Onshore,OR,Deschutes County," 45,992.89 "
