Year	State	County	FIPS	Commodity	Product	Volume
2012	CO	Mesa County	08077		Oil (bbl)	14385.11
2011	CO	Routt County	08107		Oil (bbl)	14400.89
2012	CO	Routt County	08107		Gas (mcf)	14544.12
2009	CO	Routt County	08107		Oil (bbl)	14617.85
2010	CO	Routt County	08107		Oil (bbl)	14792.37
2010	CO	Routt County	08107		Gas (mcf)	15190.19
2005	CO	Routt County	08107		Gas (mcf)	15196.15
2007	CO	Routt County	08107		Gas (mcf)	15298.15
2013	CO	Bent County	08011		Gas (mcf)	15451.92
2011	CO	Routt County	08107		Gas (mcf)	15688.82
2006	CO	Rio Blanco County	08103		Oil (bbl)	15771.5
2013	CO	Baca County	08009		Oil (bbl)	16116
2005	CO	Gunnison County	08051		Gas (mcf)	16324.13
2011	CO	Mesa County	08077		Oil (bbl)	16369.23
2014	CO	Baca County	08009		Oil (bbl)	16424.79
2005	CO	Mesa County	08077		Gas (mcf)	17111.5
2011	CO	San Miguel County	08113		Oil (bbl)	17844.34
2014	CO	Cheyenne County	08017		Oil (bbl)	18042.99
2014	CO	Jackson County	08057		Gas (mcf)	18600
2013	CO	Cheyenne County	08017		Oil (bbl)	18861.47
2010	CO	Mesa County	08077		Oil (bbl)	19169.59
2008	CO	Moffat County	08081		Gas (mcf)	19213
2012	CO	Cheyenne County	08017		Oil (bbl)	19559.2
2012	CO	Baca County	08009		Oil (bbl)	20599.16
2011	CO	Cheyenne County	08017		Oil (bbl)	20762.83
2013	CO	Routt County	08107		Gas (mcf)	21044.52
2010	CO	Baca County	08009		Oil (bbl)	21491.23
2014	CO	Mesa County	08077		Oil (bbl)	22235.12
2011	CO	Baca County	08009		Oil (bbl)	22266.36
2010	CO	Cheyenne County	08017		Oil (bbl)	22266.37
2007	CO	Moffat County	08081		Gas (mcf)	22279
2011	CO	Bent County	08011		Gas (mcf)	22575.02
2012	CO	Bent County	08011		Gas (mcf)	22587.47
2010	CO	Dolores County	08033		Oil (bbl)	23935.42
2009	CO	Cheyenne County	08017		Oil (bbl)	24006.82
2011	CO	Dolores County	08033		Oil (bbl)	24155.36
2014	CO	Mesa County	08077		Oil (bbl)	24244.62
2013	CO	Mesa County	08077		Oil (bbl)	24308.59
2008	CO	Cheyenne County	08017		Oil (bbl)	24439.85
2012	CO	Delta County	08029		Gas (mcf)	24589.07
2008	CO	Baca County	08009		Oil (bbl)	24801.69
2007	CO	Baca County	08009		Oil (bbl)	24805.9
2012	CO	Delta County	08029		Gas (mcf)	24898.28
2009	CO	Dolores County	08033		Oil (bbl)	25743.32
2007	CO	Cheyenne County	08017		Oil (bbl)	25793.28
2012	CO	Dolores County	08033		Oil (bbl)	25821.27
2009	CO	Baca County	08009		Oil (bbl)	25903.01
2013	CO	Dolores County	08033		Oil (bbl)	26015.75
2007	CO	Mesa County	08077		Oil (bbl)	26175.73
2007	CO	Rio Blanco County	08103		Oil (bbl)	26376.5
2014	CO	Delta County	08029		Gas (mcf)	26680.78
2008	CO	Dolores County	08033		Oil (bbl)	28433.9
2013	CO	Garfield County	08045		Oil (bbl)	28589
2010	CO	Delta County	08029		Gas (mcf)	29874.03
2006	CO	Baca County	08009		Oil (bbl)	30033.39
2014	CO	Routt County	08107		Gas (mcf)	31519
2006	CO	Cheyenne County	08017		Oil (bbl)	31585.46
2010	CO	Bent County	08011		Gas (mcf)	31600.61
2014	CO	Jackson County	08057		Oil (bbl)	32139
2007	CO	Dolores County	08033		Oil (bbl)	32722.76
2006	CO	Dolores County	08033		Oil (bbl)	32879.21
2009	CO	Bent County	08011		Gas (mcf)	33235.99
2009	CO	Delta County	08029		Gas (mcf)	33319.84
2005	CO	Cheyenne County	08017		Oil (bbl)	33785.81
2014	CO	Garfield County	08045		Oil (bbl)	34114.83
2005	CO	Baca County	08009		Oil (bbl)	34247.82
2014	CO	Routt County	08107		Gas (mcf)	34354.1
2009	CO	Mesa County	08077		Oil (bbl)	34472.53
2014	CO	Delta County	08029		Gas (mcf)	35427.32
2007	CO	Bent County	08011		Gas (mcf)	36682.16
2005	CO	Dolores County	08033		Oil (bbl)	37292.34
2011	CO	Delta County	08029		Gas (mcf)	37533.32
2008	CO	Bent County	08011		Gas (mcf)	38199.73
2014	CO	Dolores County	08033		Oil (bbl)	38741.21
2006	CO	Gunnison County	08051		Gas (mcf)	39926
2008	CO	Mesa County	08077		Oil (bbl)	41208.01
2005	CO	Bent County	08011		Gas (mcf)	43948.45
2013	CO	Archuleta County	08007		Gas (mcf)	44145.67
2006	CO	Bent County	08011		Gas (mcf)	44906.61
2008	CO	Rio Blanco County	08103		Oil (bbl)	45804
2005	CO	Delta County	08029		Gas (mcf)	47818.72
2013	CO	Baca County	08009		Gas (mcf)	48364.71
2014	CO	Baca County	08009		Gas (mcf)	48583.55
2014	CO	Phillips County	08095		Gas (mcf)	49049
2011	CO	Baca County	08009		Gas (mcf)	49827.3
2008	CO	Delta County	08029		Gas (mcf)	53191.02
2007	CO	Delta County	08029		Gas (mcf)	54251.79
2012	CO	Baca County	08009		Gas (mcf)	57680.33
2013	CO	Phillips County	08095		Gas (mcf)	58461
2006	CO	Gunnison County	08051		Gas (mcf)	58512
2009	CO	Moffat County	08081		Gas (mcf)	58658
2009	CO	Mesa County	08077		Gas (mcf)	59158.76
2012	CO	Jackson County	08057		Oil (bbl)	62195.08
2010	CO	Baca County	08009		Gas (mcf)	62547.73
2005	CO	Baca County	08009		Gas (mcf)	63424.56
2009	CO	Rio Blanco County	08103		Oil (bbl)	64119.5
