Year	State	Commodity	Type	Revenue
2004	MD	Oil & Gas	Rents	992.00
2004	MI	Oil & Gas	Rents	44825.00
2004	MI	Gas	Royalties	1533836.84
2004	MI	Oil	Royalties	95883.30
2004	MI	Oil & Gas	Bonus	5600.00
2004	MI	Oil & Gas	Other Revenues	814.46
2004	MI	Oil & Gas	Other Royalties	67.00
2004	MI	NGL	Royalties	24138.45
2004	MI	Hardrock	Rents	-293.50
2004	MN	Copper	Other Revenues	13055.00
2004	MN	Hardrock	Other Revenues	11275.00
2004	MN	Copper	Rents	667.50
2004	MN	Hardrock	Rents	12932.50
2004	MO	Hardrock	Other Revenues	167074.98
2004	MO	Hardrock	Rents	10677.70
2004	MO	Copper Concentrate	Royalties	33259.10
2004	MO	Lead Concentrate	Royalties	715383.01
2004	MO	Zinc Concentrate	Royalties	62744.17
2004	MS	Oil & Gas	Rents	467733.71
2004	MS	Oil	Royalties	1618373.24
2004	MS	Oil & Gas	Bonus	318659.00
2004	MS	Gas	Royalties	336778.53
2004	MS	Oil & Gas	Other Royalties	3400.00
2004	MS	Oil & Gas	Other Revenues	483.00
2004	MS	NGL	Royalties	331.37
2004	MT	Oil & Gas	Rents	4096925.41
2004	MT	Oil & Gas	Other Revenues	270212.94
2004	MT	Gas	Royalties	12338549.53
2004	MT	Oil & Gas	Bonus	768127.75
2004	MT	Oil & Gas	Other Royalties	77703.91
2004	MT	Oil	Royalties	14214882.37
2004	MT	NGL	Royalties	236811.54
2004	MT	Coal	Bonus	359342.51
2004	MT	Phosphate	Other Revenues	4227.00
2004	MT	Coal	Other Royalties	75000.00
2004	MT	Coal	Rents	106680.33
2004	MT	Gemstones	Rents	240.00
2004	MT	Hardrock	Rents	118.50
2004	MT	Coal	Royalties	33178124.47
2004	MT	Sulfur	Royalties	986.36
2004	NC	Hardrock	Other Revenues	474.00
2004	ND	Oil & Gas	Bonus	2908119.25
2004	ND	Oil & Gas	Other Revenues	13529.49
2004	ND	Oil & Gas	Other Royalties	568219.27
2004	ND	Oil & Gas	Rents	745047.50
2004	ND	Gas	Royalties	3521338.78
2004	ND	NGL	Royalties	312712.80
2004	ND	Oil	Royalties	22801616.54
2004	ND	Coal	Bonus	10856.00
2004	ND	Coal	Rents	17571.00
2004	ND	Coal	Royalties	475544.13
