Year	State	Commodity	Product	Volume
2005	LA		Oil (bbl)	391661.67
2006	MS		Oil (bbl)	299920.24
2007	MS		Oil (bbl)	292825.73
2010	TX		Oil (bbl)	274136.25
2006	LA		Oil (bbl)	482037.70
2013	MS		Oil (bbl)	424327.11
2009	TX		Oil (bbl)	318508.15
2008	CO		Oil (bbl)	4171876.46
2010	TX		Gas (mcf)	21233776.12
2012	MS		Oil (bbl)	322497.10
2007	CO		Oil (bbl)	4122013.80
2007	TX		Oil (bbl)	318488.47
2005	MS		Oil (bbl)	381044.52
2005	CO		Oil (bbl)	4046908.74
2009	CO		Oil (bbl)	3959462.09
2011	MS		Oil (bbl)	267677.59
2012	OK		Gas (mcf)	15808059.71
2006	CO		Oil (bbl)	4082648.71
2007	OK		Oil (bbl)	176962.59
2012	OK		Oil (bbl)	561332.67
2009	TX		Gas (mcf)	23532176.31
2006	KS		Oil (bbl)	444652.33
2013	KS		Oil (bbl)	199639.80
2013	Withheld		Zinc Concentrate (tons)	0.61
2010	MS		Oil (bbl)	239546.28
2009	CA		Oil (bbl)	14033417.20
2008	TX		Oil (bbl)	308418.95
2008	MS		Oil (bbl)	239319.92
2005	OK		Oil (bbl)	197804.97
2005	TX		Oil (bbl)	413938.24
2014	CA		Gas (mcf)	12767377.64
2011	TX		Oil (bbl)	292551.01
2007	WY		Oil (bbl)	33058880.24
2013	Withheld		Gold and Silver Products (oz)	1.00
2009	MS		Oil (bbl)	235696.17
2014	AR		Oil (bbl)	1.02
2013	CA		Gas (mcf)	12360114.44
2005	KS		Oil (bbl)	270764.58
2013	TX		Oil (bbl)	228941.37
2007	KS		Oil (bbl)	311079.29
2008	KS		Oil (bbl)	279466.89
2010	KS		Oil (bbl)	220061.94
2012	KS		Oil (bbl)	225588.96
2014	LA		Oil (bbl)	286039.88
2013	AR		Oil (bbl)	1.40
2009	KS		Oil (bbl)	230259.06
2006	TX		Oil (bbl)	335041.01
2014	CA		Oil (bbl)	14604579.75
2012	CA		Oil (bbl)	15203507.38
2011	KS		Oil (bbl)	241119.12
2011	AR		Oil (bbl)	2.04
2010	AR		Oil (bbl)	2.24
2008	TX		Gas (mcf)	25139618.39
2012	AR		Oil (bbl)	2.35
2010	CO		Oil (bbl)	3865141.47
2013	CA		Oil (bbl)	15301739.25
2014	NE		Oil (bbl)	27270.36
2007	TX		Gas (mcf)	27473535.90
2013	LA		Oil (bbl)	305414.30
2012	NE		Oil (bbl)	27324.93
2013	NE		Oil (bbl)	29249.33
2014	CO		Gas (mcf)	743328196.96
2011	LA		Oil (bbl)	332265.79
2005	TX		Gas (mcf)	25333624.45
2013	MS		Gas (mcf)	433934.73
2012	LA		Oil (bbl)	353876.50
2011	NE		Oil (bbl)	33074.09
2014	OK		Oil (bbl)	548687.22
2011	OK		Oil (bbl)	359177.28
2008	CO		Gas (mcf)	624576287.39
2010	MI		Oil (bbl)	33235.48
2007	CO		Gas (mcf)	539790992.88
2013	OK		Oil (bbl)	539800.49
2009	CO		Gas (mcf)	673583662.31
2014	MS		Oil (bbl)	398706.47
2010	NE		Oil (bbl)	39478.23
2011	CO		Gas (mcf)	730268739.51
2011	MI		Oil (bbl)	39394.87
2008	LA		Oil (bbl)	357252.22
2010	OK		Oil (bbl)	209722.81
2012	TX		Oil (bbl)	289953.08
2013	CO		Gas (mcf)	731118406.76
2009	NE		Oil (bbl)	40912.37
2009	AR		Oil (bbl)	5.68
2005	NE		Oil (bbl)	40772.81
2014	TX		Oil (bbl)	147501.11
2008	NE		Oil (bbl)	54505.62
2006	OK		Oil (bbl)	165194.16
2007	NE		Oil (bbl)	67711.77
2005	CO		Gas (mcf)	493289025.99
2008	MO		Zinc Concentrate (tons)	45452.00
2006	AL		Oil (bbl)	74847.98
2006	CA		Gas (mcf)	17147134.03
2008	Withheld		Gold and Silver Products (oz)	7.00
2009	Withheld		Gold Products (ounces)	7.00
2009	OK		Oil (bbl)	211489.98
2008	OK		Oil (bbl)	184513.08
2009	AL		Oil (bbl)	32909.06
2006	NE		Oil (bbl)	50528.17
2007	AL		Oil (bbl)	53080.77
2010	WV		Oil (bbl)	8.00
2014	CO		Oil (bbl)	5267965.15
2008	AR		Oil (bbl)	8.03
2006	CO		Gas (mcf)	528393035.47
2013	CO		Oil (bbl)	4384038.01
2012	CO		Oil (bbl)	4429463.97
2009	LA		Gas (mcf)	20519548.29
2008	AL		Oil (bbl)	44460.02
2009	MI		Oil (bbl)	28092.55
2009	AK		Gas (mcf)	28155123.55
2011	Withheld		Gold Products (ounces)	10.00
2011	CO		Oil (bbl)	4153295.89
2006	TX		Gas (mcf)	25387514.52
2010	KY		Gas (mcf)	191033.87
2012	CA		Gas (mcf)	14658577.40
2008	CA		Oil (bbl)	13470152.76
2014	NE		Gas (mcf)	993.60
2006	CA		Oil (bbl)	14463848.95
2007	MT		Oil (bbl)	4648539.99
2012	CO		Gas (mcf)	741299227.85
2007	LA		Oil (bbl)	407946.56
2009	LA		Oil (bbl)	324011.37
2010	MS		Gas (mcf)	850446.46
2011	WV		Oil (bbl)	14.00
2012	OH		Oil (bbl)	15758.96
2013	NE		Gas (mcf)	958.24
2007	CA		Oil (bbl)	13429378.35
2014	MI		Oil (bbl)	32900.27
2011	AL		Oil (bbl)	33754.91
2014	AL		Oil (bbl)	23111.52
2005	AL		Oil (bbl)	140217.82
2011	MS		Gas (mcf)	774814.03
2012	MS		Gas (mcf)	647641.72
2010	CO		Gas (mcf)	697822855.37
2008	LA		Gas (mcf)	29461755.08
2012	NE		Gas (mcf)	1125.40
2010	NE		Gas (mcf)	2432.28
2009	NE		Gas (mcf)	2206.52
2010	LA		Oil (bbl)	301030.25
2011	NE		Gas (mcf)	1162.74
2005	MS		Gas (mcf)	700094.74
2012	AL		Oil (bbl)	30454.69
2013	AL		Oil (bbl)	26607.37
2012	MI		Oil (bbl)	44874.09
2005	VA		Oil (bbl)	20.73
2007	AR		Oil (bbl)	20.96
2005	MT		Oil (bbl)	4319044.33
2008	NE		Gas (mcf)	5351.80
2007	MT		Gas (mcf)	38644628.83
2009	OK		Gas (mcf)	15757784.10
2011	Withheld		Gold and Silver Products (oz)	23.00
2006	AR		Oil (bbl)	23.47
2010	AL		Oil (bbl)	35789.10
2007	NE		Gas (mcf)	5970.75
2013	LA		Gas (mcf)	17123842.73
2006	NE		Gas (mcf)	3732.75
2005	CA		Oil (bbl)	14553532.63
2012	LA		Gas (mcf)	20661362.54
2008	OK		Gas (mcf)	15077373.80
2013	MI		Oil (bbl)	43010.90
2005	NE		Gas (mcf)	2913.17
2005	AR		Oil (bbl)	32.14
2011	KY		Gas (mcf)	173874.29
2010	MO		Zinc Concentrate (tons)	43522.00
2008	MT		Oil (bbl)	4249380.69
2007	OH		Oil (bbl)	19406.97
2005	MO		Lead Concentrate (tons)	207576.00
2007	OK		Gas (mcf)	14225420.78
2009	MT		Oil (bbl)	3892916.27
2006	OK		Gas (mcf)	14191890.48
2005	OK		Gas (mcf)	14609535.17
2007	Withheld		Gold and Silver Products (oz)	40.00
2005	CA		Gas (mcf)	18044542.02
2012	KY		Gas (mcf)	145702.53
2012	UT		Oil (bbl)	11192959.82
2010	MT		Oil (bbl)	3618482.47
2005	Withheld		Gold and Silver Products (oz)	43.00
2014	KY		Gas (mcf)	126830.01
2007	UT		Oil (bbl)	8345662.59
2006	Withheld		Zinc Concentrate (tons)	47.00
2009	UT		Oil (bbl)	10973361.42
2013	KY		Gas (mcf)	131149.21
2007	KY		Gas (mcf)	207549.45
2011	LA		Gas (mcf)	20733556.41
2009	CA		Gas (mcf)	10922713.17
2013	UT		Oil (bbl)	11807887.61
2011	OK		Gas (mcf)	12725033.58
2011	MT		Oil (bbl)	3348465.00
2014	LA		Gas (mcf)	12865872.53
2010	UT		Oil (bbl)	10835315.57
2007	LA		Gas (mcf)	30582603.66
2010	LA		Gas (mcf)	16590301.92
2005	UT		Oil (bbl)	5905424.74
