State	Commodity	HS6	Year	Value	Share	Resource
VA	Coal	270112	2011	1281310000	0.07069399999999999	coal
VA	Coal	270112	2012	356900000	0.019518	coal
VA	Coal	270112	2013	67230000	0.003747	coal
VA	Coal	270112	2014	507730000	0.026452	coal
WV	Coal	270112	2011	5294510000	0.5857289999999999	coal
WV	Coal	270112	2012	7431290000	0.6514570000000001	coal
WV	Coal	270112	2013	4548080000	0.526971	coal
WV	Coal	270112	2014	3113800000	0.41539299999999996	coal
WY	Oil	270900	2011	11230000	0.009216	oilgas
WY	Oil	270900	2012	55340000	0.038949	oilgas
WY	Oil	270900	2013	43910000	0.032875999999999996	oilgas
WY	Oil	270900	2014	421940000	0.24012799999999998	oilgas
