Year	Region	Commodity	Volume	Product
2006	DE		0	All Other Renewables (Kwh)
2007	DE		48	All Other Renewables (Kwh)
2008	DE		163	All Other Renewables (Kwh)
2009	DE		126	All Other Renewables (Kwh)
2010	DE		138	All Other Renewables (Kwh)
2011	DE		158	All Other Renewables (Kwh)
2012	DE		131	All Other Renewables (Kwh)
2013	DE		107	All Other Renewables (Kwh)
2010	DE		3	Wind (Kwh)
2011	DE		5	Wind (Kwh)
2012	DE		4	Wind (Kwh)
2013	DE		4	Wind (Kwh)
2011	DE		8	Solar (Kwh)
2012	DE		23	Solar (Kwh)
2013	DE		45	Solar (Kwh)
2006	DE		0	Biomass (total) (Kwh)
2007	DE		48	Biomass (total) (Kwh)
2008	DE		163	Biomass (total) (Kwh)
2009	DE		126	Biomass (total) (Kwh)
2010	DE		136	Biomass (total) (Kwh)
2011	DE		145	Biomass (total) (Kwh)
2012	DE		105	Biomass (total) (Kwh)
2013	DE		57	Biomass (total) (Kwh)
2006	DE		0	Other biomass (Kwh)
2007	DE		48	Other biomass (Kwh)
2008	DE		163	Other biomass (Kwh)
2009	DE		126	Other biomass (Kwh)
2010	DE		136	Other biomass (Kwh)
2011	DE		145	Other biomass (Kwh)
2012	DE		105	Other biomass (Kwh)
2013	DE		57	Other biomass (Kwh)
2004	DE			All Renewables (Kwh)
2005	DE			All Renewables (Kwh)
2006	DE		0	All Renewables (Kwh)
2007	DE		144	All Renewables (Kwh)
2008	DE		489	All Renewables (Kwh)
2009	DE		378	All Renewables (Kwh)
2010	DE		413	All Renewables (Kwh)
2011	DE		461	All Renewables (Kwh)
2012	DE		368	All Renewables (Kwh)
2013	DE		270	All Renewables (Kwh)
