Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	138
2005	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	44
2006	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	520
2007	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	47223
2008	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	40095
2009	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	949
2010	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	301
2011	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	474
2012	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	766
2013	AZ	Maricopa	04013	Salt	Salt (ton)	Royalties	207
