Company	Revenue Type	Commodity	Revenue
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	920
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	N/A	5126.66
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	26383.18
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	338239.54
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	4009310.43
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	2894.5
ADDISON OIL LLC	ONRR - Royalties	Gas	-24131.88
ADDISON OIL LLC	ONRR - Royalties	Oil	126347.16
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	91180
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	94186.74
AERA ENERGY LLC	ONRR - Royalties	Gas	72982.2
AERA ENERGY LLC	ONRR - Royalties	Oil	34301123.2
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	7429
AGC SODA CORP	ONRR - Other Revenues	Sodium	15815.44
AGC SODA CORP	ONRR - Royalties	Other Commodities	Withheld
AGNICO-EAGLE USA LIMITED	BLM - Permit Fees	Locatable Minerals	200400
ALAMO-PALACE MP 59 LLC	BLM - Permit Fees	Oil & Gas	6500
ALAMO-PALACE MP 59 LLC	ONRR - Other Revenues	Oil & Gas	-6478.05
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	3996328.85
ALLEN & KIRMSE LTD	BLM - Permit Fees	Oil & Gas	620
ALLEN & KIRMSE LTD	ONRR/BLM - Bonus	Oil & Gas	2974340
ALLEN & KIRMSE LTD	ONRR/BLM - Rents	Oil & Gas	6238.5
ALLIANCE COAL LLC	OSMRE - AML Fees including Audits and Late Charges	Coal	4097067.84
ALLIED NEVADA GOLD CORP	BLM - Permit Fees	Locatable Minerals	1057420
ALPHA NATURAL RESOURCES INC	BLM - Permit Fees	Mineral Materials	87316.48
ALPHA NATURAL RESOURCES INC	ONRR - Other Revenues	Coal	93.06
ALPHA NATURAL RESOURCES INC	ONRR - Royalties	Coal	28785058.73
ALPHA NATURAL RESOURCES INC	ONRR/BLM - Bonus	Coal	42129612
ALPHA NATURAL RESOURCES INC	ONRR/BLM - Rents	Coal	38796
ALPHA NATURAL RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges	Coal	17109352.41
ALTA MESA SERVICES LP	ONRR - Other Revenues	Oil & Gas	485.93
ALTA MESA SERVICES LP	ONRR - Royalties	Gas	69071.94
ALTA MESA SERVICES LP	ONRR - Royalties	Oil	47227.94
ALTA MESA SERVICES LP	ONRR/BLM - Rents	Oil & Gas	18188
ALTERNATIVE EARTH RESOURCES INC	BLM - Permit Fees	Locatable Minerals	37510
ALTERNATIVE EARTH RESOURCES INC	ONRR - Other Revenues	N/A	189.9
ALTERNATIVE EARTH RESOURCES INC	ONRR - Royalties	Geothermal	120979.26
ALTERNATIVE EARTH RESOURCES INC	ONRR/BLM - Rents	Geothermal	24847
ALTON COAL DEVELOPMENT LLC	OSMRE - AML Fees including Audits and Late Charges	Coal	176160
AMERICAN COLLOID CO	BLM - Permit Fees	Locatable Minerals	750161
AMERICAN ENERGY CORP	OSMRE - AML Fees including Audits and Late Charges	Coal	708412.44
AMERICAN GENERAL ENERGY EXPLORATION	BLM - Permit Fees	Oil & Gas	11630
AMERICAN GENERAL ENERGY EXPLORATION	ONRR/BLM - Bonus	Oil & Gas	75754
AMERICAN GENERAL ENERGY EXPLORATION	ONRR/BLM - Rents	Oil & Gas	103302
AMERICAN GILSONITE CO	BLM - Permit Fees	Gilsonite	30
AMERICAN GILSONITE CO	ONRR - Other Revenues	Gilsonite	-144
AMERICAN GILSONITE CO	ONRR - Royalties	Other Commodities	Withheld
AMERICAN GILSONITE CO	ONRR/BLM - Rents	Gilsonite	-2168
AMERICO ENERGY RESOURCES LLC	ONRR - Royalties	Gas	17226.07
AMERICO ENERGY RESOURCES LLC	ONRR - Royalties	Oil	364848.29
AMERIKOHL MINING INC	OSMRE - AML Fees including Audits and Late Charges	Coal	240024.76
ANADARKO MINERALS INC	ONRR - Royalties	Gas	27001.81
ANADARKO MINERALS INC	ONRR - Royalties	Oil	130715.56
ANADARKO PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	1796270
ANADARKO PETROLEUM CORP	ONRR - Civil Penalties	N/A	107000
ANADARKO PETROLEUM CORP	ONRR - Inspection Fees	Oil & Gas	1701000
ANADARKO PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	500719.14
ANADARKO PETROLEUM CORP	ONRR - Royalties	Gas	175366148.57
ANADARKO PETROLEUM CORP	ONRR - Royalties	Oil	212511643.8
ANADARKO PETROLEUM CORP	ONRR/BLM - Bonus	Oil & Gas	9484400
ANADARKO PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	17887850.27
ANDERSON MANAGEMENT CO	BLM - Permit Fees	Oil & Gas	62500
ANDERSON MANAGEMENT CO	ONRR - Royalties	Gas	99253.79
ANDERSON OIL	BLM - Permit Fees	Oil & Gas	630
ANDERSON OIL	ONRR - Other Revenues	Oil & Gas	23134.4
ANDERSON OIL	ONRR - Royalties	Gas	23053.59
ANDERSON OIL	ONRR/BLM - Bonus	Oil & Gas	14526
ANDERSON OIL	ONRR/BLM - Rents	Oil & Gas	59658.73
ANFIELD RESOURCES HOLDING CORP	BLM - Permit Fees	Locatable Minerals	115413
ANGLO SUISSE OFFSHORE PARTNERS LLC	ONRR - Inspection Fees	Oil & Gas	48500
ANGLO SUISSE OFFSHORE PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	336448.52
ANGLO SUISSE OFFSHORE PARTNERS LLC	ONRR - Royalties	Gas	43316.02
ANGLO SUISSE OFFSHORE PARTNERS LLC	ONRR - Royalties	Oil	2300818.44
ANGLO SUISSE OFFSHORE PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	270
ANKOR ENERGY LLC	ONRR - Inspection Fees	Oil & Gas	691400
ANKOR ENERGY LLC	ONRR - Other Revenues	Oil & Gas	85404.51
ANKOR ENERGY LLC	ONRR - Royalties	Gas	6925278.87
ANKOR ENERGY LLC	ONRR - Royalties	Oil	39254351.65
ANKOR ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	70000
ANOVA METALS USA LLC	BLM - Permit Fees	Locatable Minerals	108810
APACHE CORP	BLM - Permit Fees	Oil & Gas	503760
APACHE CORP	ONRR - Inspection Fees	Oil & Gas	152481.89
APACHE CORP	ONRR - Other Revenues	N/A	1705.2
APACHE CORP	ONRR - Other Revenues	Oil & Gas	-4186962.22
APACHE CORP	ONRR - Royalties	Gas	23801649.17
APACHE CORP	ONRR - Royalties	Oil	111192128.66
APACHE CORP	ONRR/BLM - Rents	Oil & Gas	3003032.36
APEX ENERGY INC	OSMRE - AML Fees including Audits and Late Charges	Coal	240026.91
APEX OIL & GAS INC	ONRR - Inspection Fees	Oil & Gas	27500
APEX OIL & GAS INC	ONRR - Other Revenues	N/A	174.82
APEX OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	55551.88
APEX OIL & GAS INC	ONRR - Royalties	Gas	1080838.71
APEX OIL & GAS INC	ONRR - Royalties	Oil	24888.85
APEX OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	35604
APOGEE COAL CO LLC	OSMRE - AML Fees including Audits and Late Charges	Coal	173256.11
ARCH COAL INC	ONRR - Other Revenues	Coal	2488694.17
ARCH COAL INC	ONRR - Royalties	Coal	181811716.37
ARCH COAL INC	ONRR/BLM - Bonus	Coal	60436982.33
ARCH COAL INC	ONRR/BLM - Rents	Coal	212960.8
ARCH COAL INC	ONRR/BLM - Rents	Oil & Gas	29936.5
ARCH COAL INC	OSMRE - AML Fees including Audits and Late Charges	Coal	33333005.46
ARENA ENERGY	ONRR - Civil Penalties	N/A	75000
ARENA ENERGY	ONRR - Inspection Fees	Oil & Gas	1749700
ARENA ENERGY	ONRR - Other Revenues	Oil & Gas	277376.83
ARENA ENERGY	ONRR - Royalties	Gas	13947543.02
ARENA ENERGY	ONRR - Royalties	Oil	79730621.42
ARENA ENERGY	ONRR/BLM - Bonus	Oil & Gas	2270200
ARENA ENERGY	ONRR/BLM - Rents	Oil & Gas	1137112
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Other Revenues	N/A	214
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Other Revenues	Oil & Gas	3904.7
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Royalties	Oil	1220703.29
ARGENT ENERGY (US) HOLDINGS INC	ONRR/BLM - Rents	Oil & Gas	1010.5
ARMSTRONG COAL CO INC	OSMRE - AML Fees including Audits and Late Charges	Coal	1880951.88
ARMSTRONG CORP	ONRR - Royalties	Oil	216102.62
ARMSTRONG CORP	ONRR/BLM - Rents	Oil & Gas	8213
ARNELL OIL CO	ONRR - Royalties	Oil	262469.28
ARSENAL ENERGY INC	ONRR - Royalties	Gas	282.9
ARSENAL ENERGY INC	ONRR - Royalties	Oil	112464.91
ASARCO LLC	BLM - Permit Fees	Locatable Minerals	448115
ATLAS ENERGY	BLM - Permit Fees	Oil & Gas	360
ATLAS ENERGY	ONRR - Other Revenues	N/A	-12.6
ATLAS ENERGY	ONRR - Other Revenues	Oil & Gas	471333.22
ATLAS ENERGY	ONRR - Royalties	Gas	1718107.71
ATLAS ENERGY	ONRR - Royalties	Oil	1207233.58
ATLAS ENERGY	ONRR/BLM - Rents	Oil & Gas	93.34
AU MINES INC	BLM - Permit Fees	Locatable Minerals	137515
AUC LLC	BLM - Permit Fees	Locatable Minerals	106640
AUGUSTUS ENERGY RESOURCES LLC	BLM - Permit Fees	Oil & Gas	1800
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	21700.85
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Royalties	Gas	266043.38
AUGUSTUS ENERGY RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	1884
AUTUMN RIDGE ENERGY LLC	ONRR - Other Revenues	Oil & Gas	113365.84
AXIA ENERGY LLC	BLM - Permit Fees	Oil & Gas	360
AXIA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	-16746.96
AXIA ENERGY LLC	ONRR - Royalties	Gas	159701.19
AXIA ENERGY LLC	ONRR - Royalties	Oil	6382.54
AXIA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	14192
AZALEA OIL CO, LLC	ONRR/BLM - Bonus	Oil & Gas	105422
AZALEA OIL CO, LLC	ONRR/BLM - Rents	Oil & Gas	25380.5
B & N COAL INC	OSMRE - AML Fees including Audits and Late Charges	Coal	120199.26
B & R TRUCKING	BLM - Permit Fees	Mineral Materials	111804
B & W RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges	Coal	189566.17
B.C. OPERATING INC	ONRR - Other Revenues	Oil & Gas	26471.5
B.C. OPERATING INC	ONRR - Royalties	Gas	35591.07
B.C. OPERATING INC	ONRR - Royalties	Oil	350776.89
