Company	Revenue Type	Commodity	Revenue	
CAERUS OIL AND GAS LLC	BLM - Permit Fees	Oil & Gas	579019	
CAERUS OIL AND GAS LLC	ONRR - Other Revenues	N/A	486	
CAERUS OIL AND GAS LLC	ONRR - Other Revenues	Oil & Gas	-278026.19	
CAERUS OIL AND GAS LLC	ONRR - Royalties	Gas	10054896.04	
CAERUS OIL AND GAS LLC	ONRR - Royalties	Oil	951500.87	
CAERUS OIL AND GAS LLC	ONRR/BLM - Bonus	Oil & Gas	13120	
CAERUS OIL AND GAS LLC	ONRR/BLM - Rents	Oil & Gas	335676	
CALIFORNIA RESOURCES CORP	BLM - Permit Fees	Oil & Gas	210195	
CALM FORT WORTH VENTURES LLC	ONRR/BLM - Bonus	Oil & Gas	1020080	
CALM FORT WORTH VENTURES LLC	ONRR/BLM - Rents	Oil & Gas	120	
CALPINE CORP	BLM - Permit Fees	Locatable Minerals	155	
CALPINE CORP	ONRR - Other Revenues	Geothermal	877.3	
CALPINE CORP	ONRR - Royalties	Geothermal	6074558.87	
CALPINE CORP	ONRR/BLM - Rents	Geothermal	4447	
CALPORTLAND CO	BLM - Permit Fees	Locatable Minerals	161697	
CALPORTLAND CO	BLM - Permit Fees	Mineral Materials	43457.86	
CALYPSO EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	-40693.76	
CALYPSO EXPLORATION LLC	ONRR - Royalties	Gas	187624.33	
CALYPSO EXPLORATION LLC	ONRR - Royalties	Oil	5460883.79	
CALYPSO EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	40180	
CAM MINING LLC	ONRR/BLM - Rents	Coal	4563	
CAM MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	427588.44	
CANTIUM LLC	ONRR - Inspection Fees	Oil & Gas	1699600	
CANTIUM LLC	ONRR - Other Revenues	Oil & Gas	174099.31	
CANTIUM LLC	ONRR - Royalties	Gas	628050.82	
CANTIUM LLC	ONRR - Royalties	Oil	47922506.78	
CANTIUM LLC	ONRR/BLM - Bonus	Oil & Gas	301175	
CANTIUM LLC	ONRR/BLM - Rents	Oil & Gas	164839	
CANYON FUEL CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	1212612	
CARBON CREEK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	111058.07	
CARBON CREEK ENERGY LLC	ONRR - Royalties	Gas	14476802.42	
CARBON CREEK ENERGY LLC	ONRR - Royalties	Oil	426104.97	
CARBON CREEK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	29910	
CARLIN OPPORTUNITIES INC	BLM - Permit Fees	Locatable Minerals	1164545	
CARLIN TREND MINING SUPPLIES AND SERVICES	BLM - Permit Fees	Locatable Minerals	222289	
CARONE PETROLUEM CORP	ONRR - Civil Penalties	N/A	22787.43	
CARONE PETROLUEM CORP	ONRR - Inspection Fees	Oil & Gas	59141.74	
CARONE PETROLUEM CORP	ONRR - Other Revenues	N/A	3655.38	
CARONE PETROLUEM CORP	ONRR - Other Revenues	Oil & Gas	32052.77	
CARONE PETROLUEM CORP	ONRR - Royalties	Gas	67365.04	
CARONE PETROLUEM CORP	ONRR - Royalties	Oil	1651077.5	
CASCADIA MINERAL CLAIMS INC	BLM - Permit Fees	Locatable Minerals	168086	
CASILLAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	330.11	
CASILLAS PETROLEUM CORP	ONRR - Royalties	Gas	402955.88	
CASILLAS PETROLEUM CORP	ONRR - Royalties	Oil	464544.78	
CASILLAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	207.88	
CASTEX OFFSHORE INC	ONRR - Civil Penalties	N/A	65250	
CASTEX OFFSHORE INC	ONRR - Other Revenues	Oil & Gas	165303.22	
CASTEX OFFSHORE INC	ONRR - Royalties	Gas	5703353.86	
CASTEX OFFSHORE INC	ONRR - Royalties	Oil	5600928.13	
CASTEX OFFSHORE INC	ONRR/BLM - Bonus	Oil & Gas	728728	
CASTEX OFFSHORE INC	ONRR/BLM - Rents	Oil & Gas	647481	
CASTLE VALLEY MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	124866.48	
CATAMOUNT ENERGY PARTNERS LLC	BLM - Permit Fees	Oil & Gas	63914	
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Other Revenues	N/A	729	
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	-44837.72	
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Royalties	Gas	255888.7	
CATAMOUNT ENERGY PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	1698	
CATHER-HERLEY OIL CO	ONRR - Royalties	Oil	165204.6	
CAZA	BLM - Permit Fees	Oil & Gas	99225	
CAZA	ONRR - Other Revenues	Oil & Gas	8699.28	
CAZA	ONRR - Royalties	Gas	392877.99	
CAZA	ONRR/BLM - Bonus	Oil & Gas	1884080	
CAZA	ONRR/BLM - Rents	Oil & Gas	2660	
CEDAR LAKE MINING INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	237405.6	
CEMEX	BLM - Permit Fees	Locatable Minerals	86180	
CEMEX	BLM - Permit Fees	Mineral Materials	528574.02	
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Other Revenues	Oil & Gas	4551.39	
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Royalties	Gas	139359.07	
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR - Royalties	Oil	1501931.36	
CENTENNIAL RESOURCE DEVELOPMENT INC	ONRR/BLM - Rents	Oil & Gas	1440	
CENTENNIAL RESOURCES PRODUCTION LLC	BLM - Permit Fees	Mineral Materials	71290	
CENTENNIAL RESOURCES PRODUCTION LLC	BLM - Permit Fees	Oil & Gas	348540	
CENTRESTONE RESOURCES LLC	BLM - Permit Fees	Locatable Minerals	309521	
CENTURY NATURAL RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	191377	
CENTURY NATURAL RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	6316.5	
CHACO ENERGY CO	BLM - Permit Fees	Oil & Gas	760	
CHACO ENERGY CO	ONRR - Other Revenues	Oil & Gas	815.99	
CHACO ENERGY CO	ONRR - Royalties	Gas	76505.12	
CHACO ENERGY CO	ONRR - Royalties	Oil	126956.25	
CHACO ENERGY CO	ONRR/BLM - Rents	Oil & Gas	1510	
CHEMILY MANAGEMENT COMPANY	ONRR - Other Revenues	Oil & Gas	42942.93	
CHEMILY MANAGEMENT COMPANY	ONRR - Royalties	Gas	112459.83	
CHEMILY MANAGEMENT COMPANY	ONRR - Royalties	Oil	196743.51	
CHESAPEAKE ENERGY CORP	BLM - Permit Fees	Oil & Gas	682405	
CHESAPEAKE ENERGY CORP	ONRR - Other Revenues	Oil & Gas	2727007.22	
CHESAPEAKE ENERGY CORP	ONRR - Royalties	Gas	5727605.32	
CHESAPEAKE ENERGY CORP	ONRR - Royalties	Oil	15359203.09	
CHESAPEAKE ENERGY CORP	ONRR/BLM - Bonus	Oil & Gas	8492520	
CHESAPEAKE ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	-103914.17	
CHEVRON CORP	BLM - Permit Fees	Locatable Minerals	21080	
CHEVRON CORP	BLM - Permit Fees	Oil & Gas	675270	
CHEVRON CORP	ONRR - Civil Penalties	N/A	153950	
CHEVRON CORP	ONRR - Inspection Fees	Oil & Gas	1445500	
CHEVRON CORP	ONRR - Other Revenues	N/A	3119.8	
CHEVRON CORP	ONRR - Other Revenues	Oil & Gas	5897122.76	
CHEVRON CORP	ONRR - Royalties	Gas	41089002.86	
CHEVRON CORP	ONRR - Royalties	Oil	319495378.76	
CHEVRON CORP	ONRR - Royalties	Other Commodities	32780.74	
CHEVRON CORP	ONRR/BLM - Bonus	Oil & Gas	98387134	
CHEVRON CORP	ONRR/BLM - Rents	Coal	47196	
CHEVRON CORP	ONRR/BLM - Rents	Oil & Gas	9914863.47	
CHIPCORE LLC	ONRR - Other Revenues	Oil & Gas	534	
CHIPCORE LLC	ONRR - Royalties	Gas	94951.52	
CHIPCORE LLC	ONRR - Royalties	Oil	33843.01	
CHISHOLM ENERGY OPERATING LLC	BLM - Permit Fees	Oil & Gas	323330	
CHISHOLM ENERGY OPERATING LLC	ONRR - Other Revenues	Oil & Gas	574353.49	
CHISHOLM ENERGY OPERATING LLC	ONRR - Royalties	Gas	1924254.38	
CHISHOLM ENERGY OPERATING LLC	ONRR - Royalties	Oil	6805457.23	
CHISHOLM ENERGY OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	638	
CHUGACH ELECTRIC ASSOCIATION INC	ONRR - Other Revenues	Oil & Gas	58.8	
CHUGACH ELECTRIC ASSOCIATION INC	ONRR - Royalties	Gas	251146.91	
CIMAREX ENERGY CO	BLM - Permit Fees	Oil & Gas	1275255	
CIMAREX ENERGY CO	ONRR - Other Revenues	Oil & Gas	2997404.42	
CIMAREX ENERGY CO	ONRR - Royalties	Gas	17904572.76	
CIMAREX ENERGY CO	ONRR - Royalties	Oil	59652344.01	
CIMAREX ENERGY CO	ONRR/BLM - Bonus	Oil & Gas	2834069	
CIMAREX ENERGY CO	ONRR/BLM - Rents	Oil & Gas	6900.5	
CINER RESOURCES CORP	ONRR - Royalties	Other Commodities	7260179.64	
CIRIS ENERGY INC	BLM - Permit Fees	Oil & Gas	124576.89	
CITATION OIL & GAS CORP	BLM - Permit Fees	Mineral Materials	98	
CITATION OIL & GAS CORP	BLM - Permit Fees	Oil & Gas	19580	
CITATION OIL & GAS CORP	ONRR - Other Revenues	Oil & Gas	1888334.85	
CITATION OIL & GAS CORP	ONRR - Royalties	Gas	204773.76	
CITATION OIL & GAS CORP	ONRR - Royalties	Oil	6335041.78	
CITATION OIL & GAS CORP	ONRR/BLM - Rents	Oil & Gas	30249.25	
CL&F RESOURCES LP	ONRR - Other Revenues	Oil & Gas	3840.07	
CL&F RESOURCES LP	ONRR - Royalties	Gas	202701.28	
CL&F RESOURCES LP	ONRR - Royalties	Oil	1715224.41	
CL&F RESOURCES LP	ONRR/BLM - Rents	Oil & Gas	960	
CLARK COUNTY PUBLIC WORKS - DESIGN ENGINEERING	BLM - Permit Fees	Mineral Materials	1404540	
CLEAR CREEK RESOURCE PARTNERS (CCRP)	ONRR - Royalties	Oil	9653.7	
CLEAR CREEK RESOURCE PARTNERS (CCRP)	ONRR/BLM - Bonus	Oil & Gas	2230437	
CLEAR CREEK RESOURCE PARTNERS (CCRP)	ONRR/BLM - Rents	Oil & Gas	1180.5	
CLINTWOOD ELKHORN MINING CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	243472.65	
CLOUD PEAK ENERGY RESOURCES LLC	BLM - Permit Fees	Coal	66769	
CLOUD PEAK ENERGY RESOURCES LLC	BLM - Permit Fees	Mineral Materials	8753.43	
CLOUD PEAK ENERGY RESOURCES LLC	ONRR - Royalties	Coal	51753408	
CLOUD PEAK ENERGY RESOURCES LLC	ONRR/BLM - Bonus	Coal	574000	
CLOUD PEAK ENERGY RESOURCES LLC	ONRR/BLM - Rents	Coal	62607.95	
CLOUD PEAK ENERGY RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	10307146.56	
CM ENERGY OPERATIONS LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	330074.29	
CNOOC LTD	ONRR - Other Revenues	Oil & Gas	7519.6	
CNOOC LTD	ONRR - Royalties	Gas	2207507.35	
CNOOC LTD	ONRR - Royalties	Oil	14570809.42	
COACHMEN ENERGY OPERATING COMPANY LLC	ONRR - Other Revenues	Oil & Gas	253.17	
COACHMEN ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Gas	176955.82	
COACHMEN ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Oil	27896.17	
COACHMEN ENERGY OPERATING COMPANY LLC	ONRR/BLM - Rents	Oil & Gas	5356	
COAL MAC LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	680420.27	
COBALT INTERNATIONAL ENERGY INC	ONRR - Other Revenues	Oil & Gas	-663561.18	
COBALT INTERNATIONAL ENERGY INC	ONRR - Royalties	Gas	16771.65	
COBALT INTERNATIONAL ENERGY INC	ONRR - Royalties	Oil	2180446.73	
COBALT INTERNATIONAL ENERGY INC	ONRR/BLM - Rents	Oil & Gas	3530880	
COBRA OIL AND GAS CORPORATION	BLM - Permit Fees	Oil & Gas	44250	
COBRA OIL AND GAS CORPORATION	ONRR - Other Revenues	Oil & Gas	4551.94	
COBRA OIL AND GAS CORPORATION	ONRR - Royalties	Gas	321354.4	
COBRA OIL AND GAS CORPORATION	ONRR - Royalties	Oil	1503842.54	
COBRA OIL AND GAS CORPORATION	ONRR/BLM - Bonus	Oil & Gas	161722	
COBRA OIL AND GAS CORPORATION	ONRR/BLM - Rents	Oil & Gas	1084.5	
CODAHO LLC	BLM - Permit Fees	Locatable Minerals	123961	
COEUR ROCHESTER INC	BLM - Permit Fees	Locatable Minerals	115837	
COLEMAN OIL & GAS INC	BLM - Permit Fees	Oil & Gas	11180	
COLEMAN OIL & GAS INC	ONRR - Other Revenues	N/A	243	
COLEMAN OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	-28873	
COLEMAN OIL & GAS INC	ONRR - Royalties	Gas	128564.09	
COLEMAN OIL & GAS INC	ONRR - Royalties	Oil	9224.23	
COLEMAN OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	8284	
COLGATE OPERATING LLC	ONRR - Other Revenues	Oil & Gas	2089.06	
COLGATE OPERATING LLC	ONRR - Royalties	Gas	407937.15	
COLGATE OPERATING LLC	ONRR - Royalties	Oil	2129505.89	
COLGATE OPERATING LLC	ONRR/BLM - Bonus	Oil & Gas	960160	
COLGATE OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	446	
COLORADO ENERGY MINERALS INC	BLM - Permit Fees	Oil & Gas	2420	
COLORADO ENERGY MINERALS INC	ONRR/BLM - Bonus	Oil & Gas	528376	
COLORADO ENERGY MINERALS INC	ONRR/BLM - Rents	Oil & Gas	17995.5	
COLOWYO COAL CO LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	422158.94	
COLUMBIA PIPELINE GROUP	ONRR - Other Revenues	Oil & Gas	132166.17	
COLUMBIA PIPELINE GROUP	ONRR/BLM - Rents	Oil & Gas	610	
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Coal	119251.51	
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Geothermal   	2839.36	
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Locatable Minerals	24640895.63	
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Mineral Materials	3343822.48	
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Oil & Gas	4552541.45	
COMPANIES BELOW $100,000 THRESHOLD	BLM - Permit Fees	Other Leasable Minerals	34597.4	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Civil Penalties	N/A	-762268.34	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Inspection Fees	Oil & Gas	355988.75	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Clay	462	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Coal	82186.64	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Geothermal	42964.29	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Gilsonite	1434	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Gold	1953	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Hardrock	53473.2	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	N/A	72502.74	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Oil & Gas	-3223760.67	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Phosphate	78692.58	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Other Revenues	Sodium	7757.43	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Coal	-1637598.1	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Gas	7789613.14	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Geothermal	157623.71	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Oil	6513685.96	
COMPANIES BELOW $100,000 THRESHOLD	ONRR - Royalties	Other Commodities	71507.32	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Bonus	Coal	19200	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Bonus	Oil & Gas	-1532938.25	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Bonus	Sodium	960	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Clay	154	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Coal	97270.94	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Copper	20	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Geothermal	221330	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Gilsonite	239	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Gold	651	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Hardrock	1598	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Oil & Gas	2332649.13	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Oil Shale	1234	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Phosphate	23865	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Sodium	-3526	
COMPANIES BELOW $100,000 THRESHOLD	ONRR/BLM - Rents	Wind	88278	
COMPANIES BELOW $100,000 THRESHOLD	OSMRE - AML Fees including Audits and Late Charges 	Coal	5692097.3	
COMPANIES BELOW $100,000 THRESHOLD	OSMRE - Civil Penalties including Late Charges	Coal	4054.87	
CONCHO RESOURCES INC	BLM - Permit Fees	Oil & Gas	693150	
CONCHO RESOURCES INC	ONRR - Other Revenues	Oil & Gas	4709786.35	
CONCHO RESOURCES INC	ONRR - Royalties	Gas	36792673.89	
CONCHO RESOURCES INC	ONRR - Royalties	Oil	115966746.27	
CONCHO RESOURCES INC	ONRR/BLM - Bonus	Oil & Gas	8084095	
CONCHO RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	51796	
CONCORD ENERGY HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	166.89	
CONCORD ENERGY HOLDINGS LLC	ONRR - Royalties	Oil	123420.08	
CONOCOPHILLIPS	BLM - Permit Fees	Oil & Gas	703150	
CONOCOPHILLIPS	ONRR - Inspection Fees	Oil & Gas	17000	
CONOCOPHILLIPS	ONRR - Other Revenues	N/A	1010.33	
CONOCOPHILLIPS	ONRR - Other Revenues	Oil & Gas	2803958.62	
CONOCOPHILLIPS	ONRR - Royalties	Gas	15410233.22	
CONOCOPHILLIPS	ONRR - Royalties	Oil	87728394.15	
CONOCOPHILLIPS	ONRR - Royalties	Other Commodities	47553.33	
CONOCOPHILLIPS	ONRR/BLM - Bonus	Oil & Gas	1550007	
CONOCOPHILLIPS	ONRR/BLM - Rents	Oil & Gas	4082185	
CONQUEST LAND COMPANY LLC	ONRR/BLM - Bonus	Oil & Gas	228838	
CONQUEST LAND COMPANY LLC	ONRR/BLM - Rents	Oil & Gas	361.5	
CONTANGO OIL & GAS CO	ONRR - Civil Penalties	N/A	38100	
CONTANGO OIL & GAS CO	ONRR - Inspection Fees	Oil & Gas	112500	
CONTANGO OIL & GAS CO	ONRR - Other Revenues	Oil & Gas	-18514.88	
CONTANGO OIL & GAS CO	ONRR - Royalties	Gas	6706255.97	
CONTANGO OIL & GAS CO	ONRR - Royalties	Oil	1026155.47	
CONTANGO OIL & GAS CO	ONRR/BLM - Rents	Oil & Gas	16053.02	
CONTEX ENERGY CO	BLM - Permit Fees	Oil & Gas	575	
CONTEX ENERGY CO	ONRR/BLM - Bonus	Oil & Gas	424580	
CONTEX ENERGY CO	ONRR/BLM - Rents	Oil & Gas	25258.25	
CONTINENTAL MINERAL CLAIMS INC	BLM - Permit Fees	Locatable Minerals	150345	
CONTINENTAL RESOURCES INC	BLM - Permit Fees	Oil & Gas	722275	
CONTINENTAL RESOURCES INC	ONRR - Other Revenues	N/A	243	
CONTINENTAL RESOURCES INC	ONRR - Other Revenues	Oil & Gas	612592.11	
CONTINENTAL RESOURCES INC	ONRR - Royalties	Gas	9575281.7	
CONTINENTAL RESOURCES INC	ONRR - Royalties	Oil	75810098.5	
CONTINENTAL RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	80648	
CONTURA ENERGY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	2492543.27	
CORONADO COAL	ONRR - Royalties	Oil	2179.63	
CORONADO COAL	OSMRE - AML Fees including Audits and Late Charges 	Coal	498403.18	
CORTEZ JOINT VENTURE	BLM - Permit Fees	Locatable Minerals	877100	
CORVUS GOLD NEVADA INC	BLM - Permit Fees	Locatable Minerals	287622	
COUGAR GOLD LLC	BLM - Permit Fees	Locatable Minerals	152675	
COUNTRYMARK REFINING AND LOGISTICS LLC	ONRR - Other Revenues	Oil & Gas	1034.9	
COUNTRYMARK REFINING AND LOGISTICS LLC	ONRR - Royalties	Oil	125514.04	
COVADA LLC	BLM - Permit Fees	Locatable Minerals	156602	
COVEY PARK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	166995.52	
COVEY PARK ENERGY LLC	ONRR - Royalties	Gas	708241.21	
COVEY PARK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	600	
COX OPERATING LLC	ONRR - Civil Penalties	N/A	274200	
COX OPERATING LLC	ONRR - Inspection Fees	Oil & Gas	6469500	
COX OPERATING LLC	ONRR - Other Revenues	Oil & Gas	168862.5	
COX OPERATING LLC	ONRR - Royalties	Gas	28315192.28	
COX OPERATING LLC	ONRR - Royalties	Oil	127707856.45	
COX OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	109036	
CPX PICEANCE HOLDINGS LLC	BLM - Permit Fees	Oil & Gas	640	
CPX PICEANCE HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	-2970	
CPX PICEANCE HOLDINGS LLC	ONRR - Royalties	Oil	1322.38	
CPX PICEANCE HOLDINGS LLC	ONRR/BLM - Bonus	Oil & Gas	481081	
CPX PICEANCE HOLDINGS LLC	ONRR/BLM - Rents	Oil & Gas	49263.5	
CRAIG, PAUL L.	ONRR/BLM - Rents	Oil & Gas	106269	
CRAIGHEAD T C	ONRR - Other Revenues	Oil & Gas	1666	
CRAIGHEAD T C	ONRR/BLM - Bonus	Oil & Gas	161261	
CRAIGHEAD T C	ONRR/BLM - Rents	Oil & Gas	5708	
CRESCENT POINT ENERGY CORP	BLM - Permit Fees	Oil & Gas	647825	
CRESCENT POINT ENERGY CORP	ONRR - Other Revenues	N/A	729	
CRESCENT POINT ENERGY CORP	ONRR - Other Revenues	Oil & Gas	24944.77	
CRESCENT POINT ENERGY CORP	ONRR - Royalties	Gas	60246.9	
CRESCENT POINT ENERGY CORP	ONRR - Royalties	Oil	1020273.9	
CRESCENT POINT ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	32706.5	
CRESTONE PEAK RESOURCES OPERATING LLS	ONRR - Other Revenues	Oil & Gas	186.79	
CRESTONE PEAK RESOURCES OPERATING LLS	ONRR - Royalties	Gas	134800.65	
CRESTONE PEAK RESOURCES OPERATING LLS	ONRR - Royalties	Oil	60149.81	
CRIMSON RESOURCE MANAGEMENT	ONRR - Other Revenues	Oil & Gas	1820.84	
CRIMSON RESOURCE MANAGEMENT	ONRR - Royalties	Oil	263077.4	
CRIMSON RESOURCE MANAGEMENT	ONRR/BLM - Rents	Oil & Gas	6560	
CROSS TIMBERS ENERGY LLC	BLM - Permit Fees	Oil & Gas	1080	
CROSS TIMBERS ENERGY LLC	ONRR - Other Revenues	Oil & Gas	34727.64	
CROSS TIMBERS ENERGY LLC	ONRR - Royalties	Gas	2756427.41	
CROSS TIMBERS ENERGY LLC	ONRR - Royalties	Oil	496259.62	
CROSS TIMBERS ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	3040.5	
CROWHEART ENERGY LLC	BLM - Permit Fees	Oil & Gas	40425	
CROWHEART ENERGY LLC	ONRR - Other Revenues	Oil & Gas	955333.32	
CROWHEART ENERGY LLC	ONRR - Royalties	Gas	6081657.83	
CROWHEART ENERGY LLC	ONRR - Royalties	Oil	888515.12	
CROWHEART ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	10356	
CRUX1 LLC	ONRR - Other Revenues	Oil & Gas	51366.03	
CRUX1 LLC	ONRR - Royalties	Gas	1991033.96	
CRUX1 LLC	ONRR - Royalties	Oil	4815508.32	
CRYSTAL PEAK MINERALS INC	ONRR - Other Revenues	Phosphate	287457	
CYRQ ENERGY INC	ONRR - Other Revenues	Geothermal	132954	
CYRQ ENERGY INC	ONRR - Other Revenues	N/A	3272.9	
CYRQ ENERGY INC	ONRR - Other Revenues	Oil & Gas	999.79	
CYRQ ENERGY INC	ONRR - Royalties	Geothermal	62991.89	
CYRQ ENERGY INC	ONRR/BLM - Rents	Geothermal	84818	
DAJIN RESOURCES US CORP	BLM - Permit Fees	Geothermal   	190	
DAJIN RESOURCES US CORP	BLM - Permit Fees	Locatable Minerals	381546	
DAKOTA WESTMORELAND CORP	ONRR - Royalties	Coal	447041.54	
DAKOTA WESTMORELAND CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	36219.44	
DANA MINING CO OF PENNSYLVANIA	OSMRE - AML Fees including Audits and Late Charges 	Coal	117987.55	
DANIEL R BLEAK	BLM - Permit Fees	Locatable Minerals	307675	
DARLING GEOMATICS	BLM - Permit Fees	Locatable Minerals	119589	
DC ENERGY LLC DOMESTIC LIMITED LIA	BLM - Permit Fees	Oil & Gas	165000	
DCOR LLC	ONRR - Other Revenues	Oil & Gas	33958.64	
DCOR LLC	ONRR - Royalties	Gas	1197509.69	
DCOR LLC	ONRR - Royalties	Oil	17912215.23	
DCP MIDSTREAM LP	ONRR - Other Revenues	Oil & Gas	96.5	
DCP MIDSTREAM LP	ONRR - Royalties	Gas	643584.91	
DECONCINI MCDONALD YETWIN & LACY P C	BLM - Permit Fees	Locatable Minerals	289725	
DENBURY RESOURCES INC	ONRR - Other Revenues	Oil & Gas	34238.93	
DENBURY RESOURCES INC	ONRR - Royalties	Gas	371145.05	
DENBURY RESOURCES INC	ONRR - Royalties	Oil	17852027.91	
DENBURY RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	39778.5	
DEVON ENERGY CORP	BLM - Permit Fees	Oil & Gas	2880123.46	
DEVON ENERGY CORP	ONRR - Other Revenues	N/A	679	
DEVON ENERGY CORP	ONRR - Other Revenues	Oil & Gas	9554790.7	
DEVON ENERGY CORP	ONRR - Royalties	Gas	24564538.7	
DEVON ENERGY CORP	ONRR - Royalties	Oil	145915599.59	
DEVON ENERGY CORP	ONRR/BLM - Bonus	Oil & Gas	10834221	
DEVON ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	377597.52	
DG PETRO OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	282304	
DG PETRO OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	1698	
DIAMONDBACK DISPOSAL SVCS INC	BLM - Permit Fees	Mineral Materials	172021.1	
DIAMONDBACK ENERGY INC	BLM - Permit Fees	Oil & Gas	436220	
DIAMONDBACK ENERGY INC	ONRR - Other Revenues	N/A	243	
DIAMONDBACK ENERGY INC	ONRR - Other Revenues	Oil & Gas	5433.09	
DIAMONDBACK ENERGY INC	ONRR - Royalties	Gas	45257.56	
