Year	State	County	FIPS	Commodity	type	Revenue
2004	NM	Bernalillo	35001	Gas	Royalties	67.04
2004	NM	Chaves	35005	Oil & Gas	Other Revenues	61253.78
2004	NM	Chaves	35005	Oil & Gas	Other Roy Vals	-109161
2004	NM	Chaves	35005	Gas	Royalties	15108.41
2004	NM	Chaves	35005	Gas	Royalties	634.52
2004	NM	Chaves	35005	Gas	Royalties	57562.34
2004	NM	Chaves	35005	Gas	Royalties	8692104.28
2004	NM	Chaves	35005	Oil	Royalties	7695.36
2004	NM	Chaves	35005	Oil	Royalties	531706.76
2004	NM	Eddy	35015	Oil & Gas	Other Revenues	289303.1
2004	NM	Eddy	35015	Potassium	Other Revenues	17231
2004	NM	Eddy	35015	Gas	Other Roy Vals	2829.68
2004	NM	Eddy	35015	Oil & Gas	Other Roy Vals	194194.89
2004	NM	Eddy	35015	Gas	Royalties	4963.63
2004	NM	Eddy	35015	Gas	Royalties	3855.6
2004	NM	Eddy	35015	Gas	Royalties	8470507.03
2004	NM	Eddy	35015	Gas	Royalties	37933510.18
2004	NM	Eddy	35015	Gas	Royalties	70412523.26
2004	NM	Eddy	35015	Oil	Royalties	10504123.58
2004	NM	Eddy	35015	Oil	Royalties	194801.28
2004	NM	Eddy	35015	Oil	Royalties	54486249.14
2004	NM	Harding	35021	Oil & Gas	Other Revenues	35887.19
2004	NM	Harding	35021	Oil & Gas	Other Roy Vals	3833.2
2004	NM	Harding	35021	Gas	Royalties	450.35
2004	NM	Harding	35021	Gas	Royalties	36552.91
2004	NM	Harding	35021	Other	Royalties	319353.34
2004	NM	Hidalgo	35023	Geothermal	Other Roy Vals	56000
2004	NM	Lea	35025	Oil & Gas	Other Revenues	56630.21
2004	NM	Lea	35025	Oil & Gas	Other Roy Vals	1526753.56
2004	NM	Lea	35025	Gas	Royalties	3711166.5
2004	NM	Lea	35025	Gas	Royalties	6704486.7
2004	NM	Lea	35025	Gas	Royalties	30995284.7
2004	NM	Lea	35025	Oil	Royalties	1463893.75
2004	NM	Lea	35025	Oil	Royalties	35300483.67
2004	NM	Mckinley	35031	Oil & Gas	Other Revenues	11556
2004	NM	Mckinley	35031	Oil	Royalties	31008.14
2004	NM	Otero	35035	Oil & Gas	Other Revenues	1614
2004	NM	Quay	35037	Oil & Gas	Other Revenues	153.16
2004	NM	Quay	35037	Other	Royalties	32362.53
2004	NM	Rio Arriba	35039	Oil & Gas	Other Revenues	7582.13
2004	NM	Rio Arriba	35039	Oil	Other Roy Vals	32.19
2004	NM	Rio Arriba	35039	Oil & Gas	Other Roy Vals	1969174.48
2004	NM	Rio Arriba	35039	Gas	Royalties	38159380.95
2004	NM	Rio Arriba	35039	Gas	Royalties	27002156.92
2004	NM	Rio Arriba	35039	Gas	Royalties	60646243.03
2004	NM	Rio Arriba	35039	Gas	Royalties	38799663.88
2004	NM	Rio Arriba	35039	Oil	Royalties	1833355.52
2004	NM	Rio Arriba	35039	Oil	Royalties	6679.59
2004	NM	Rio Arriba	35039	Oil	Royalties	1030558.18
2004	NM	Roosevelt	35041	Oil & Gas	Other Revenues	10451.52
2004	NM	Roosevelt	35041	Oil & Gas	Other Roy Vals	8045
2004	NM	Roosevelt	35041	Gas	Royalties	11573.3
2004	NM	Roosevelt	35041	Gas	Royalties	137054.82
2004	NM	Roosevelt	35041	Gas	Royalties	611219.66
