year	volume	product	region	units	series_id
2016	36754.19959999999	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2015	24892.9036	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2014	17691.03119	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2013	9035.62038	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2012	4326.6752400000005	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2011	1817.6956500000001	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2010	1212.18158	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2009	891.1793900000001	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2008	864.31479	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2007	611.7930000000001	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2006	507.70599999999996	Solar	US	MMWh	ELEC.GEN.SUN-US-99.A
2016	31.261	Solar	AL	MMWh	ELEC.GEN.SUN-AL-99.A
2016	3752.9253200000003	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2015	3456.6080599999996	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2014	3141.5078599999997	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2013	2111.43864	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2012	955.44331	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2011	83.34877999999999	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2010	15.75389	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2009	14.145	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2008	14.723999999999998	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2007	8.649	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2006	13.133999999999999	Solar	AZ	MMWh	ELEC.GEN.SUN-AZ-99.A
2016	29.995939999999997	Solar	AR	MMWh	ELEC.GEN.SUN-AR-99.A
2015	0.927	Solar	AR	MMWh	ELEC.GEN.SUN-AR-99.A
2016	19030.39663	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2015	14814.38409	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2014	9931.81486	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2013	3813.7247899999998	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2012	1382.29986	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2011	888.8294	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2010	769.3309499999999	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2009	647.38956	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2008	670.481	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2007	556.9689999999999	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2006	494.572	Solar	CA	MMWh	ELEC.GEN.SUN-CA-99.A
2016	548.3298	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2015	251.37135	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2014	253.065	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2013	248.45246000000003	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2012	165.44903	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2011	104.63561	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2010	42.49778	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2009	25.584999999999997	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2008	18.354000000000003	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2007	2.208	Solar	CO	MMWh	ELEC.GEN.SUN-CO-99.A
2016	28.13229	Solar	CT	MMWh	ELEC.GEN.SUN-CT-99.A
2015	17.43906	Solar	CT	MMWh	ELEC.GEN.SUN-CT-99.A
2014	11.70623	Solar	CT	MMWh	ELEC.GEN.SUN-CT-99.A
2013	0	Solar	CT	MMWh	ELEC.GEN.SUN-CT-99.A
2016	55.77461	Solar	DE	MMWh	ELEC.GEN.SUN-DE-99.A
2015	48.511559999999996	Solar	DE	MMWh	ELEC.GEN.SUN-DE-99.A
2014	49.53	Solar	DE	MMWh	ELEC.GEN.SUN-DE-99.A
2013	44.727000000000004	Solar	DE	MMWh	ELEC.GEN.SUN-DE-99.A
2012	22.559	Solar	DE	MMWh	ELEC.GEN.SUN-DE-99.A
2011	8.2798	Solar	DE	MMWh	ELEC.GEN.SUN-DE-99.A
2016	352.39869999999996	Solar	FL	MMWh	ELEC.GEN.SUN-FL-99.A
2015	223.93332	Solar	FL	MMWh	ELEC.GEN.SUN-FL-99.A
2014	241.68418	Solar	FL	MMWh	ELEC.GEN.SUN-FL-99.A
2013	209.90200000000002	Solar	FL	MMWh	ELEC.GEN.SUN-FL-99.A
2012	193.61598999999998	Solar	FL	MMWh	ELEC.GEN.SUN-FL-99.A
2011	125.726	Solar	FL	MMWh	ELEC.GEN.SUN-FL-99.A
2010	80.44000000000001	Solar	FL	MMWh	ELEC.GEN.SUN-FL-99.A
2009	9.47	Solar	FL	MMWh	ELEC.GEN.SUN-FL-99.A
2016	906.7732000000001	Solar	GA	MMWh	ELEC.GEN.SUN-GA-99.A
2015	129.45192000000003	Solar	GA	MMWh	ELEC.GEN.SUN-GA-99.A
2014	119.22666000000001	Solar	GA	MMWh	ELEC.GEN.SUN-GA-99.A
2013	14.4973	Solar	GA	MMWh	ELEC.GEN.SUN-GA-99.A
2012	2.92069	Solar	GA	MMWh	ELEC.GEN.SUN-GA-99.A
2016	91.77076	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2015	54.39724	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2014	39.261750000000006	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2013	19.46596	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2012	4.608	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2011	3.593	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2010	1.7700000000000002	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2009	1.3900000000000001	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2008	0.018000000000000002	Solar	HI	MMWh	ELEC.GEN.SUN-HI-99.A
2016	29.464999999999996	Solar	ID	MMWh	ELEC.GEN.SUN-ID-99.A
2016	58.20781	Solar	IL	MMWh	ELEC.GEN.SUN-IL-99.A
2015	49.36	Solar	IL	MMWh	ELEC.GEN.SUN-IL-99.A
2014	50.1169	Solar	IL	MMWh	ELEC.GEN.SUN-IL-99.A
2013	52.120000000000005	Solar	IL	MMWh	ELEC.GEN.SUN-IL-99.A
2012	30.657000000000004	Solar	IL	MMWh	ELEC.GEN.SUN-IL-99.A
2011	14.062000000000001	Solar	IL	MMWh	ELEC.GEN.SUN-IL-99.A
2010	14.145	Solar	IL	MMWh	ELEC.GEN.SUN-IL-99.A
2009	0.016	Solar	IL	MMWh	ELEC.GEN.SUN-IL-99.A
2016	271.43935999999997	Solar	IN	MMWh	ELEC.GEN.SUN-IN-99.A
2015	156.09799	Solar	IN	MMWh	ELEC.GEN.SUN-IN-99.A
2014	102.12689999999999	Solar	IN	MMWh	ELEC.GEN.SUN-IN-99.A
2013	30.54	Solar	IN	MMWh	ELEC.GEN.SUN-IN-99.A
2012		Solar	IN	MMWh	ELEC.GEN.SUN-IN-99.A
2016		Solar	KS	MMWh	ELEC.GEN.SUN-KS-99.A
2015	1.806	Solar	KS	MMWh	ELEC.GEN.SUN-KS-99.A
2016	11.732	Solar	KY	MMWh	ELEC.GEN.SUN-KY-99.A
2016	263.85745000000003	Solar	MD	MMWh	ELEC.GEN.SUN-MD-99.A
2015	118.80112000000001	Solar	MD	MMWh	ELEC.GEN.SUN-MD-99.A
2014	98.11772	Solar	MD	MMWh	ELEC.GEN.SUN-MD-99.A
