year	volume	product	region	series_id	units
2012	15864	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2011	37257	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2010	132691	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2009	184812	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2008	229246	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2007	420436	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2006	425997	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2014	77334723	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2013	80379779	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2012	90861804	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2011	108766150	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2010	104960118	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2009	107338054	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2008	120322708	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2007	115280302	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2006	120847953	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2014	2604888	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2013	2809771	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2012	3971129	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2011	3864700	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2010	3944542	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2009	3657416	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2008	3843243	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2007	3126586	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2006	4114016	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2014	1977928	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2013	1925291	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2012	2283341	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2011	2936758	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2010	2585156	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2009	2305459	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2008	2859965	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2007	2301185	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2006	5054022	Coal	MD	COAL.PRODUCTION.TOT-MD-TOT.A	short tons
2014	3737100	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
2013	3575069	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
2012	2952818	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
2011	2746744	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
2010	4003505	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
2009	3439987	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
2008	2841512	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
2007	3545266	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
2006	3797455	Coal	MS	COAL.PRODUCTION.TOT-MS-TOT.A	short tons
