year	volume	product	region	units	series_id
2016	265829.33149	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2015	249080.08484	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2014	259366.62185999998	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2013	268565.38272999995	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2012	276240.21930000006	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2011	319354.90345000004	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2010	260203.06938	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2009	273445.09417000005	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2008	254831.38510999997	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2007	247509.97431	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2006	289246.41565000004	Conventional Hydroelectric	US	MMWh	ELEC.GEN.HYC-US-99.A
2016	7720.69481	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2015	9861.80423	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2014	9466.872	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2013	12899.178	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2012	7435.223	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2011	8883.598	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2010	8704.254	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2009	12535.373	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2008	6136.148	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2007	4136.1140000000005	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2006	7251.786	Conventional Hydroelectric	AL	MMWh	ELEC.GEN.HYC-AL-99.A
2016	1549.43833	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2015	1568.929	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2014	1538.738	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2013	1435.4794299999999	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2012	1575.045	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2011	1344.7457500000003	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2010	1433.1413899999998	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2009	1323.7444099999998	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2008	1171.801	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2007	1291.223	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2006	1223.60701	Conventional Hydroelectric	AK	MMWh	ELEC.GEN.HYC-AK-99.A
2016	7157.61279	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2015	6535.722000000001	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2014	6118.261	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2013	5914.658	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2012	6716.933999999999	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2011	9174.092	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2010	6622.160000000001	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2009	6427.345	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2008	7285.902	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2007	6597.671	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2006	6792.9039999999995	Conventional Hydroelectric	AZ	MMWh	ELEC.GEN.HYC-AZ-99.A
2016	3417.92548	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2015	3569.19497	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2014	2639.776	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2013	2654.7404399999996	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2012	2198.472	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2011	2957.8450000000003	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2010	3658.962	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2009	4192.706	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2008	4660.297	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2007	3236.753	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2006	1550.558	Conventional Hydroelectric	AR	MMWh	ELEC.GEN.HYC-AR-99.A
2016	28944.51475	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2015	13808.498099999999	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2014	16531.34016	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2013	23754.59948	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2012	26837.37041	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2011	42557.46688	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2010	33430.87002	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2009	27888.03633	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
2008	24127.809619999996	Conventional Hydroelectric	CA	MMWh	ELEC.GEN.HYC-CA-99.A
