Year	State	Commodity	Type	Revenue
2004	ND	Other Products	Royalties	298.7
2004	ND	Coal	Bonus	10856
2004	ND	Coal	Rents	17571
2004	ND	Coal	Royalties	475544.13
2004	NE	Oil & Gas	Rents	14794
2004	NE	Oil & Gas	Other Revenues	15234.24
2004	NE	Oil	Royalties	147230.67
2004	NM	Oil & Gas	Rents	3214612.9499999997
2004	NM	Gas	Royalties	514157856.52000004
2004	NM	Oil & Gas	Bonus	45099624
2004	NM	Oil & Gas	Other Revenues	549506.9500000001
2004	NM	Oil & Gas	Other Royalties	7603640.02
2004	NM	NGL	Royalties	76809845.6
2004	NM	Oil	Royalties	108949240.03000002
2004	NM	Potassium	Other Revenues	153809
2004	NM	Gas	Other Royalties	2829.68
2004	NM	Potassium	Rents	33543
2004	NM	Other Products	Royalties	4702462.98
2004	NM	Geothermal	Other Royalties	56000
2004	NM	Coal	Rents	89361
2004	NM	Oil	Other Royalties	32.19
2004	NM	Coal	Bonus	2600000
2004	NV	Geothermal	Bonus	60895.94
2004	NV	Geothermal	Other Revenues	6165.86
2004	NV	Geothermal	Rents	557839
2004	NV	Geothermal	Royalties	478339
2004	NV	Oil & Gas	Rents	2461472.05
2004	NV	Sand & Gravel	Rents	-320
2004	NV	Oil & Gas	Bonus	453287
2004	NV	Potassium	Rents	1160
2004	NV	Oil	Royalties	1665410.9100000001
2004	NV	Oil & Gas	Other Revenues	3312.4
2004	NV	Oil & Gas	Other Royalties	-36.87
2004	NY	Gas	Royalties	8639.839999999998
2004	OH	Oil & Gas	Rents	27314.5
2004	OH	Gas	Royalties	419791.4
2004	OH	Oil	Royalties	95931.21
2004	OH	Oil & Gas	Bonus	29145
2004	OH	Oil & Gas	Other Revenues	3190.52
2004	OH	Oil & Gas	Other Royalties	800
2004	OK	Oil & Gas	Other Revenues	6217.750000000001
2004	OK	Oil & Gas	Other Royalties	147520.97999999998
2004	OK	Oil & Gas	Rents	277111.76
2004	OK	Gas	Royalties	9100585.95
2004	OK	Oil	Royalties	541875.2300000001
2004	OK	Oil & Gas	Bonus	1029472
2004	OK	NGL	Royalties	102685.64000000001
2004	OK	Coal	Rents	47871
2004	OK	Coal	Royalties	691430.97
2004	OK	Coal	Other Revenues	-40797.91
2004	OR	Oil & Gas	Rents	71549
2004	PA	Oil & Gas	Other Revenues	19675.490000000005
2004	PA	Gas	Royalties	38905.79
2004	PA	Oil	Royalties	739.19
2004	SC	Hardrock	Rents	408
2004	SD	Oil & Gas	Bonus	13766
2004	SD	Oil & Gas	Rents	122934.5
2004	SD	Oil	Royalties	659639.7000000001
2004	SD	Oil & Gas	Other Revenues	40
2004	SD	Gas	Royalties	122127.44
2004	TX	Oil & Gas	Other Revenues	11133.69
2004	TX	Oil & Gas	Rents	548477
2004	TX	Oil & Gas	Bonus	72086
2004	TX	Oil	Royalties	1925374.6199999999
2004	TX	Gas	Royalties	15369447.13
2004	TX	Oil & Gas	Other Royalties	-217136.83000000002
2004	TX	NGL	Royalties	142021.93
2004	UT	Geothermal	Bonus	9407.24
2004	UT	Geothermal	Rents	-84420.51
2004	UT	Geothermal	Royalties	212597.65
2004	UT	Hardrock	Other Revenues	2160
2004	UT	Hardrock	Rents	408
2004	UT	Coal	Bonus	3719719.41
2004	UT	Oil & Gas	Bonus	2121277.75
2004	UT	Oil & Gas	Other Revenues	675610.36
2004	UT	Oil & Gas	Other Royalties	1785755.1400000001
2004	UT	Coal	Rents	255569.99
2004	UT	Oil & Gas	Rents	3831169.85
2004	UT	Coal	Royalties	25985364.849999998
2004	UT	Gas	Royalties	79723829.46
2004	UT	Oil	Royalties	16335400.72
2004	UT	Phosphate	Other Revenues	32999
2004	UT	Tar Sands	Rents	12190
2004	UT	NGL	Royalties	1261699.53
2004	UT	Potassium	Other Revenues	1475.34
2004	UT	Clay	Other Revenues	545.3
