Year	State	Commodity	Product	Volume
2004	AK	Gas (mcf)	Processed (Residue) Gas (mcf)	359139.39
2004	AK	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	36816022.75
2004	AK	NGL (gal)	Gas Plant Products (gal)	3256192.4
2004	AK	Oil (bbl)	Oil (bbl)	212316.66999999998
2004	AL	Gas (mcf)	Processed (Residue) Gas (mcf)	187406.26
2004	AL	NGL (gal)	Gas Plant Products (gal)	5.92
2004	AL	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	2358.93
2004	AL	Other Products	Sulfur (lton)	223.87
2004	AL	Other Products	Clay (ton)	36709
2004	AL	Oil (bbl)	Oil (bbl)	258984.74999999997
2004	AL	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	745186.8
2004	AL	Coal (ton)	Coal (ton)	829
2004	AL	Gas (mcf)	Fuel Gas (mcf)	-0.01
2004	AL	Oil (bbl)	Condensate (bbl)	0.46
2004	AL	Gas (mcf)	Coal Bed Methane (mcf)	124495.76
2004	AR	Gas (mcf)	Processed (Residue) Gas (mcf)	8402.76
2004	AR	Oil (bbl)	Oil (bbl)	58.64
2004	AR	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	8043762.57
2004	AR	Other Products	Quartz Crystal (lb)	7956
2004	AR	Gas (mcf)	Coal Bed Methane (mcf)	2455.7
2004	AZ	Other Products	Salt (ton)	138
2004	CA	Gas (mcf)	Processed (Residue) Gas (mcf)	1681213.89
2004	CA	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	1801342.98
2004	CA	Oil (bbl)	Condensate (bbl)	103314.95000000001
2004	CA	NGL (gal)	Gas Plant Products (gal)	1154025.5299999998
2004	CA	Oil (bbl)	Oil (bbl)	13807660.86
2004	CA	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	1042669135.3
2004	CA	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	212770.98
2004	CA	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	33533.12
2004	CA	Oil (bbl)	Fuel Oil (bbl)	82.15
2004	CA	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	52942153.03
2004	CA	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	165884.74
2004	CA	Other Products	Anhydrous Sodium Sulfate (ton)	170391
2004	CA	Other Products	Borax-Decahydrate (ton)	11424
2004	CA	Other Products	Borax-Pentahydrate (ton)	10528
2004	CA	Other Products	Boric Acid (ton)	17904
2004	CA	Other Products	Salt (ton)	70234
2004	CA	Other Products	Soda Ash (ton)	793855
2004	CA	Other Products	Sodium Bi-Carbonate (ton)	13114
2004	CO	Oil (bbl)	Condensate (bbl)	347054.8
2004	CO	Oil (bbl)	Oil (bbl)	3772152.54
2004	CO	Gas (mcf)	Coal Bed Methane (mcf)	6450807.05
2004	CO	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	118241449.48
2004	CO	NGL (gal)	Gas Plant Products (gal)	43749022.449999996
2004	CO	Coal (ton)	Coal (ton)	22040582
2004	CO	Gas (mcf)	Processed (Residue) Gas (mcf)	27015682.900000002
2004	CO	Other Products	Carbon Dioxide Gas (CO2) (mcf)	263120733.23000002
2004	CO	Oil (bbl)	Drip or Scrubber Condensate (bbl)	40469.88
2004	CO	Other Products	Carbon Dioxide (ton)	121
2004	CO	Other Products	Soda Ash (ton)	188834
2004	CO	Other Products	Sodium Bi-Carbonate (ton)	135488
2004	FL	Oil (bbl)	Oil (bbl)	449.53
2004	ID	Other Products	Phosphate Raw Ore (ton)	4293007
2004	ID	Other Products	Gold (ton)	26
2004	IL	Oil (bbl)	Oil (bbl)	36874.15
2004	IN	Oil (bbl)	Oil (bbl)	1588.12
2004	KS	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	8310051.989999999
2004	KS	Oil (bbl)	Oil (bbl)	130104.44
2004	KS	Gas (mcf)	Fuel Gas (mcf)	6469.17
2004	KS	Gas (mcf)	Processed (Residue) Gas (mcf)	1578857.62
2004	KS	NGL (gal)	Gas Plant Products (gal)	3498856.0599999996
2004	KS	Oil (bbl)	Condensate (bbl)	167.52
2004	KY	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	264034.45999999996
2004	KY	Oil (bbl)	Oil (bbl)	11656.87
2004	LA	Gas (mcf)	Processed (Residue) Gas (mcf)	11754016.09
2004	LA	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	5871847.170000001
2004	LA	NGL (gal)	Gas Plant Products (gal)	5184490.109999999
2004	LA	Oil (bbl)	Oil (bbl)	374018.89
2004	LA	Oil (bbl)	Condensate (bbl)	126086.07
2004	LA	Oil (bbl)	Drip or Scrubber Condensate (bbl)	331.77
2004	MI	Gas (mcf)	Processed (Residue) Gas (mcf)	1747500.13
2004	MI	Oil (bbl)	Oil (bbl)	23917.35
2004	MI	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	2385900.0999999996
2004	MI	Oil (bbl)	Condensate (bbl)	69.26
2004	MI	NGL (gal)	Gas Plant Products (gal)	739451.02
2004	MO	Other Products	Copper Concentrate (ton)	15754
2004	MO	Other Products	Lead Concentrate (ton)	244868
2004	MO	Other Products	Zinc Concentrate (ton)	61655.99999999999
2004	MS	Oil (bbl)	Oil (bbl)	260414.1
2004	MS	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	746632.6000000001
2004	MS	Oil (bbl)	Condensate (bbl)	214825.24
2004	MS	NGL (gal)	Gas Plant Products (gal)	162.3
2004	MS	Gas (mcf)	Processed (Residue) Gas (mcf)	135919
2004	MT	Coal (ton)	Coal (ton)	26080150
2004	MT	Gas (mcf)	Coal Bed Methane (mcf)	2522194
2004	MT	Gas (mcf)	Fuel Gas (mcf)	1513.12
2004	MT	Gas (mcf)	Processed (Residue) Gas (mcf)	286360.35000000003
2004	MT	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	22688150.27
2004	MT	NGL (gal)	Gas Plant Products (gal)	3789079.0700000003
2004	MT	Oil (bbl)	Oil (bbl)	3729334.79
2004	MT	Oil (bbl)	Condensate (bbl)	34540.01
2004	MT	Other Products	Sulfur (lton)	1866.43
2004	MT	Oil (bbl)	Drip or Scrubber Condensate (bbl)	599.8299999999999
2004	ND	Gas (mcf)	Processed (Residue) Gas (mcf)	1974047.9300000002
2004	ND	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	5938274.55
2004	ND	NGL (gal)	Gas Plant Products (gal)	5683235.9
2004	ND	Oil (bbl)	Condensate (bbl)	31323.05
2004	ND	Oil (bbl)	Drip or Scrubber Condensate (bbl)	11640.539999999999
2004	ND	Oil (bbl)	Oil (bbl)	5715830.770000001
2004	ND	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	6332.45
2004	ND	Gas (mcf)	Nitrogen (mcf)	78634.3
2004	ND	Other Products	Sulfur (lton)	828.36
2004	ND	Coal (ton)	Coal (ton)	1940759
2004	NE	Oil (bbl)	Oil (bbl)	38154.4
2004	NM	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	334296250.99
2004	NM	Gas (mcf)	Coal Bed Methane (mcf)	278770627.61
2004	NM	Gas (mcf)	Processed (Residue) Gas (mcf)	327058746.43
2004	NM	NGL (gal)	Gas Plant Products (gal)	1260811090.1999998
2004	NM	Oil (bbl)	Condensate (bbl)	3854434.900000001
2004	NM	Oil (bbl)	Oil (bbl)	24976788.450000003
2004	NM	Gas (mcf)	Flash Gas (mcf)	9150.02
2004	NM	Oil (bbl)	Drip or Scrubber Condensate (bbl)	30473.67
2004	NM	Other Products	Brine Barrels (bbl)	57816
2004	NM	Other Products	Langbeinite (ton)	854891
2004	NM	Other Products	Muriate Of Potash-Granular (ton)	465127
2004	NM	Other Products	Muriate Of Potash-Standard (ton)	198675
2004	NM	Other Products	Potash (ton)	425643
2004	NM	Other Products	Salt (ton)	284088
2004	NM	Other Products	Carbon Dioxide Gas (CO2) (mcf)	9036595.59
2004	NM	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	3
2004	NM	Coal (ton)	Coal (ton)	7269699
2004	NV	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	104184341
2004	NV	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	674485048.4599999
2004	NV	Other Products	Sand/Gravel (ton)	524208
2004	NV	Other Products	Potash (ton)	1072
2004	NV	Oil (bbl)	Oil (bbl)	459934.18
2004	NY	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	18738.569999999996
2004	OH	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	657768.59
2004	OH	Oil (bbl)	Oil (bbl)	29484.28
2004	OH	Gas (mcf)	Processed (Residue) Gas (mcf)	13880
2004	OK	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	15024554.35
2004	OK	Oil (bbl)	Condensate (bbl)	52793.439999999995
2004	OK	Oil (bbl)	Oil (bbl)	121022.91
2004	OK	Gas (mcf)	Processed (Residue) Gas (mcf)	789806.43
2004	OK	NGL (gal)	Gas Plant Products (gal)	1617146.81
2004	OK	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	177.95
2004	OK	Coal (ton)	Coal (ton)	767819
2004	OK	Gas (mcf)	Coal Bed Methane (mcf)	65104.87
2004	OK	Oil (bbl)	Inlet Scrubber (bbl)	2.62
2004	PA	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	68589.32
2004	PA	Gas (mcf)	Processed (Residue) Gas (mcf)	6081.91
2004	PA	Oil (bbl)	Oil (bbl)	392.62
2004	SD	Oil (bbl)	Oil (bbl)	158471.37
2004	SD	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	239981.92
2004	TX	Oil (bbl)	Oil (bbl)	389911.97
2004	TX	Gas (mcf)	Processed (Residue) Gas (mcf)	423073.51
2004	TX	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	23374627.07
2004	TX	Oil (bbl)	Condensate (bbl)	38920.219999999994
2004	TX	NGL (gal)	Gas Plant Products (gal)	2040024.33
2004	TX	Oil (bbl)	Drip or Scrubber Condensate (bbl)	760
2004	TX	Gas (mcf)	Fuel Gas (mcf)	2680.4
2004	TX	Oil (bbl)	Inlet Scrubber (bbl)	-373
2004	UT	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2523949051.63
2004	UT	Coal (ton)	Coal (ton)	20482634
2004	UT	Gas (mcf)	Coal Bed Methane (mcf)	12292659.59
2004	UT	Gas (mcf)	Fuel Gas (mcf)	7045.12
2004	UT	Gas (mcf)	Processed (Residue) Gas (mcf)	8544955.07
2004	UT	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	120989289.32
2004	UT	Oil (bbl)	Oil (bbl)	4407782.12
2004	UT	Oil (bbl)	Condensate (bbl)	567627.37
2004	UT	NGL (gal)	Gas Plant Products (gal)	47350183.04
2004	UT	Other Products	Clay (ton)	18407
2004	UT	Oil (bbl)	Drip or Scrubber Condensate (bbl)	972.65
2004	UT	Other Products	Magnesium Chloride Brine (ton)	58204
2004	UT	Other Products	Manure Salts (ton)	6043
2004	UT	Other Products	Potash (ton)	19335
2004	UT	Other Products	Salt (ton)	9137
2004	UT	Other Products	Gilsonite (ton)	18458
2004	VA	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	513808.48000000004
2004	VA	Other Products	Limestone (ton)	126597
2004	WA	Coal (ton)	Coal (ton)	10683
2004	WV	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	1466494.81
2004	WV	Gas (mcf)	Processed (Residue) Gas (mcf)	3500
2004	WV	Oil (bbl)	Oil (bbl)	27.19
2004	WY	Gas (mcf)	Fuel Gas (mcf)	56998.5
2004	WY	Oil (bbl)	Oil (bbl)	26544206.390000004
2004	WY	Gas (mcf)	Processed (Residue) Gas (mcf)	275153284.37000006
2004	WY	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	623720469.82
2004	WY	NGL (gal)	Gas Plant Products (gal)	327498741.40000004
2004	WY	Oil (bbl)	Condensate (bbl)	5611000.79
2004	WY	Coal (ton)	Coal (ton)	374947098
2004	WY	Gas (mcf)	Coal Bed Methane (mcf)	91655735.51
2004	WY	Oil (bbl)	Drip or Scrubber Condensate (bbl)	151124.41
2004	WY	Other Products	Sulfur (lton)	3221973.7499999995
2004	WY	Oil (bbl)	Inlet Scrubber (bbl)	17.24
2004	WY	Other Products	Carbon Dioxide Gas (CO2) (mcf)	58441594.31
2004	WY	Other Products	Purge Liquor (ton)	41385
2004	WY	Other Products	Soda Ash (ton)	1999311
2004	WY	Other Products	Sodium Bi-Carbonate (ton)	22315
2004	WY	Other Products	Sodium Sesquicarbonate (ton)	43432
2004	WY	Other Products	Trona Ore (ton)	5480
2005	AK	Gas (mcf)	Processed (Residue) Gas (mcf)	70338.24
2005	AK	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	31389635.16
2005	AK	NGL (gal)	Gas Plant Products (gal)	2348392
2005	AK	Oil (bbl)	Oil (bbl)	223886.33000000002
2005	AL	Gas (mcf)	Processed (Residue) Gas (mcf)	204841.49
2005	AL	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	1189.59
2005	AL	Other Products	Sulfur (lton)	351.15
2005	AL	Other Products	Clay (ton)	45640
2005	AL	Oil (bbl)	Oil (bbl)	195111.99000000002
2005	AL	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	578211.48
2005	AL	NGL (gal)	Gas Plant Products (gal)	39.98
2005	AL	Oil (bbl)	Condensate (bbl)	0.68
2005	AL	Gas (mcf)	Coal Bed Methane (mcf)	105563.43
2005	AL	Gas (mcf)	Fuel Gas (mcf)	24.68
2005	AR	Gas (mcf)	Processed (Residue) Gas (mcf)	5933.36
2005	AR	Oil (bbl)	Oil (bbl)	34.45
2005	AR	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	9229854.48
2005	AR	Other Products	Quartz Crystal (lb)	10236
2005	AR	Gas (mcf)	Coal Bed Methane (mcf)	2073.6
2005	AZ	Other Products	Salt (ton)	44
2005	CA	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	2719908.95
2005	CA	Oil (bbl)	Condensate (bbl)	117863.51
2005	CA	Gas (mcf)	Processed (Residue) Gas (mcf)	1446051.1600000001
2005	CA	NGL (gal)	Gas Plant Products (gal)	1472461.31
2005	CA	Oil (bbl)	Oil (bbl)	14442407.629999997
2005	CA	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	988196801.68
2005	CA	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	204030.26
2005	CA	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	45948.020000000004
2005	CA	Oil (bbl)	Fuel Oil (bbl)	32
2005	CA	Oil (bbl)	Inlet Scrubber (bbl)	155.26
2005	CA	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	53196738.69
2005	CA	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	260242.35
2005	CA	Other Products	Anhydrous Sodium Sulfate (ton)	165121
2005	CA	Other Products	Borax-Anhydrous (ton)	905
2005	CA	Other Products	Borax-Decahydrate (ton)	8170
2005	CA	Other Products	Borax-Pentahydrate (ton)	10324
2005	CA	Other Products	Boric Acid (ton)	15829
2005	CA	Other Products	Salt (ton)	85884
2005	CA	Other Products	Soda Ash (ton)	865308
2005	CA	Other Products	Sodium Bi-Carbonate (ton)	14730
2005	CO	Oil (bbl)	Condensate (bbl)	397931.39999999997
2005	CO	Oil (bbl)	Oil (bbl)	4891288.579999999
2005	CO	Gas (mcf)	Coal Bed Methane (mcf)	6545440.28
