Calendar Year	Product	State/Offshore Region	FIPS Code	CPS/Planning Area	Production Volume	Onshore/Offshore	Category	
2009	Oil (bbl)	CO	08081	Moffat County	231,447	Onshore	Federal	
2009	Oil (bbl)	CO	08083	Montezuma County	133,279	Onshore	Federal	
2009	Oil (bbl)	CO	08087	Morgan County	1,260	Onshore	Federal	
2009	Oil (bbl)	CO	08103	Rio Blanco County	63,012	Onshore	Mixed Exploratory	
2009	Oil (bbl)	CO	08103	Rio Blanco County	2,633,322	Onshore	Federal	
2009	Oil (bbl)	CO	08107	Routt County	14,618	Onshore	Federal	
2009	Oil (bbl)	CO	08113	San Miguel County	32	Onshore	Mixed Exploratory	
2009	Oil (bbl)	CO	08113	San Miguel County	3,215	Onshore	Federal	
2009	Oil (bbl)	CO	08121	Washington County	8,333	Onshore	Federal	
2009	Oil (bbl)	CO	08123	Weld County	149,550	Onshore	Federal	
2009	Sodium Bi-Carbonate (tons)	CO	08103	Rio Blanco County	W	Onshore	Federal	
2009	Gold (oz)	ID	16035	Clearwater County	W	Onshore	Federal	
2009	Phosphate Raw Ore (tons)	ID	16029	Caribou County	3,423,741	Onshore	Federal	
2009	Gas (mcf)	IL	17055	Franklin County	12,213	Onshore	Federal	
2009	Oil (bbl)	IL	17027	Clinton County	21,132	Onshore	Federal	
2009	Oil (bbl)	IL	17055	Franklin County	13,110	Onshore	Federal	
2009	Gas (mcf)	KS	20033	Comanche County	6,570	Onshore	Federal	
2009	Gas (mcf)	KS	20053	Ellsworth County	17,289	Onshore	Federal	
2009	Gas (mcf)	KS	20055	Finney County	1,102,689	Onshore	Federal	
2009	Gas (mcf)	KS	20067	Grant County	119,331	Onshore	Federal	
2009	Gas (mcf)	KS	20075	Hamilton County	54,262	Onshore	Federal	
2009	Gas (mcf)	KS	20081	Haskell County	352,431	Onshore	Federal	
2009	Gas (mcf)	KS	20093	Kearny County	1,974,589	Onshore	Federal	
2009	Gas (mcf)	KS	20119	Meade County	8,246	Onshore	Federal	
2009	Gas (mcf)	KS	20129	Morton County	3,238,481	Onshore	Federal	
2009	Gas (mcf)	KS	20175	Seward County	158,987	Onshore	Federal	
2009	Gas (mcf)	KS	20187	Stanton County	35,047	Onshore	Federal	
2009	Gas (mcf)	KS	20189	Stevens County	301,998	Onshore	Federal	
2009	Oil (bbl)	KS	20033	Comanche County	1	Onshore	Federal	
2009	Oil (bbl)	KS	20055	Finney County	20,645	Onshore	Federal	
2009	Oil (bbl)	KS	20063	Gove County	1,508	Onshore	Federal	
2009	Oil (bbl)	KS	20081	Haskell County	21,681	Onshore	Federal	
2009	Oil (bbl)	KS	20093	Kearny County	19,511	Onshore	Federal	
2009	Oil (bbl)	KS	20101	Lane County	4,562	Onshore	Federal	
2009	Oil (bbl)	KS	20119	Meade County	3	Onshore	Federal	
2009	Oil (bbl)	KS	20129	Morton County	160,170	Onshore	Federal	
2009	Oil (bbl)	KS	20175	Seward County	249	Onshore	Federal	
2009	Oil (bbl)	KS	20195	Trego County	1,929	Onshore	Federal	
2009	Coal (tons)	KY	21131	Leslie County	W	Onshore	Federal	
2009	Gas (mcf)	KY	21051	Clay County	47,600	Onshore	Federal	
2009	Gas (mcf)	KY	21071	Floyd County	11,284	Onshore	Federal	
2009	Gas (mcf)	KY	21127	Lawrence County	170	Onshore	Federal	
2009	Gas (mcf)	KY	21131	Leslie County	67,323	Onshore	Federal	
2009	Gas (mcf)	KY	21133	Letcher County	263	Onshore	Federal	
2009	Gas (mcf)	KY	21147	McCreary County	843	Onshore	Federal	
2009	Gas (mcf)	KY	21195	Pike County	44,334	Onshore	Federal	
2009	Gas (mcf)	KY	21235	Whitley County	18,067	Onshore	Federal	
2009	Oil (bbl)	KY	21051	Clay County	1,069	Onshore	Federal	
2009	Oil (bbl)	KY	21101	Henderson County	10,615	Onshore	Federal	
2009	Oil (bbl)	KY	21131	Leslie County	1,473	Onshore	Federal	
2009	Gas (mcf)	LA	22011	Beauregard Parish	9	Onshore	Federal	
2009	Gas (mcf)	LA	22013	Bienville Parish	68,036	Onshore	Federal	
2009	Gas (mcf)	LA	22015	Bossier Parish	18,909,474	Onshore	Federal	
2009	Gas (mcf)	LA	22017	Caddo Parish	75,590	Onshore	Federal	
2009	Gas (mcf)	LA	22021	Caldwell Parish	17,925	Onshore	Federal	
2009	Gas (mcf)	LA	22027	Claiborne Parish	179,843	Onshore	Federal	
2009	Gas (mcf)	LA	22031	De Soto Parish	274,438	Onshore	Federal	
2009	Gas (mcf)	LA	22033	East Baton Rouge Parish	9,822	Onshore	Federal	
2009	Gas (mcf)	LA	22059	La Salle Parish	398	Onshore	Federal	
2009	Gas (mcf)	LA	22061	Lincoln Parish	3,642	Onshore	Federal	
2009	Gas (mcf)	LA	22067	Morehouse Parish	1,354	Onshore	Federal	
2009	Gas (mcf)	LA	22069	Natchitoches Parish	2,696	Onshore	Federal	
2009	Gas (mcf)	LA	22073	Ouachita Parish	522	Onshore	Federal	
2009	Gas (mcf)	LA	22075	Plaquemines Parish	758,121	Onshore	Federal	
2009	Gas (mcf)	LA	22079	Rapides Parish	8,615	Onshore	Federal	
2009	Gas (mcf)	LA	22081	Red River Parish	11,436	Onshore	Federal	
2009	Gas (mcf)	LA	22721	South Pass	15,521	Onshore	Federal	
2009	Gas (mcf)	LA	22099	St. Martin Parish	2,041	Onshore	Federal	
2009	Gas (mcf)	LA	22111	Union Parish	3,875	Onshore	Federal	
2009	Gas (mcf)	LA	22113	Vermilion Parish	329	Onshore	Federal	
2009	Gas (mcf)	LA	22115	Vernon Parish	22,918	Onshore	Federal	
2009	Gas (mcf)	LA	22119	Webster Parish	36,849	Onshore	Federal	
2009	Gas (mcf)	LA	22719	West Delta	19,197	Onshore	Federal	
2009	Gas (mcf)	LA	22127	Winn Parish	109,666	Onshore	Federal	
2009	Oil (bbl)	LA	22011	Beauregard Parish	33	Onshore	Federal	
2009	Oil (bbl)	LA	22013	Bienville Parish	99	Onshore	Federal	
2009	Oil (bbl)	LA	22015	Bossier Parish	100,245	Onshore	Federal	
2009	Oil (bbl)	LA	22017	Caddo Parish	8,266	Onshore	Federal	
2009	Oil (bbl)	LA	22027	Claiborne Parish	16,585	Onshore	Federal	
2009	Oil (bbl)	LA	22031	De Soto Parish	360	Onshore	Federal	
2009	Oil (bbl)	LA	22033	East Baton Rouge Parish	950	Onshore	Federal	
2009	Oil (bbl)	LA	22059	La Salle Parish	117	Onshore	Federal	
2009	Oil (bbl)	LA	22057	Lafourche Parish	335	Onshore	Federal	
2009	Oil (bbl)	LA	22061	Lincoln Parish	14	Onshore	Federal	
2009	Oil (bbl)	LA	22069	Natchitoches Parish	139	Onshore	Federal	
2009	Oil (bbl)	LA	22075	Plaquemines Parish	159,916	Onshore	Federal	
2009	Oil (bbl)	LA	22079	Rapides Parish	13,743	Onshore	Federal	
2009	Oil (bbl)	LA	22721	South Pass	20,557	Onshore	Federal	
2009	Oil (bbl)	LA	22099	St. Martin Parish	1,454	Onshore	Federal	
2009	Oil (bbl)	LA	22113	Vermilion Parish	4,219	Onshore	Federal	
2009	Oil (bbl)	LA	22115	Vernon Parish	10,920	Onshore	Federal	
2009	Oil (bbl)	LA	22119	Webster Parish	5,201	Onshore	Federal	
2009	Oil (bbl)	LA	22719	West Delta	421	Onshore	Federal	
2009	Oil (bbl)	LA	22127	Winn Parish	3,005	Onshore	Federal	
2009	Salt (tons)	LA		Central Gulf of Mexico	W	Onshore/Offshore	Federal	
2009	Gas (mcf)	MI	26001	Alcona County	4,354	Onshore	Federal	
2009	Gas (mcf)	MI	26009	Antrim County	315	Onshore	Federal	
2009	Gas (mcf)	MI	26025	Calhoun County	14,973	Onshore	Federal	
2009	Gas (mcf)	MI	26035	Clare County	57,343	Onshore	Federal	
2009	Gas (mcf)	MI	26039	Crawford County	104,896	Onshore	Federal	
2009	Gas (mcf)	MI	26055	Grand Traverse County	6,890	Onshore	Federal	
2009	Gas (mcf)	MI	26079	Kalkaska County	54,153	Onshore	Federal	
2009	Gas (mcf)	MI	26085	Lake County	9,654	Onshore	Federal	
2009	Gas (mcf)	MI	26119	Montmorency County	705,720	Onshore	Federal	
2009	Gas (mcf)	MI	26135	Oscoda County	1,572,709	Onshore	Federal	
2009	Gas (mcf)	MI	26137	Otsego County	11,669	Onshore	Federal	
2009	Gas (mcf)	MI	26143	Roscommon County	24,192	Onshore	Federal	
2009	Oil (bbl)	MI	26005	Allegan County	151	Onshore	Federal	
2009	Oil (bbl)	MI	26025	Calhoun County	3,422	Onshore	Federal	
2009	Oil (bbl)	MI	26035	Clare County	1,554	Onshore	Federal	
2009	Oil (bbl)	MI	26055	Grand Traverse County	10	Onshore	Federal	
2009	Oil (bbl)	MI	26079	Kalkaska County	2,375	Onshore	Federal	
2009	Oil (bbl)	MI	26085	Lake County	56	Onshore	Federal	
2009	Oil (bbl)	MI	26135	Oscoda County	15,801	Onshore	Federal	
2009	Oil (bbl)	MI	26143	Roscommon County	4,624	Onshore	Federal	
2009	Copper Concentrate (tons)	MO	29055	Crawford County	W	Onshore	Federal	
2009	Copper Concentrate (tons)	MO	29065	Dent County	773	Onshore	Federal	
2009	Copper Concentrate (tons)	MO	29093	Iron County	5,325	Onshore	Federal	
2009	Copper Concentrate (tons)	MO	29179	Reynolds County	2,629	Onshore	Federal	
2009	Copper Concentrate (tons)	MO	29203	Shannon County	W	Onshore	Federal	
2009	Copper Concentrate (tons)	MO	29221	Washington County	W	Onshore	Federal	
2009	Lead Concentrate (tons)	MO	29055	Crawford County	W	Onshore	Federal	
2009	Lead Concentrate (tons)	MO	29065	Dent County	19,703	Onshore	Federal	
2009	Lead Concentrate (tons)	MO	29093	Iron County	37,796	Onshore	Federal	
2009	Lead Concentrate (tons)	MO	29179	Reynolds County	136,652	Onshore	Federal	
2009	Lead Concentrate (tons)	MO	29203	Shannon County	W	Onshore	Federal	
2009	Lead Concentrate (tons)	MO	29221	Washington County	W	Onshore	Federal	
2009	Zinc Concentrate (tons)	MO	29055	Crawford County	W	Onshore	Federal	
2009	Zinc Concentrate (tons)	MO	29065	Dent County	5,414	Onshore	Federal	
2009	Zinc Concentrate (tons)	MO	29093	Iron County	7,859	Onshore	Federal	
2009	Zinc Concentrate (tons)	MO	29179	Reynolds County	37,003	Onshore	Federal	
2009	Zinc Concentrate (tons)	MO	29203	Shannon County	W	Onshore	Federal	
2009	Zinc Concentrate (tons)	MO	29221	Washington County	W	Onshore	Federal	
