Year	Region	Commodity	Volume	Product
2004	NJ		38	Conventional Hydroelectric (Kwh)
2005	NJ		31	Conventional Hydroelectric (Kwh)
2006	NJ		35	Conventional Hydroelectric (Kwh)
2007	NJ		21	Conventional Hydroelectric (Kwh)
2008	NJ		26	Conventional Hydroelectric (Kwh)
2009	NJ		32	Conventional Hydroelectric (Kwh)
2010	NJ		18	Conventional Hydroelectric (Kwh)
2011	NJ		24	Conventional Hydroelectric (Kwh)
2012	NJ		11	Conventional Hydroelectric (Kwh)
2013	NJ		18	Conventional Hydroelectric (Kwh)
2004	NJ		806	All Other Renewables (Kwh)
2005	NJ		875	All Other Renewables (Kwh)
2006	NJ		917	All Other Renewables (Kwh)
2007	NJ		844	All Other Renewables (Kwh)
2008	NJ		905	All Other Renewables (Kwh)
2009	NJ		960	All Other Renewables (Kwh)
2010	NJ		850	All Other Renewables (Kwh)
2011	NJ		956	All Other Renewables (Kwh)
2012	NJ		1281	All Other Renewables (Kwh)
2013	NJ		1447	All Other Renewables (Kwh)
2006	NJ		16	Wind (Kwh)
2007	NJ		20	Wind (Kwh)
2008	NJ		21	Wind (Kwh)
2009	NJ		21	Wind (Kwh)
2010	NJ		13	Wind (Kwh)
2011	NJ		11	Wind (Kwh)
2012	NJ		12	Wind (Kwh)
2013	NJ		11	Wind (Kwh)
2008	NJ		3	Solar (Kwh)
2009	NJ		11	Solar (Kwh)
2010	NJ		21	Solar (Kwh)
2011	NJ		69	Solar (Kwh)
2012	NJ		304	Solar (Kwh)
2013	NJ		437	Solar (Kwh)
2004	NJ		806	Biomass (total) (Kwh)
2005	NJ		875	Biomass (total) (Kwh)
2006	NJ		901	Biomass (total) (Kwh)
2007	NJ		823	Biomass (total) (Kwh)
2008	NJ		882	Biomass (total) (Kwh)
2009	NJ		928	Biomass (total) (Kwh)
2010	NJ		816	Biomass (total) (Kwh)
2011	NJ		876	Biomass (total) (Kwh)
2012	NJ		965	Biomass (total) (Kwh)
2013	NJ		999	Biomass (total) (Kwh)
2004	NJ		806	Other biomass (Kwh)
2005	NJ		875	Other biomass (Kwh)
2006	NJ		901	Other biomass (Kwh)
2007	NJ		823	Other biomass (Kwh)
2008	NJ		882	Other biomass (Kwh)
2009	NJ		928	Other biomass (Kwh)
2010	NJ		816	Other biomass (Kwh)
2011	NJ		876	Other biomass (Kwh)
2012	NJ		965	Other biomass (Kwh)
2013	NJ		999	Other biomass (Kwh)
2004	NJ		2456	All Renewables (Kwh)
2005	NJ		2656	All Renewables (Kwh)
2006	NJ		2770	All Renewables (Kwh)
2007	NJ		2531	All Renewables (Kwh)
2008	NJ		2719	All Renewables (Kwh)
2009	NJ		2880	All Renewables (Kwh)
2010	NJ		2534	All Renewables (Kwh)
2011	NJ		2812	All Renewables (Kwh)
2012	NJ		3538	All Renewables (Kwh)
2013	NJ		3911	All Renewables (Kwh)
