Company	Revenue Type	Commodity	Revenue
70 & 148 LLC	BLM - Permit Fees	Oil & Gas	1870
70 & 148 LLC	ONRR/BLM - Rents	Oil & Gas	310220
A & G COAL CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	119617.76
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	290
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	18631.6
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	55520.8
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	935018.79
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	3954.5
ADVENTURE EXPLORATION PARTNERS II LLC	BLM - Permit Fees	Oil & Gas	6755
ADVENTURE EXPLORATION PARTNERS II LLC	ONRR/BLM - Bonus	Oil & Gas	2556000
ADVENTURE EXPLORATION PARTNERS II LLC	ONRR/BLM - Rents	Oil & Gas	4598.5
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	169085
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	2004.69
AERA ENERGY LLC	ONRR - Royalties	Gas	49926.21
AERA ENERGY LLC	ONRR - Royalties	Oil	38137065.01
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	11358
AGC SODA CORP	ONRR - Royalties	Other Commodities	1849208.69
AGNICO-EAGLE USA LIMITED	BLM - Permit Fees	Locatable Minerals	180799
AGRI PROPERTIES LLP	BLM - Permit Fees	Oil & Gas	450
AGRI PROPERTIES LLP	ONRR/BLM - Bonus	Oil & Gas	1232000
AGRI PROPERTIES LLP	ONRR/BLM - Rents	Oil & Gas	156
ALAMO-PALACE MP 59 LLC	BLM - Permit Fees	Oil & Gas	39000
ALAMO-PALACE MP 59 LLC	ONRR - Other Revenues	Oil & Gas	6263.01
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	6045914.35
ALLIED VNC INC	BLM - Permit Fees	Locatable Minerals	201344
ALPHA NATURAL RESOURCES INC	BLM - Permit Fees	Mineral Materials	50749.38
ALPHA NATURAL RESOURCES INC	ONRR - Royalties	Coal	29672103.26
ALPHA NATURAL RESOURCES INC	ONRR/BLM - Bonus	Coal	42129612
ALPHA NATURAL RESOURCES INC	ONRR/BLM - Rents	Coal	38796
