Month,Calendar Year,Land Class,Land Category,Commodity, Volume ,
January,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,636,555 "," 1,636,555 "
February,2011,Federal,Offshore,Gas Prod Vol (mcf)," 158,410,349 "," 158,410,349 "
February,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,096,304 "," 41,096,304 "
February,2011,Federal,Onshore,Coal Prod Vol (ton)," 33,558,869 "," 33,558,869 "
February,2011,Federal,Onshore,Gas Prod Vol (mcf)," 287,398,131 "," 287,398,131 "
February,2011,Federal,Onshore,Oil Prod Vol (bbl)," 8,116,630 "," 8,116,630 "
February,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,494,323 "," 1,494,323 "
February,2011,Native American,Onshore,Gas Prod Vol (mcf)," 23,117,078 "," 23,117,078 "
February,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,507,999 "," 1,507,999 "
March,2011,Federal,Offshore,Gas Prod Vol (mcf)," 175,490,368 "," 175,490,368 "
March,2011,Federal,Offshore,Oil Prod Vol (bbl)," 44,883,969 "," 44,883,969 "
March,2011,Federal,Onshore,Coal Prod Vol (ton)," 40,399,121 "," 40,399,121 "
March,2011,Federal,Onshore,Gas Prod Vol (mcf)," 325,021,512 "," 325,021,512 "
March,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,492,131 "," 9,492,131 "
March,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,772,654 "," 1,772,654 "
March,2011,Native American,Onshore,Gas Prod Vol (mcf)," 26,360,266 "," 26,360,266 "
March,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,744,267 "," 1,744,267 "
April,2011,Federal,Offshore,Gas Prod Vol (mcf)," 167,501,234 "," 167,501,234 "
April,2011,Federal,Offshore,Oil Prod Vol (bbl)," 42,220,361 "," 42,220,361 "
April,2011,Federal,Onshore,Coal Prod Vol (ton)," 37,740,772 "," 37,740,772 "
April,2011,Federal,Onshore,Gas Prod Vol (mcf)," 318,093,887 "," 318,093,887 "
April,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,323,241 "," 9,323,241 "
April,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,684,420 "," 1,684,420 "
April,2011,Native American,Onshore,Gas Prod Vol (mcf)," 24,715,214 "," 24,715,214 "
April,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,766,420 "," 1,766,420 "
May,2011,Federal,Offshore,Gas Prod Vol (mcf)," 169,623,700 "," 169,623,700 "
May,2011,Federal,Offshore,Oil Prod Vol (bbl)," 44,363,216 "," 44,363,216 "
May,2011,Federal,Onshore,Coal Prod Vol (ton)," 36,119,047 "," 36,119,047 "
May,2011,Federal,Onshore,Gas Prod Vol (mcf)," 327,713,066 "," 327,713,066 "
May,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,686,087 "," 9,686,087 "
May,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,936,675 "," 1,936,675 "
May,2011,Native American,Onshore,Gas Prod Vol (mcf)," 25,621,373 "," 25,621,373 "
May,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,887,132 "," 1,887,132 "
June,2011,Federal,Offshore,Gas Prod Vol (mcf)," 156,091,489 "," 156,091,489 "
June,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,591,064 "," 41,591,064 "
June,2011,Federal,Onshore,Coal Prod Vol (ton)," 33,705,453 "," 33,705,453 "
June,2011,Federal,Onshore,Gas Prod Vol (mcf)," 314,964,911 "," 314,964,911 "
June,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,361,073 "," 9,361,073 "
June,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,973,047 "," 1,973,047 "
June,2011,Native American,Onshore,Gas Prod Vol (mcf)," 25,324,766 "," 25,324,766 "
June,2011,Native American,Onshore,Oil Prod Vol (bbl)," 1,935,098 "," 1,935,098 "
July,2011,Federal,Offshore,Gas Prod Vol (mcf)," 154,107,957 "," 154,107,957 "
July,2011,Federal,Offshore,Oil Prod Vol (bbl)," 39,506,905 "," 39,506,905 "
July,2011,Federal,Onshore,Coal Prod Vol (ton)," 32,683,729 "," 32,683,729 "
July,2011,Federal,Onshore,Gas Prod Vol (mcf)," 328,135,774 "," 328,135,774 "
July,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,757,490 "," 9,757,490 "
July,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,889,907 "," 1,889,907 "
July,2011,Native American,Onshore,Gas Prod Vol (mcf)," 26,285,484 "," 26,285,484 "
July,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,047,482 "," 2,047,482 "
August,2011,Federal,Offshore,Gas Prod Vol (mcf)," 156,609,359 "," 156,609,359 "
August,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,365,977 "," 41,365,977 "
August,2011,Federal,Onshore,Coal Prod Vol (ton)," 37,915,804 "," 37,915,804 "
August,2011,Federal,Onshore,Gas Prod Vol (mcf)," 310,493,499 "," 310,493,499 "
August,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,828,303 "," 9,828,303 "
August,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,454,592 "," 1,454,592 "
August,2011,Native American,Onshore,Gas Prod Vol (mcf)," 26,250,800 "," 26,250,800 "
August,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,174,301 "," 2,174,301 "
September,2011,Federal,Offshore,Gas Prod Vol (mcf)," 130,107,201 "," 130,107,201 "
September,2011,Federal,Offshore,Oil Prod Vol (bbl)," 34,587,957 "," 34,587,957 "
September,2011,Federal,Onshore,Coal Prod Vol (ton)," 37,324,003 "," 37,324,003 "
September,2011,Federal,Onshore,Gas Prod Vol (mcf)," 314,540,993 "," 314,540,993 "
September,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,552,142 "," 9,552,142 "
September,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,698,967 "," 1,698,967 "
September,2011,Native American,Onshore,Gas Prod Vol (mcf)," 25,054,472 "," 25,054,472 "
September,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,083,140 "," 2,083,140 "
October,2011,Federal,Offshore,Gas Prod Vol (mcf)," 148,435,373 "," 148,435,373 "
October,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,942,961 "," 41,942,961 "
October,2011,Federal,Onshore,Coal Prod Vol (ton)," 40,660,412 "," 40,660,412 "
October,2011,Federal,Onshore,Gas Prod Vol (mcf)," 332,620,079 "," 332,620,079 "
October,2011,Federal,Onshore,Oil Prod Vol (bbl)," 10,041,612 "," 10,041,612 "
October,2011,Native American,Onshore,Coal Prod Vol (ton)," 2,034,208 "," 2,034,208 "
October,2011,Native American,Onshore,Gas Prod Vol (mcf)," 26,150,284 "," 26,150,284 "
October,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,385,648 "," 2,385,648 "
November,2011,Federal,Offshore,Gas Prod Vol (mcf)," 144,154,179 "," 144,154,179 "
November,2011,Federal,Offshore,Oil Prod Vol (bbl)," 40,078,448 "," 40,078,448 "
November,2011,Federal,Onshore,Coal Prod Vol (ton)," 40,681,394 "," 40,681,394 "
November,2011,Federal,Onshore,Gas Prod Vol (mcf)," 323,660,120 "," 323,660,120 "
November,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,934,739 "," 9,934,739 "
November,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,886,110 "," 1,886,110 "
November,2011,Native American,Onshore,Gas Prod Vol (mcf)," 25,578,157 "," 25,578,157 "
November,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,477,766 "," 2,477,766 "
December,2011,Federal,Offshore,Gas Prod Vol (mcf)," 149,275,347 "," 149,275,347 "
December,2011,Federal,Offshore,Oil Prod Vol (bbl)," 40,799,822 "," 40,799,822 "
December,2011,Federal,Onshore,Coal Prod Vol (ton)," 41,213,622 "," 41,213,622 "
December,2011,Federal,Onshore,Gas Prod Vol (mcf)," 329,247,549 "," 329,247,549 "
December,2011,Federal,Onshore,Oil Prod Vol (bbl)," 10,175,638 "," 10,175,638 "
December,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,235,289 "," 1,235,289 "
December,2011,Native American,Onshore,Gas Prod Vol (mcf)," 25,913,876 "," 25,913,876 "
December,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,492,697 "," 2,492,697 "
January,2012,Federal,Offshore,Gas Prod Vol (mcf)," 146,861,324 "," 146,861,324 "
January,2012,Federal,Offshore,Oil Prod Vol (bbl)," 42,371,736 "," 42,371,736 "
January,2012,Federal,Onshore,Coal Prod Vol (ton)," 39,621,589 "," 39,621,589 "
January,2012,Federal,Onshore,Gas Prod Vol (mcf)," 332,466,354 "," 332,466,354 "
January,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,296,154 "," 10,296,154 "
January,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,981,835 "," 1,981,835 "
January,2012,Native American,Onshore,Gas Prod Vol (mcf)," 26,447,719 "," 26,447,719 "
January,2012,Native American,Onshore,Oil Prod Vol (bbl)," 2,679,795 "," 2,679,795 "
February,2012,Federal,Offshore,Gas Prod Vol (mcf)," 135,190,566 "," 135,190,566 "
February,2012,Federal,Offshore,Oil Prod Vol (bbl)," 40,147,713 "," 40,147,713 "
February,2012,Federal,Onshore,Coal Prod Vol (ton)," 36,249,605 "," 36,249,605 "
February,2012,Federal,Onshore,Gas Prod Vol (mcf)," 308,932,373 "," 308,932,373 "
February,2012,Federal,Onshore,Oil Prod Vol (bbl)," 9,761,283 "," 9,761,283 "
February,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,848,570 "," 1,848,570 "
February,2012,Native American,Onshore,Gas Prod Vol (mcf)," 24,908,030 "," 24,908,030 "
February,2012,Native American,Onshore,Oil Prod Vol (bbl)," 2,546,955 "," 2,546,955 "
March,2012,Federal,Offshore,Gas Prod Vol (mcf)," 145,921,157 "," 145,921,157 "
March,2012,Federal,Offshore,Oil Prod Vol (bbl)," 43,613,539 "," 43,613,539 "
March,2012,Federal,Onshore,Coal Prod Vol (ton)," 32,908,329 "," 32,908,329 "
March,2012,Federal,Onshore,Gas Prod Vol (mcf)," 328,372,648 "," 328,372,648 "
March,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,551,745 "," 10,551,745 "
March,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,930,970 "," 1,930,970 "
March,2012,Native American,Onshore,Gas Prod Vol (mcf)," 26,477,623 "," 26,477,623 "
March,2012,Native American,Onshore,Oil Prod Vol (bbl)," 2,784,075 "," 2,784,075 "
April,2012,Federal,Offshore,Gas Prod Vol (mcf)," 137,364,009 "," 137,364,009 "
April,2012,Federal,Offshore,Oil Prod Vol (bbl)," 39,320,652 "," 39,320,652 "
April,2012,Federal,Onshore,Coal Prod Vol (ton)," 29,041,032 "," 29,041,032 "
April,2012,Federal,Onshore,Gas Prod Vol (mcf)," 313,469,577 "," 313,469,577 "
April,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,050,815 "," 10,050,815 "
April,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,386,877 "," 1,386,877 "
April,2012,Native American,Onshore,Gas Prod Vol (mcf)," 25,576,417 "," 25,576,417 "
April,2012,Native American,Onshore,Oil Prod Vol (bbl)," 2,791,309 "," 2,791,309 "
May,2012,Federal,Offshore,Gas Prod Vol (mcf)," 135,942,486 "," 135,942,486 "
May,2012,Federal,Offshore,Oil Prod Vol (bbl)," 38,822,550 "," 38,822,550 "
May,2012,Federal,Onshore,Coal Prod Vol (ton)," 31,329,856 "," 31,329,856 "
May,2012,Federal,Onshore,Gas Prod Vol (mcf)," 319,868,850 "," 319,868,850 "
May,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,446,886 "," 10,446,886 "
May,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,625,737 "," 1,625,737 "
May,2012,Native American,Onshore,Gas Prod Vol (mcf)," 26,415,704 "," 26,415,704 "
May,2012,Native American,Onshore,Oil Prod Vol (bbl)," 2,812,533 "," 2,812,533 "
June,2012,Federal,Offshore,Gas Prod Vol (mcf)," 123,806,341 "," 123,806,341 "
June,2012,Federal,Offshore,Oil Prod Vol (bbl)," 35,147,763 "," 35,147,763 "
June,2012,Federal,Onshore,Coal Prod Vol (ton)," 32,317,862 "," 32,317,862 "
June,2012,Federal,Onshore,Gas Prod Vol (mcf)," 307,815,727 "," 307,815,727 "
June,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,146,046 "," 10,146,046 "
June,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,568,194 "," 1,568,194 "
June,2012,Native American,Onshore,Gas Prod Vol (mcf)," 25,315,082 "," 25,315,082 "
June,2012,Native American,Onshore,Oil Prod Vol (bbl)," 2,846,386 "," 2,846,386 "
July,2012,Federal,Offshore,Gas Prod Vol (mcf)," 133,566,813 "," 133,566,813 "
July,2012,Federal,Offshore,Oil Prod Vol (bbl)," 40,555,621 "," 40,555,621 "
July,2012,Federal,Onshore,Coal Prod Vol (ton)," 39,360,710 "," 39,360,710 "
July,2012,Federal,Onshore,Gas Prod Vol (mcf)," 317,214,674 "," 317,214,674 "
July,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,693,254 "," 10,693,254 "
July,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,447,117 "," 1,447,117 "
July,2012,Native American,Onshore,Gas Prod Vol (mcf)," 26,097,912 "," 26,097,912 "
July,2012,Native American,Onshore,Oil Prod Vol (bbl)," 3,052,337 "," 3,052,337 "
August,2012,Federal,Offshore,Gas Prod Vol (mcf)," 114,347,557 "," 114,347,557 "
August,2012,Federal,Offshore,Oil Prod Vol (bbl)," 35,705,207 "," 35,705,207 "
August,2012,Federal,Onshore,Coal Prod Vol (ton)," 40,126,533 "," 40,126,533 "
August,2012,Federal,Onshore,Gas Prod Vol (mcf)," 311,043,411 "," 311,043,411 "
August,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,792,502 "," 10,792,502 "
August,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,468,942 "," 1,468,942 "
August,2012,Native American,Onshore,Gas Prod Vol (mcf)," 26,282,174 "," 26,282,174 "
August,2012,Native American,Onshore,Oil Prod Vol (bbl)," 3,142,680 "," 3,142,680 "
September,2012,Federal,Offshore,Gas Prod Vol (mcf)," 116,054,042 "," 116,054,042 "
September,2012,Federal,Offshore,Oil Prod Vol (bbl)," 37,032,672 "," 37,032,672 "
September,2012,Federal,Onshore,Coal Prod Vol (ton)," 37,476,124 "," 37,476,124 "
September,2012,Federal,Onshore,Gas Prod Vol (mcf)," 300,056,822 "," 300,056,822 "
September,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,614,518 "," 10,614,518 "
September,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,427,953 "," 1,427,953 "
September,2012,Native American,Onshore,Gas Prod Vol (mcf)," 25,685,065 "," 25,685,065 "
September,2012,Native American,Onshore,Oil Prod Vol (bbl)," 3,266,049 "," 3,266,049 "
October,2012,Federal,Offshore,Gas Prod Vol (mcf)," 132,739,281 "," 132,739,281 "
October,2012,Federal,Offshore,Oil Prod Vol (bbl)," 42,876,250 "," 42,876,250 "
October,2012,Federal,Onshore,Coal Prod Vol (ton)," 35,275,148 "," 35,275,148 "
October,2012,Federal,Onshore,Gas Prod Vol (mcf)," 311,046,011 "," 311,046,011 "
October,2012,Federal,Onshore,Oil Prod Vol (bbl)," 11,201,687 "," 11,201,687 "
October,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,746,130 "," 1,746,130 "
October,2012,Native American,Onshore,Gas Prod Vol (mcf)," 26,986,752 "," 26,986,752 "
October,2012,Native American,Onshore,Oil Prod Vol (bbl)," 3,734,436 "," 3,734,436 "
November,2012,Federal,Offshore,Gas Prod Vol (mcf)," 130,675,524 "," 130,675,524 "
November,2012,Federal,Offshore,Oil Prod Vol (bbl)," 42,989,707 "," 42,989,707 "
November,2012,Federal,Onshore,Coal Prod Vol (ton)," 36,099,698 "," 36,099,698 "
November,2012,Federal,Onshore,Gas Prod Vol (mcf)," 300,289,086 "," 300,289,086 "
November,2012,Federal,Onshore,Oil Prod Vol (bbl)," 10,900,617 "," 10,900,617 "
November,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,340,397 "," 1,340,397 "
November,2012,Native American,Onshore,Gas Prod Vol (mcf)," 25,880,842 "," 25,880,842 "
November,2012,Native American,Onshore,Oil Prod Vol (bbl)," 3,692,822 "," 3,692,822 "
December,2012,Federal,Offshore,Gas Prod Vol (mcf)," 132,158,780 "," 132,158,780 "
December,2012,Federal,Offshore,Oil Prod Vol (bbl)," 44,284,810 "," 44,284,810 "
December,2012,Federal,Onshore,Coal Prod Vol (ton)," 32,703,305 "," 32,703,305 "
December,2012,Federal,Onshore,Gas Prod Vol (mcf)," 304,671,252 "," 304,671,252 "
December,2012,Federal,Onshore,Oil Prod Vol (bbl)," 11,183,708 "," 11,183,708 "
December,2012,Native American,Onshore,Coal Prod Vol (ton)," 1,058,533 "," 1,058,533 "
December,2012,Native American,Onshore,Gas Prod Vol (mcf)," 26,180,452 "," 26,180,452 "
December,2012,Native American,Onshore,Oil Prod Vol (bbl)," 3,826,603 "," 3,826,603 "
January,2013,Federal,Offshore,Gas Prod Vol (mcf)," 128,828,087 "," 128,828,087 "
January,2013,Federal,Offshore,Oil Prod Vol (bbl)," 43,030,409 "," 43,030,409 "
January,2013,Federal,Onshore,Coal Prod Vol (ton)," 33,492,410 "," 33,492,410 "
January,2013,Federal,Onshore,Gas Prod Vol (mcf)," 297,305,040 "," 297,305,040 "
January,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,024,950 "," 11,024,950 "
January,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,414,729 "," 1,414,729 "
January,2013,Native American,Onshore,Gas Prod Vol (mcf)," 24,693,283 "," 24,693,283 "
January,2013,Native American,Onshore,Oil Prod Vol (bbl)," 3,557,952 "," 3,557,952 "
February,2013,Federal,Offshore,Gas Prod Vol (mcf)," 113,767,112 "," 113,767,112 "
February,2013,Federal,Offshore,Oil Prod Vol (bbl)," 38,447,937 "," 38,447,937 "
February,2013,Federal,Onshore,Coal Prod Vol (ton)," 30,481,388 "," 30,481,388 "
February,2013,Federal,Onshore,Gas Prod Vol (mcf)," 274,031,891 "," 274,031,891 "
February,2013,Federal,Onshore,Oil Prod Vol (bbl)," 10,162,395 "," 10,162,395 "
February,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,722,483 "," 1,722,483 "
February,2013,Native American,Onshore,Gas Prod Vol (mcf)," 23,464,769 "," 23,464,769 "
February,2013,Native American,Onshore,Oil Prod Vol (bbl)," 3,505,029 "," 3,505,029 "
March,2013,Federal,Offshore,Gas Prod Vol (mcf)," 123,165,415 "," 123,165,415 "
March,2013,Federal,Offshore,Oil Prod Vol (bbl)," 40,558,691 "," 40,558,691 "
March,2013,Federal,Onshore,Coal Prod Vol (ton)," 31,554,258 "," 31,554,258 "
March,2013,Federal,Onshore,Gas Prod Vol (mcf)," 303,373,794 "," 303,373,794 "
March,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,502,448 "," 11,502,448 "
March,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,601,392 "," 1,601,392 "
March,2013,Native American,Onshore,Gas Prod Vol (mcf)," 26,479,328 "," 26,479,328 "
March,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,195,188 "," 4,195,188 "
April,2013,Federal,Offshore,Gas Prod Vol (mcf)," 120,833,683 "," 120,833,683 "
April,2013,Federal,Offshore,Oil Prod Vol (bbl)," 41,774,973 "," 41,774,973 "
April,2013,Federal,Onshore,Coal Prod Vol (ton)," 30,641,951 "," 30,641,951 "
April,2013,Federal,Onshore,Gas Prod Vol (mcf)," 295,043,350 "," 295,043,350 "
April,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,270,943 "," 11,270,943 "
April,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,775,937 "," 1,775,937 "
April,2013,Native American,Onshore,Gas Prod Vol (mcf)," 25,948,711 "," 25,948,711 "
April,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,037,369 "," 4,037,369 "
May,2013,Federal,Offshore,Gas Prod Vol (mcf)," 118,972,888 "," 118,972,888 "
May,2013,Federal,Offshore,Oil Prod Vol (bbl)," 38,906,640 "," 38,906,640 "
May,2013,Federal,Onshore,Coal Prod Vol (ton)," 32,892,522 "," 32,892,522 "
May,2013,Federal,Onshore,Gas Prod Vol (mcf)," 297,658,778 "," 297,658,778 "
May,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,520,286 "," 11,520,286 "
May,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,231,695 "," 1,231,695 "
May,2013,Native American,Onshore,Gas Prod Vol (mcf)," 26,633,123 "," 26,633,123 "
May,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,243,627 "," 4,243,627 "
June,2013,Federal,Offshore,Gas Prod Vol (mcf)," 109,161,024 "," 109,161,024 "
June,2013,Federal,Offshore,Oil Prod Vol (bbl)," 35,322,157 "," 35,322,157 "
June,2013,Federal,Onshore,Coal Prod Vol (ton)," 32,945,999 "," 32,945,999 "
June,2013,Federal,Onshore,Gas Prod Vol (mcf)," 289,888,128 "," 289,888,128 "
June,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,257,695 "," 11,257,695 "
June,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,464,335 "," 1,464,335 "
June,2013,Native American,Onshore,Gas Prod Vol (mcf)," 26,161,731 "," 26,161,731 "
June,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,177,156 "," 4,177,156 "
July,2013,Federal,Offshore,Gas Prod Vol (mcf)," 114,745,856 "," 114,745,856 "
July,2013,Federal,Offshore,Oil Prod Vol (bbl)," 40,238,092 "," 40,238,092 "
July,2013,Federal,Onshore,Coal Prod Vol (ton)," 35,878,382 "," 35,878,382 "
July,2013,Federal,Onshore,Gas Prod Vol (mcf)," 298,363,611 "," 298,363,611 "
July,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,738,212 "," 11,738,212 "
July,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,548,969 "," 1,548,969 "
July,2013,Native American,Onshore,Gas Prod Vol (mcf)," 27,416,660 "," 27,416,660 "
July,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,623,155 "," 4,623,155 "
August,2013,Federal,Offshore,Gas Prod Vol (mcf)," 109,136,463 "," 109,136,463 "
August,2013,Federal,Offshore,Oil Prod Vol (bbl)," 38,444,685 "," 38,444,685 "
August,2013,Federal,Onshore,Coal Prod Vol (ton)," 36,459,087 "," 36,459,087 "
August,2013,Federal,Onshore,Gas Prod Vol (mcf)," 298,415,102 "," 298,415,102 "
August,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,778,235 "," 11,778,235 "
August,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,719,610 "," 1,719,610 "
August,2013,Native American,Onshore,Gas Prod Vol (mcf)," 27,215,917 "," 27,215,917 "
August,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,908,747 "," 4,908,747 "
September,2013,Federal,Offshore,Gas Prod Vol (mcf)," 113,630,139 "," 113,630,139 "
September,2013,Federal,Offshore,Oil Prod Vol (bbl)," 41,195,227 "," 41,195,227 "
September,2013,Federal,Onshore,Coal Prod Vol (ton)," 35,116,078 "," 35,116,078 "
September,2013,Federal,Onshore,Gas Prod Vol (mcf)," 276,417,070 "," 276,417,070 "
September,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,500,357 "," 11,500,357 "
September,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,632,862 "," 1,632,862 "
September,2013,Native American,Onshore,Gas Prod Vol (mcf)," 26,290,124 "," 26,290,124 "
September,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,739,375 "," 4,739,375 "
October,2013,Federal,Offshore,Gas Prod Vol (mcf)," 107,214,861 "," 107,214,861 "
October,2013,Federal,Offshore,Oil Prod Vol (bbl)," 38,063,826 "," 38,063,826 "
October,2013,Federal,Onshore,Coal Prod Vol (ton)," 32,376,034 "," 32,376,034 "
October,2013,Federal,Onshore,Gas Prod Vol (mcf)," 303,762,137 "," 303,762,137 "
October,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,940,231 "," 11,940,231 "
October,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,750,278 "," 1,750,278 "
October,2013,Native American,Onshore,Gas Prod Vol (mcf)," 27,518,587 "," 27,518,587 "
October,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,963,217 "," 4,963,217 "
November,2013,Federal,Offshore,Gas Prod Vol (mcf)," 113,187,775 "," 113,187,775 "
November,2013,Federal,Offshore,Oil Prod Vol (bbl)," 40,705,178 "," 40,705,178 "
November,2013,Federal,Onshore,Coal Prod Vol (ton)," 33,665,424 "," 33,665,424 "
November,2013,Federal,Onshore,Gas Prod Vol (mcf)," 293,456,996 "," 293,456,996 "
November,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,518,144 "," 11,518,144 "
November,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,970,620 "," 1,970,620 "
November,2013,Native American,Onshore,Gas Prod Vol (mcf)," 26,308,985 "," 26,308,985 "
November,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,754,641 "," 4,754,641 "
December,2013,Federal,Offshore,Gas Prod Vol (mcf)," 112,086,251 "," 112,086,251 "
December,2013,Federal,Offshore,Oil Prod Vol (bbl)," 41,536,255 "," 41,536,255 "
December,2013,Federal,Onshore,Coal Prod Vol (ton)," 32,510,561 "," 32,510,561 "
December,2013,Federal,Onshore,Gas Prod Vol (mcf)," 293,674,418 "," 293,674,418 "
December,2013,Federal,Onshore,Oil Prod Vol (bbl)," 11,798,488 "," 11,798,488 "
December,2013,Native American,Onshore,Coal Prod Vol (ton)," 1,894,694 "," 1,894,694 "
December,2013,Native American,Onshore,Gas Prod Vol (mcf)," 25,991,355 "," 25,991,355 "
December,2013,Native American,Onshore,Oil Prod Vol (bbl)," 4,686,882 "," 4,686,882 "
January,2014,Federal,Offshore,Gas Prod Vol (mcf)," 107,846,209 "," 107,846,209 "
January,2014,Federal,Offshore,Oil Prod Vol (bbl)," 42,113,286 "," 42,113,286 "
January,2014,Federal,Onshore,Coal Prod Vol (ton)," 34,790,955 "," 34,790,955 "
January,2014,Federal,Onshore,Gas Prod Vol (mcf)," 296,096,477 "," 296,096,477 "
January,2014,Federal,Onshore,Oil Prod Vol (bbl)," 12,179,228 "," 12,179,228 "
January,2014,Native American,Onshore,Coal Prod Vol (ton)," 1,757,529 "," 1,757,529 "
January,2014,Native American,Onshore,Gas Prod Vol (mcf)," 26,537,823 "," 26,537,823 "
January,2014,Native American,Onshore,Oil Prod Vol (bbl)," 4,676,444 "," 4,676,444 "
February,2014,Federal,Offshore,Gas Prod Vol (mcf)," 100,353,787 "," 100,353,787 "
February,2014,Federal,Offshore,Oil Prod Vol (bbl)," 38,741,321 "," 38,741,321 "
February,2014,Federal,Onshore,Coal Prod Vol (ton)," 29,682,030 "," 29,682,030 "
February,2014,Federal,Onshore,Gas Prod Vol (mcf)," 268,961,362 "," 268,961,362 "
February,2014,Federal,Onshore,Oil Prod Vol (bbl)," 11,266,046 "," 11,266,046 "
February,2014,Native American,Onshore,Coal Prod Vol (ton)," 1,485,922 "," 1,485,922 "
February,2014,Native American,Onshore,Gas Prod Vol (mcf)," 24,580,088 "," 24,580,088 "
February,2014,Native American,Onshore,Oil Prod Vol (bbl)," 4,398,133 "," 4,398,133 "
March,2014,Federal,Offshore,Gas Prod Vol (mcf)," 110,289,443 "," 110,289,443 "
