Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2013,70 & 148 LLC,BLM - Permit Fees,Oil & Gas,"$1,870.00 "
2013,70 & 148 LLC,ONRR/BLM - Rents,Oil & Gas,"$310,220.00 "
2013,A & G COAL CORP,OSMRE - AML Fees including Audits and Late Charges ,Coal,"$119,617.76 "
2013,ABRAXAS PETROLEUM CORP,BLM - Permit Fees,Oil & Gas,$290.00 
2013,ABRAXAS PETROLEUM CORP,ONRR - Other Revenues,Oil & Gas,"$18,631.60 "
2013,ABRAXAS PETROLEUM CORP,ONRR - Royalties,Gas,"$55,520.80 "
2013,ABRAXAS PETROLEUM CORP,ONRR - Royalties,Oil,"$935,018.79 "
2013,ABRAXAS PETROLEUM CORP,ONRR/BLM - Rents,Oil & Gas,"$3,954.50 "
2013,ADVENTURE EXPLORATION PARTNERS II LLC,BLM - Permit Fees,Oil & Gas,"$6,755.00 "
2013,ADVENTURE EXPLORATION PARTNERS II LLC,ONRR/BLM - Bonus,Oil & Gas,"$2,556,000.00 "
2013,ADVENTURE EXPLORATION PARTNERS II LLC,ONRR/BLM - Rents,Oil & Gas,"$4,598.50 "
2013,AERA ENERGY LLC,BLM - Permit Fees,Oil & Gas,"$169,085.00 "
2013,AERA ENERGY LLC,ONRR - Other Revenues,Oil & Gas,"$2,004.69 "
2013,AERA ENERGY LLC,ONRR - Royalties,Gas,"$49,926.21 "
2013,AERA ENERGY LLC,ONRR - Royalties,Oil,"$38,137,065.01 "
2013,AERA ENERGY LLC,ONRR/BLM - Rents,Oil & Gas,"$11,358.00 "
2013,AGC SODA CORP,ONRR - Royalties,Other Commodities,"$1,849,208.69 "
2013,AGNICO EAGLE USA LTD,BLM - Permit Fees,Locatable Minerals,"$180,799.00 "
2013,AGRI PROPERTIES LLP,BLM - Permit Fees,Oil & Gas,$450.00 
2013,AGRI PROPERTIES LLP,ONRR/BLM - Bonus,Oil & Gas,"$1,232,000.00 "
2013,AGRI PROPERTIES LLP,ONRR/BLM - Rents,Oil & Gas,$156.00 
