Region	Year	Jobs	Share
MT	2009	3113	0.0050
MT	2008	3400	0.0054
MT	2012	6135	0.0097
MT	2013	5884	0.0092
NE	2013	2637	0.0021
NE	2012	2463	0.0020
NE	2008	1631	0.0013
NE	2009	1554	0.0013
NE	2010	1924	0.0016
NE	2011	1554	0.0013
NE	2004	864	0.0007
NE	2005	881	0.0007
NE	2006	957	0.0008
NE	2007	1108	0.0009
NV	2007	3366	0.0020
NV	2006	2435	0.0015
NV	2005	2165	0.0014
NV	2004	2196	0.0015
NV	2011	4078	0.0027
NV	2010	4704	0.0032
NV	2009	3805	0.0025
NV	2008	4142	0.0025
NV	2012	6592	0.0043
NV	2013	6001	0.0038
NH	2013	1059	0.0013
NH	2012	1188	0.0014
NH	2008	733	0.0009
NH	2009	672	0.0008
NH	2010	886	0.0011
NH	2011	725	0.0009
NH	2004	401	0.0005
NH	2005	401	0.0005
NH	2006	457	0.0005
NH	2007	625	0.0007
NJ	2007	1750	0.0003
NJ	2006	1687	0.0003
NJ	2005	1409	0.0003
NJ	2004	1244	0.0003
NJ	2011	2358	0.0005
NJ	2010	2821	0.0006
NJ	2009	2217	0.0004
NJ	2008	2291	0.0004
NJ	2012	3442	0.0007
NJ	2013	3347	0.0007
NM	2013	11039	0.0103
NM	2012	10391	0.0097
NM	2008	7185	0.0065
NM	2009	6919	0.0064
NM	2010	8765	0.0083
NM	2011	7269	0.0068
NM	2004	3981	0.0039
NM	2005	4199	0.0040
NM	2006	4685	0.0043
NM	2007	5311	0.0048
NY	2007	6635	0.0006
NY	2006	5505	0.0005
NY	2005	4868	0.0005
NY	2004	4900	0.0005
NY	2011	8477	0.0008
NY	2010	10199	0.0009
NY	2009	7834	0.0007
NY	2008	8187	0.0007
NY	2012	12686	0.0011
NY	2013	12228	0.0011
NC	2013	6073	0.0011
NC	2012	6025	0.0011
NC	2008	4119	0.0008
NC	2009	3841	0.0007
NC	2010	4876	0.0009
NC	2011	4093	0.0008
NC	2004	2079	0.0004
NC	2005	2169	0.0004
NC	2006	2455	0.0005
NC	2007	3008	0.0006
ND	2007	1352	0.0028
ND	2006	1091	0.0023
ND	2005	924	0.0020
ND	2004	812	0.0018
ND	2011	2735	0.0052
ND	2010	2909	0.0058
ND	2009	2123	0.0043
ND	2008	2064	0.0042
ND	2012	4544	0.0081
ND	2013	4681	0.0081
OH	2013	24079	0.0036
OH	2012	22771	0.0035
OH	2008	15251	0.0023
OH	2009	15561	0.0024
OH	2010	19522	0.0031
OH	2011	16104	0.0025
OH	2004	8369	0.0013
OH	2005	8975	0.0013
OH	2006	10481	0.0016
OH	2007	10655	0.0016
OK	2007	35418	0.0164
OK	2006	31731	0.0151
OK	2005	28069	0.0138
OK	2004	26139	0.0131
OK	2011	51740	0.0239
OK	2010	62180	0.0291
OK	2009	48982	0.0228
OK	2008	50420	0.0230
OK	2012	74155	0.0335
OK	2013	80407	0.0357
OR	2013	4278	0.0019
OR	2012	4635	0.0021
OR	2008	2677	0.0012
OR	2009	2462	0.0011
OR	2010	3282	0.0015
OR	2011	2901	0.0013
OR	2004	1454	0.0007
OR	2005	1434	0.0007
OR	2006	1605	0.0007
OR	2007	2299	0.0010
PA	2007	12148	0.0017
PA	2006	9085	0.0013
PA	2005	8009	0.0011
PA	2004	7878	0.0011
PA	2011	15460	0.0021
PA	2010	18208	0.0026
PA	2009	13951	0.0020
PA	2008	14709	0.0020
PA	2012	23431	0.0032
PA	2013	23125	0.0032
RI	2013	0	0.0000
RI	2012	359	0.0006
RI	2008	263	0.0004
RI	2009	241	0.0004
RI	2010	0	0.0000
RI	2011	0	0.0000
RI	2004	170	0.0003
RI	2005	162	0.0003
RI	2006	181	0.0003
RI	2007	192	0.0003
SC	2007	1180	0.0005
SC	2006	995	0.0004
SC	2005	866	0.0004
SC	2004	797	0.0003
SC	2011	1938	0.0008
SC	2010	2278	0.0010
SC	2009	1796	0.0008
SC	2008	1706	0.0007
SC	2012	2880	0.0012
SC	2013	3064	0.0012
SD	2013	2086	0.0036
SD	2012	1970	0.0035
SD	2008	1075	0.0019
SD	2009	998	0.0018
SD	2010	1380	0.0025
SD	2011	1262	0.0022
SD	2004	468	0.0009
SD	2005	510	0.0010
SD	2006	609	0.0011
SD	2007	749	0.0014
TN	2007	3217	0.0009
TN	2006	2519	0.0007
TN	2005	2327	0.0006
TN	2004	2298	0.0007
TN	2011	4154	0.0012
TN	2010	4800	0.0014
TN	2009	3804	0.0011
TN	2008	3882	0.0011
TN	2012	6333	0.0017
TN	2013	6084	0.0016
TX	2013	253790	0.0163
TX	2012	233385	0.0154
TX	2008	155036	0.0108
TX	2009	151817	0.0106
TX	2010	192453	0.0135
TX	2011	162214	0.0110
TX	2004	80662	0.0064
TX	2005	87455	0.0067
TX	2006	99420	0.0074
TX	2007	104698	0.0075
UT	2007	2862	0.0017
UT	2006	2021	0.0013
UT	2005	1776	0.0012
UT	2004	1662	0.0011
UT	2011	3798	0.0023
UT	2010	4286	0.0027
UT	2009	3288	0.0020
UT	2008	3418	0.0020
UT	2012	6419	0.0038
UT	2013	5891	0.0034
VT	2013	807	0.0019
VT	2012	942	0.0022
VT	2008	494	0.0012
VT	2009	435	0.0010
VT	2010	537	0.0013
VT	2011	513	0.0012
VT	2004	277	0.0007
VT	2005	254	0.0006
VT	2006	307	0.0007
VT	2007	447	0.0011
VA	2007	3824	0.0008
VA	2006	3180	0.0007
VA	2005	2784	0.0006
VA	2004	2593	0.0006
VA	2011	5095	0.0011
VA	2010	6318	0.0013
VA	2009	5203	0.0011
VA	2008	5451	0.0011
VA	2012	7536	0.0016
VA	2013	7351	0.0015
WA	2013	6553	0.0016
WA	2012	6626	0.0017
WA	2008	4222	0.0011
WA	2009	4032	0.0011
WA	2010	5111	0.0014
WA	2011	4234	0.0011
WA	2004	2232	0.0006
WA	2005	2288	0.0006
WA	2006	2598	0.0007
WA	2007	3310	0.0008
WV	2007	7109	0.0078
WV	2006	7215	0.0080
WV	2005	6318	0.0071
WV	2004	6054	0.0069
WV	2011	10107	0.0111
WV	2010	12260	0.0136
WV	2009	9534	0.0106
WV	2008	9757	0.0106
WV	2012	14457	0.0157
WV	2013	15189	0.0166
WI	2013	4103	0.0012
WI	2012	4312	0.0012
WI	2008	2414	0.0007
WI	2009	2494	0.0007
WI	2010	3146	0.0009
WI	2011	2741	0.0008
WI	2004	1142	0.0003
WI	2005	1192	0.0003
WI	2006	1380	0.0004
WI	2007	1874	0.0005
WY	2007	4056	0.0105
WY	2006	3332	0.0090
WY	2005	2877	0.0081
WY	2004	2683	0.0078
WY	2011	5091	0.0132
WY	2010	5901	0.0154
WY	2009	4721	0.0122
WY	2008	5210	0.0131
WY	2012	7502	0.0191
WY	2013	7498	0.0189
