Company	Revenue Type	Commodity	Revenue
ARENA ENERGY	ONRR - Other Revenues	Oil & Gas	843244.7
ARENA ENERGY	ONRR - Royalties	Gas	14380908.48
ARENA ENERGY	ONRR - Royalties	Oil	80378555.18
ARENA ENERGY	ONRR/BLM - Bonus	Oil & Gas	1247000
ARENA ENERGY	ONRR/BLM - Rents	Oil & Gas	671449
ARGUS ENERGY WV LLC	ONRR - Other Revenues	Coal	1262.5
ARGUS ENERGY WV LLC	ONRR - Other Revenues	N/A	436
ARGUS ENERGY WV LLC	ONRR/BLM - Bonus	Coal	155000
ARGUS ENERGY WV LLC	ONRR/BLM - Rents	Coal	22920
ARIZONA LITHIUM COMPANY LTD	BLM - Permit Fees	Locatable Minerals	103880
ARM ENERGY MANAGEMENT LLC	ONRR - Other Revenues	Oil & Gas	233.35
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Gas	2106236.13
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Oil	5256.98
ARMSTRONG COAL CO INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	902436.63
ARMSTRONG RESOURCES  LLC	ONRR/BLM - Bonus	Oil & Gas	216229
ARMSTRONG RESOURCES  LLC	ONRR/BLM - Rents	Oil & Gas	346055
ARNELL OIL CO	ONRR - Royalties	Oil	187318.94
ARRAY PETROLEUM	ONRR - Other Revenues	N/A	734.72
ARRAY PETROLEUM	ONRR - Other Revenues	Oil & Gas	4561.29
ARRAY PETROLEUM	ONRR - Royalties	Gas	50544.2
ARRAY PETROLEUM	ONRR - Royalties	Oil	1175832.7
ARRAY PETROLEUM	ONRR/BLM - Rents	Oil & Gas	1350
ASARCO LLC	BLM - Permit Fees	Locatable Minerals	414315
ASRC	ONRR/BLM - Rents	Oil & Gas	414720
ATLANTIA PROMETHEUS LLC	ONRR/BLM - Rents	Oil & Gas	329328
ATLAS RESOURCE PARTNERS LP	ONRR - Other Revenues	Oil & Gas	-220180.96
ATLAS RESOURCE PARTNERS LP	ONRR - Royalties	Gas	397546.69
ATLAS RESOURCE PARTNERS LP	ONRR - Royalties	Oil	1211046.51
ATLAS RESOURCE PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	1108
ATOFINA PETROCHEMICALS INC.	ONRR/BLM - Rents	Oil & Gas	256318
ATX ENERGY PARTNERS	BLM - Permit Fees	Oil & Gas	3770
ATX ENERGY PARTNERS	ONRR/BLM - Bonus	Oil & Gas	710360
ATX ENERGY PARTNERS	ONRR/BLM - Rents	Oil & Gas	3540
AUGUSTUS ENERGY PARTNERS LLC	ONRR - Royalties	Gas	12242.43
AUGUSTUS ENERGY PARTNERS LLC	ONRR - Royalties	Oil	49507.13
AUGUSTUS ENERGY PARTNERS LLC	ONRR/BLM - Rents	Oil & Gas	38451.5
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	955.97
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Royalties	Gas	134215.71
AU-REKA GOLD CORP	BLM - Permit Fees	Locatable Minerals	237925
AVAD OPERATING LLC	ONRR - Royalties	Gas	573585.44
AVANGRID RENEWABLES LLC	ONRR/BLM - Bonus	Wind	9066650
AVANGRID RENEWABLES LLC	ONRR/BLM - Rents	Wind	367215
"AZALEA OIL CO, LLC"	ONRR - Other Revenues	Oil & Gas	5395.94
"AZALEA OIL CO, LLC"	ONRR/BLM - Bonus	Oil & Gas	279764
"AZALEA OIL CO, LLC"	ONRR/BLM - Rents	Oil & Gas	49057.5
B & N COAL INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	133795.38
B & W RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	147481.28
B.C. OPERATING INC	ONRR - Other Revenues	Oil & Gas	30866.29
B.C. OPERATING INC	ONRR - Royalties	Gas	277741.51
B.C. OPERATING INC	ONRR - Royalties	Oil	664069.76
B.C. OPERATING INC	ONRR/BLM - Rents	Oil & Gas	5798.34
BALD MOUNTAIN EXPLORATION	BLM - Permit Fees	Locatable Minerals	422685
"BALIDOR OIL & GAS, LLC"	BLM - Permit Fees	Oil & Gas	322230
"BALIDOR OIL & GAS, LLC"	ONRR/BLM - Bonus	Oil & Gas	1136160
"BALIDOR OIL & GAS, LLC"	ONRR/BLM - Rents	Oil & Gas	11500.5
BALLARD PETROLEUM HOLDINGS LLC	BLM - Permit Fees	Oil & Gas	292765
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	25883.99
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Gas	538516.41
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Oil	3597053.66
BALLARD PETROLEUM HOLDINGS LLC	ONRR/BLM - Rents	Oil & Gas	20851.5
BARRICK CORRTEZ INC	BLM - Permit Fees	Locatable Minerals	199660
BARRICK GOLD CORP	BLM - Permit Fees	Locatable Minerals	560976
BARRICK TURQUOISE RIDGE INC	BLM - Permit Fees	Locatable Minerals	217930
"BARTON, ROY G JR"	ONRR - Other Revenues	Oil & Gas	93
"BARTON, ROY G JR"	ONRR/BLM - Bonus	Oil & Gas	1325000
"BARTON, ROY G JR"	ONRR/BLM - Rents	Oil & Gas	3286
"BASA RESOURCES, INC."	ONRR - Royalties	Oil	243822.94
BASELINE MINERALS INC	ONRR/BLM - Bonus	Oil & Gas	1207881
BASELINE MINERALS INC	ONRR/BLM - Rents	Oil & Gas	15037.5
BASIN & RANGE RESOURCES LLC	BLM - Permit Fees	Locatable Minerals	145030
BAY STATE WIND LLC	ONRR/BLM - Rents	Wind	562569
"BBL, LTD."	ONRR - Other Revenues	Oil & Gas	27351.28
"BBL, LTD."	ONRR - Royalties	Gas	194498.76
BEARTOOTH OIL & GAS COMPANY	BLM - Permit Fees	Oil & Gas	3990
BEARTOOTH OIL & GAS COMPANY	ONRR - Other Revenues	Oil & Gas	4815.41
BEARTOOTH OIL & GAS COMPANY	ONRR - Royalties	Gas	130467.53
BEARTOOTH OIL & GAS COMPANY	ONRR - Royalties	Oil	9416.91
BEARTOOTH OIL & GAS COMPANY	ONRR/BLM - Rents	Oil & Gas	3172
BEECHWOOD COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	151670.42
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	N/A	1095.24
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Other Revenues	Oil & Gas	1094.4
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Gas	333129.7
BENSON-MONTIN-GREER DRILLING CORP	ONRR - Royalties	Oil	382010.83
BENSON-MONTIN-GREER DRILLING CORP	ONRR/BLM - Rents	Oil & Gas	2773
BENTONITE PERFORMANCE MINERALS LLC	BLM - Permit Fees	Locatable Minerals	201172
BERENERGY CORP	ONRR - Other Revenues	Oil & Gas	30316.76
BERENERGY CORP	ONRR - Royalties	Gas	217076.17
BERENERGY CORP	ONRR - Royalties	Oil	700.26
BERENERGY CORP	ONRR/BLM - Rents	Oil & Gas	1120
BERRY PETROLEUM COMPANY	BLM - Permit Fees	Oil & Gas	137915
BETA OPERATING COMPANY LLC	ONRR - Royalties	Oil	9572444
BH MINERALS USA INC	BLM - Permit Fees	Locatable Minerals	181040
BHP BILLITON LTD	BLM - Permit Fees	Locatable Minerals	233400
BHP BILLITON LTD	ONRR - Inspection Fees	Oil & Gas	305000
BHP BILLITON LTD	ONRR - Other Revenues	N/A	514.71
BHP BILLITON LTD	ONRR - Other Revenues	Oil & Gas	1199420.1
BHP BILLITON LTD	ONRR - Royalties	Gas	-9967935.11
BHP BILLITON LTD	ONRR - Royalties	Oil	153647685.8
BHP BILLITON LTD	ONRR/BLM - Bonus	Oil & Gas	1152000
BHP BILLITON LTD	ONRR/BLM - Rents	Oil & Gas	13406028.88
BILL BARRETT CORP	BLM - Permit Fees	Oil & Gas	29370
BILL BARRETT CORP	ONRR - Other Revenues	N/A	486
BILL BARRETT CORP	ONRR - Other Revenues	Oil & Gas	225408.97
BILL BARRETT CORP	ONRR - Royalties	Gas	205934.55
BILL BARRETT CORP	ONRR - Royalties	Oil	2555611.5
BILL BARRETT CORP	ONRR/BLM - Rents	Oil & Gas	-114713.16
BISON OIL & GAS II LLC	BLM - Permit Fees	Oil & Gas	3485
BISON OIL & GAS II LLC	ONRR - Other Revenues	Oil & Gas	2100
BISON OIL & GAS II LLC	ONRR - Royalties	Oil	5153.52
BISON OIL & GAS II LLC	ONRR/BLM - Bonus	Oil & Gas	601440
BISON OIL & GAS II LLC	ONRR/BLM - Rents	Oil & Gas	120
BLACK BEAR OIL CORP	ONRR - Other Revenues	Oil & Gas	1510.87
BLACK BEAR OIL CORP	ONRR - Royalties	Gas	31516.29
BLACK BEAR OIL CORP	ONRR - Royalties	Oil	515601
BLACK BEAR OIL CORP	ONRR/BLM - Rents	Oil & Gas	4493
BLACK HILLS CORP	BLM - Permit Fees	Oil & Gas	1440
BLACK HILLS CORP	ONRR - Other Revenues	Other Commodities	Withheld
BLACK HILLS CORP	ONRR - Royalties	Coal	Withheld
BLACK HILLS CORP	ONRR - Royalties	Other Commodities	Withheld
BLACK HILLS CORP	ONRR/BLM - Bonus	Other Commodities	Withheld
BLACK HILLS CORP	ONRR/BLM - Rents	Coal	Withheld
BLACK HILLS CORP	ONRR/BLM - Rents	Other Commodities	Withheld
BLACK HILLS CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	1182022.68
BLACK WARRIOR MINERALS INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	102823.54
BLACKHAWK MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	2062619.62
BLUE MOUNTAIN ENERGY INC	ONRR - Royalties	Coal	Withheld
BLUE MOUNTAIN ENERGY INC	ONRR/BLM - Bonus	Coal	Withheld
BLUE MOUNTAIN ENERGY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	230333.04
BLUESTONE NATURAL RESOURCES II LLC	ONRR - Other Revenues	Oil & Gas	685.05
BLUESTONE NATURAL RESOURCES II LLC	ONRR - Royalties	Gas	381163.87
BLUESTONE NATURAL RESOURCES II LLC	ONRR/BLM - Rents	Oil & Gas	11540
BML INC	ONRR - Royalties	Oil	117397.46
BNI COAL LTD	BLM - Permit Fees	Coal	51015.5
BNI COAL LTD	ONRR - Royalties	Coal	Withheld
BNI COAL LTD	ONRR/BLM - Rents	Coal	Withheld
BNI COAL LTD	OSMRE - AML Fees including Audits and Late Charges 	Coal	316782.4
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Other Revenues	Oil & Gas	9921.94
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Gas	551630
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Oil	1009027.01
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR/BLM - Rents	Oil & Gas	29256.85
BOPCO LP	BLM - Permit Fees	Oil & Gas	9790
BOPCO LP	ONRR - Other Revenues	Oil & Gas	2426001.82
BOPCO LP	ONRR - Royalties	Gas	6748868.26
BOPCO LP	ONRR - Royalties	Oil	18792794.41
BOPCO LP	ONRR/BLM - Rents	Oil & Gas	45641
BOREALIS MINING CO	BLM - Permit Fees	Locatable Minerals	171585
BOULDER SAND AND GRAVEL INC	BLM - Permit Fees	Mineral Materials	109461.6
BOWIE RESOURCES LLC	ONRR - Other Revenues	Coal	658669.31
BOWIE RESOURCES LLC	ONRR - Royalties	Coal	28806070.68
BOWIE RESOURCES LLC	ONRR/BLM - Bonus	Coal	276521.36
BOWIE RESOURCES LLC	ONRR/BLM - Bonus	Coal	8010000
BOWIE RESOURCES LLC	ONRR/BLM - Rents	Coal	137844
BOWIE RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	1292366.31
BP AMERICA INC	BLM - Permit Fees	Oil & Gas	1038375
BP AMERICA INC	ONRR - Inspection Fees	Oil & Gas	1433500
BP AMERICA INC	ONRR - Other Revenues	N/A	4594.73
BP AMERICA INC	ONRR - Other Revenues	Oil & Gas	11471642.63
BP AMERICA INC	ONRR - Royalties	Gas	65044568.34
BP AMERICA INC	ONRR - Royalties	Oil	556820077.8
BP AMERICA INC	ONRR/BLM - Bonus	Oil & Gas	3004705
BP AMERICA INC	ONRR/BLM - Rents	Oil & Gas	7788966
BRANDON R JOHNSON	BLM - Permit Fees	Locatable Minerals	140120
BRAVO ARKOMA LLC	ONRR - Other Revenues	Oil & Gas	1223.62
BRAVO ARKOMA LLC	ONRR - Royalties	Gas	402315.88
BRAVO ARKOMA LLC	ONRR - Royalties	Oil	408.31
BRAVO ARKOMA LLC	ONRR/BLM - Rents	Oil & Gas	1862
BRAZOS LP	ONRR - Other Revenues	Oil & Gas	3071.95
BRAZOS LP	ONRR - Royalties	Gas	105252.25
BRAZOS LP	ONRR - Royalties	Oil	121862.03
BRAZOS LP	ONRR/BLM - Rents	Oil & Gas	800
BREITBURN ENERGY PARTNERS LP	ONRR - Other Revenues	N/A	243
BREITBURN ENERGY PARTNERS LP	ONRR - Other Revenues	Oil & Gas	3800.43
BREITBURN ENERGY PARTNERS LP	ONRR - Royalties	Gas	2834556.12
BREITBURN ENERGY PARTNERS LP	ONRR - Royalties	Oil	2802077.8
BREITBURN ENERGY PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	6978
BRONCO CREEK EXPLORATION INC	BLM - Permit Fees	Locatable Minerals	523769
BRONCO UTAH RESERVES INC	ONRR - Other Revenues	Coal	133623.58
BRONCO UTAH RESERVES INC	ONRR/BLM - Rents	Coal	2630
BROWNSTONE VENTURES (US) INC.	BLM - Permit Fees	Locatable Minerals	189073
BTA OIL PRODUCERS LLC	BLM - Permit Fees	Oil & Gas	213325
BTA OIL PRODUCERS LLC	ONRR - Other Revenues	Oil & Gas	16896.65
BTA OIL PRODUCERS LLC	ONRR - Royalties	Gas	2519724.63
BTA OIL PRODUCERS LLC	ONRR - Royalties	Oil	9953335.51
BTA OIL PRODUCERS LLC	ONRR/BLM - Bonus	Oil & Gas	5213
BTA OIL PRODUCERS LLC	ONRR/BLM - Rents	Oil & Gas	21741.5
BUCHANAN MINERALS LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	625422.94
BURNETT OIL COMPANY INC	BLM - Permit Fees	Oil & Gas	29370
BURNETT OIL COMPANY INC	ONRR - Other Revenues	Oil & Gas	62312.7
BURNETT OIL COMPANY INC	ONRR - Royalties	Gas	3216590.02
BURNETT OIL COMPANY INC	ONRR - Royalties	Oil	7708758.1
BURNETT OIL COMPANY INC	ONRR/BLM - Rents	Oil & Gas	3818
